; Candidate 3430
; ADRP+ADD at VM 0xfffffff00873e190 (fileoff 0x173a190): page=0x1fe9f3000 add_imm=0xd90

0xfffffff00873e110: 11000010  adr	x17, #0xfffffff00873e110
0xfffffff00873e114: 3002108b  add	x16, x17, x16
0xfffffff00873e118: 00021fd6  br	x16
0xfffffff00873e11c: 9f2403d5  bti	j
0xfffffff00873e120: 1f050071  cmp	w8, #1
0xfffffff00873e124: 40140054  b.eq	#0xfffffff00873e3ac
0xfffffff00873e128: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff00873e12c: fb0300f9  str	x27, [sp]
0xfffffff00873e130: 804ffff0  adrp	x0, #0xfffffff007131000
0xfffffff00873e134: 00403691  add	x0, x0, #0xd90
0xfffffff00873e138: e195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873e13c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873e140: e34fffd0  adrp	x3, #0xfffffff00713c000
0xfffffff00873e144: 63881291  add	x3, x3, #0x4a2
0xfffffff00873e148: 02008052  mov	w2, #0
0xfffffff00873e14c: f9d3ef97  bl	#0xfffffff008333130
0xfffffff00873e150: 97000014  b	#0xfffffff00873e3ac
0xfffffff00873e154: 3f4d0671  cmp	w9, #0x193
0xfffffff00873e158: ec020054  b.gt	#0xfffffff00873e1b4
0xfffffff00873e15c: 2a410651  sub	w10, w9, #0x190
0xfffffff00873e160: 5f0d0071  cmp	w10, #3
0xfffffff00873e164: c3040054  b.lo	#0xfffffff00873e1fc
0xfffffff00873e168: 5c000014  b	#0xfffffff00873e2d8
0xfffffff00873e16c: 3fb10471  cmp	w9, #0x12c
0xfffffff00873e170: e0070054  b.eq	#0xfffffff00873e26c
0xfffffff00873e174: 3fd10471  cmp	w9, #0x134
0xfffffff00873e178: 40080054  b.eq	#0xfffffff00873e280
0xfffffff00873e17c: 3f110571  cmp	w9, #0x144
0xfffffff00873e180: c10a0054  b.ne	#0xfffffff00873e2d8
0xfffffff00873e184: 1f610071  cmp	w8, #0x18
0xfffffff00873e188: 20110054  b.eq	#0xfffffff00873e3ac
0xfffffff00873e18c: fb2300a9  stp	x27, x8, [sp]
0xfffffff00873e190: 804ffff0  adrp	x0, #0xfffffff007131000
0xfffffff00873e194: 00403691  add	x0, x0, #0xd90
0xfffffff00873e198: e195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873e19c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873e1a0: e34fffd0  adrp	x3, #0xfffffff00713c000
0xfffffff00873e1a4: 63e01591  add	x3, x3, #0x578
0xfffffff00873e1a8: 02008052  mov	w2, #0
0xfffffff00873e1ac: e1d3ef97  bl	#0xfffffff008333130
0xfffffff00873e1b0: 7f000014  b	#0xfffffff00873e3ac
0xfffffff00873e1b4: 3f510671  cmp	w9, #0x194
0xfffffff00873e1b8: 20020054  b.eq	#0xfffffff00873e1fc
0xfffffff00873e1bc: 3f610671  cmp	w9, #0x198
0xfffffff00873e1c0: c0060054  b.eq	#0xfffffff00873e298
0xfffffff00873e1c4: 3fa10671  cmp	w9, #0x1a8
0xfffffff00873e1c8: 81080054  b.ne	#0xfffffff00873e2d8
0xfffffff00873e1cc: 1f610071  cmp	w8, #0x18
0xfffffff00873e1d0: e00e0054  b.eq	#0xfffffff00873e3ac
0xfffffff00873e1d4: fb2300a9  stp	x27, x8, [sp]
0xfffffff00873e1d8: 804ffff0  adrp	x0, #0xfffffff007131000
0xfffffff00873e1dc: 00403691  add	x0, x0, #0xd90
0xfffffff00873e1e0: e195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873e1e4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873e1e8: e34fffd0  adrp	x3, #0xfffffff00713c000
0xfffffff00873e1ec: 635c1891  add	x3, x3, #0x617
0xfffffff00873e1f0: 02008052  mov	w2, #0
0xfffffff00873e1f4: cfd3ef97  bl	#0xfffffff008333130
0xfffffff00873e1f8: 6d000014  b	#0xfffffff00873e3ac
0xfffffff00873e1fc: 880d0034  cbz	w8, #0xfffffff00873e3ac
0xfffffff00873e200: fb2300a9  stp	x27, x8, [sp]
0xfffffff00873e204: 804ffff0  adrp	x0, #0xfffffff007131000
0xfffffff00873e208: 00403691  add	x0, x0, #0xd90
0xfffffff00873e20c: e195fff0  adrp	x1, #0xfffffff0079fd000
