; Candidate 9977
; ADRP+ADD at VM 0xfffffff008bd89ac (fileoff 0x1bd49ac): page=0x1fe75e000 add_imm=0xd30

0xfffffff008bd892c: 08620491  add	x8, x16, #0x118
0xfffffff008bd8930: 098e40f9  ldr	x9, [x16, #0x118]
0xfffffff008bd8934: e13afff0  adrp	x1, #0xfffffff007337000
0xfffffff008bd8938: 214c0f91  add	x1, x1, #0x3d3
0xfffffff008bd893c: e00314aa  mov	x0, x20
0xfffffff008bd8940: f10308aa  mov	x17, x8
0xfffffff008bd8944: b1f4e6f2  movk	x17, #0x37a5, lsl #48
0xfffffff008bd8948: 31093fd7  blraa	x9, x17
0xfffffff008bd894c: c00300b4  cbz	x0, #0xfffffff008bd89c4
0xfffffff008bd8950: f50300aa  mov	x21, x0
0xfffffff008bd8954: 700240f9  ldr	x16, [x19]
0xfffffff008bd8958: f10313aa  mov	x17, x19
0xfffffff008bd895c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008bd8960: 301ac1da  autda	x16, x17
0xfffffff008bd8964: 088e4cf8  ldr	x8, [x16, #0xc8]!
0xfffffff008bd8968: e90310aa  mov	x9, x16
0xfffffff008bd896c: e13afff0  adrp	x1, #0xfffffff007337000
0xfffffff008bd8970: 214c0f91  add	x1, x1, #0x3d3
0xfffffff008bd8974: e00313aa  mov	x0, x19
0xfffffff008bd8978: e20315aa  mov	x2, x21
0xfffffff008bd897c: f10309aa  mov	x17, x9
0xfffffff008bd8980: 71eafff2  movk	x17, #0xff53, lsl #48
0xfffffff008bd8984: 11093fd7  blraa	x8, x17
0xfffffff008bd8988: 614640f9  ldr	x1, [x19, #0x88]
0xfffffff008bd898c: e10000b5  cbnz	x1, #0xfffffff008bd89a8
0xfffffff008bd8990: 68b800b0  adrp	x8, #0xfffffff00a2e5000
0xfffffff008bd8994: 08811a91  add	x8, x8, #0x6a0
0xfffffff008bd8998: 010140f9  ldr	x1, [x8]
0xfffffff008bd899c: 610000b5  cbnz	x1, #0xfffffff008bd89a8
0xfffffff008bd89a0: bcfeff97  bl	#0xfffffff008bd8490
0xfffffff008bd89a4: e10300aa  mov	x1, x0
0xfffffff008bd89a8: f50300f9  str	x21, [sp]
0xfffffff008bd89ac: e03affd0  adrp	x0, #0xfffffff007336000
0xfffffff008bd89b0: 00c03491  add	x0, x0, #0xd30
0xfffffff008bd89b4: e33afff0  adrp	x3, #0xfffffff007337000
0xfffffff008bd89b8: 63a41191  add	x3, x3, #0x469
0xfffffff008bd89bc: 42008052  mov	w2, #2
0xfffffff008bd89c0: dc69dd97  bl	#0xfffffff008333130
0xfffffff008bd89c4: 900240f9  ldr	x16, [x20]
0xfffffff008bd89c8: f10314aa  mov	x17, x20
0xfffffff008bd89cc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008bd89d0: 301ac1da  autda	x16, x17
0xfffffff008bd89d4: 112380d2  mov	x17, #0x118
0xfffffff008bd89d8: 1002118b  add	x16, x16, x17
0xfffffff008bd89dc: 080240f9  ldr	x8, [x16]
0xfffffff008bd89e0: e90310aa  mov	x9, x16
0xfffffff008bd89e4: e13afff0  adrp	x1, #0xfffffff007337000
0xfffffff008bd89e8: 21900f91  add	x1, x1, #0x3e4
0xfffffff008bd89ec: e00314aa  mov	x0, x20
0xfffffff008bd89f0: f10309aa  mov	x17, x9
0xfffffff008bd89f4: b1f4e6f2  movk	x17, #0x37a5, lsl #48
0xfffffff008bd89f8: 11093fd7  blraa	x8, x17
0xfffffff008bd89fc: c00300b4  cbz	x0, #0xfffffff008bd8a74
0xfffffff008bd8a00: f50300aa  mov	x21, x0
0xfffffff008bd8a04: 700240f9  ldr	x16, [x19]
0xfffffff008bd8a08: f10313aa  mov	x17, x19
0xfffffff008bd8a0c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008bd8a10: 301ac1da  autda	x16, x17
0xfffffff008bd8a14: 088e4cf8  ldr	x8, [x16, #0xc8]!
0xfffffff008bd8a18: e90310aa  mov	x9, x16
0xfffffff008bd8a1c: e13afff0  adrp	x1, #0xfffffff007337000
0xfffffff008bd8a20: 21900f91  add	x1, x1, #0x3e4
0xfffffff008bd8a24: e00313aa  mov	x0, x19
0xfffffff008bd8a28: e20315aa  mov	x2, x21
