; Candidate 366
; ADRP+ADD at VM 0xfffffff007ebf3cc (fileoff 0xebb3cc): page=0x1ff197000 add_imm=0xeba

0xfffffff007ebf34c: 8f5901b9  str	w15, [x12, #0x158]
0xfffffff007ebf350: 08050091  add	x8, x8, #1
0xfffffff007ebf354: 29610091  add	x9, x9, #0x18
0xfffffff007ebf358: 7f0108eb  cmp	x11, x8
0xfffffff007ebf35c: 81fcff54  b.ne	#0xfffffff007ebf2ec
0xfffffff007ebf360: 4801080b  add	w8, w10, w8
0xfffffff007ebf364: 09038052  mov	w9, #0x18
0xfffffff007ebf368: 007da99b  umull	x0, w8, w9
0xfffffff007ebf36c: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff007ebf370: ff830191  add	sp, sp, #0x60
0xfffffff007ebf374: ff0f5fd6  retab	
0xfffffff007ebf378: 2aa57fa9  ldp	x10, x9, [x9, #-8]
0xfffffff007ebf37c: ab8cfff0  adrp	x11, #0xfffffff007056000
0xfffffff007ebf380: 6ba91d91  add	x11, x11, #0x76a
0xfffffff007ebf384: acc68152  mov	w12, #0xe35
0xfffffff007ebf388: eb3302a9  stp	x11, x12, [sp, #0x20]
0xfffffff007ebf38c: ab8cfff0  adrp	x11, #0xfffffff007056000
0xfffffff007ebf390: 6ba13b91  add	x11, x11, #0xee8
0xfffffff007ebf394: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff007ebf398: eb2300a9  stp	x11, x8, [sp]
0xfffffff007ebf39c: a08cfff0  adrp	x0, #0xfffffff007056000
0xfffffff007ebf3a0: 00883d91  add	x0, x0, #0xf62
0xfffffff007ebf3a4: 5a541794  bl	#0xfffffff00849450c
0xfffffff007ebf3a8: 29815ff8  ldur	x9, [x9, #-8]
0xfffffff007ebf3ac: 6ac48152  mov	w10, #0xe23
0xfffffff007ebf3b0: ea1300f9  str	x10, [sp, #0x20]
0xfffffff007ebf3b4: aa8cfff0  adrp	x10, #0xfffffff007056000
0xfffffff007ebf3b8: 4aa91d91  add	x10, x10, #0x76a
0xfffffff007ebf3bc: ab8cfff0  adrp	x11, #0xfffffff007056000
0xfffffff007ebf3c0: 6ba13b91  add	x11, x11, #0xee8
0xfffffff007ebf3c4: e92b01a9  stp	x9, x10, [sp, #0x10]
0xfffffff007ebf3c8: eb2300a9  stp	x11, x8, [sp]
0xfffffff007ebf3cc: a08cfff0  adrp	x0, #0xfffffff007056000
0xfffffff007ebf3d0: 00e83a91  add	x0, x0, #0xeba
0xfffffff007ebf3d4: 4e541794  bl	#0xfffffff00849450c
0xfffffff007ebf3d8: 290140f9  ldr	x9, [x9]
0xfffffff007ebf3dc: 0ac58152  mov	w10, #0xe28
0xfffffff007ebf3e0: ea1300f9  str	x10, [sp, #0x20]
0xfffffff007ebf3e4: aa8cfff0  adrp	x10, #0xfffffff007056000
0xfffffff007ebf3e8: 4aa91d91  add	x10, x10, #0x76a
0xfffffff007ebf3ec: ab8cfff0  adrp	x11, #0xfffffff007056000
0xfffffff007ebf3f0: 6ba13b91  add	x11, x11, #0xee8
0xfffffff007ebf3f4: e92b01a9  stp	x9, x10, [sp, #0x10]
0xfffffff007ebf3f8: eb2300a9  stp	x11, x8, [sp]
0xfffffff007ebf3fc: a08cfff0  adrp	x0, #0xfffffff007056000
0xfffffff007ebf400: 00f43b91  add	x0, x0, #0xefd
0xfffffff007ebf404: 42541794  bl	#0xfffffff00849450c
0xfffffff007ebf408: 2aa57fa9  ldp	x10, x9, [x9, #-8]
0xfffffff007ebf40c: ab8cfff0  adrp	x11, #0xfffffff007056000
0xfffffff007ebf410: 6ba91d91  add	x11, x11, #0x76a
0xfffffff007ebf414: ccc58152  mov	w12, #0xe2e
0xfffffff007ebf418: eb3302a9  stp	x11, x12, [sp, #0x20]
0xfffffff007ebf41c: ab8cfff0  adrp	x11, #0xfffffff007056000
0xfffffff007ebf420: 6ba13b91  add	x11, x11, #0xee8
0xfffffff007ebf424: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff007ebf428: eb2300a9  stp	x11, x8, [sp]
0xfffffff007ebf42c: a08cfff0  adrp	x0, #0xfffffff007056000
0xfffffff007ebf430: 00b43c91  add	x0, x0, #0xf2d
0xfffffff007ebf434: 36541794  bl	#0xfffffff00849450c
0xfffffff007ebf438: 7f2303d5  pacibsp	
0xfffffff007ebf43c: ff0301d1  sub	sp, sp, #0x40
0xfffffff007ebf440: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff007ebf444: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff007ebf448: fdc30091  add	x29, sp, #0x30
