; Candidate 9569
; ADRP+ADD at VM 0xfffffff008a74bf4 (fileoff 0x1a70bf4): page=0x1fe83d000 add_imm=0xe1b

0xfffffff008a74b74: cbfdff17  b	#0xfffffff008a742a0
0xfffffff008a74b78: 900240f9  ldr	x16, [x20]
0xfffffff008a74b7c: f10314aa  mov	x17, x20
0xfffffff008a74b80: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a74b84: 301ac1da  autda	x16, x17
0xfffffff008a74b88: 113d80d2  mov	x17, #0x1e8
0xfffffff008a74b8c: 1002118b  add	x16, x16, x17
0xfffffff008a74b90: 080240f9  ldr	x8, [x16]
0xfffffff008a74b94: e90310aa  mov	x9, x16
0xfffffff008a74b98: e00314aa  mov	x0, x20
0xfffffff008a74b9c: 010080d2  mov	x1, #0
0xfffffff008a74ba0: f10309aa  mov	x17, x9
0xfffffff008a74ba4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a74ba8: 11093fd7  blraa	x8, x17
0xfffffff008a74bac: e00300f9  str	x0, [sp]
0xfffffff008a74bb0: e041ffb0  adrp	x0, #0xfffffff0072b1000
0xfffffff008a74bb4: 004c2e91  add	x0, x0, #0xb93
0xfffffff008a74bb8: a3fdff17  b	#0xfffffff008a74244
0xfffffff008a74bbc: 900240f9  ldr	x16, [x20]
0xfffffff008a74bc0: f10314aa  mov	x17, x20
0xfffffff008a74bc4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a74bc8: 301ac1da  autda	x16, x17
0xfffffff008a74bcc: 113d80d2  mov	x17, #0x1e8
0xfffffff008a74bd0: 1002118b  add	x16, x16, x17
0xfffffff008a74bd4: 080240f9  ldr	x8, [x16]
0xfffffff008a74bd8: e90310aa  mov	x9, x16
0xfffffff008a74bdc: e00314aa  mov	x0, x20
0xfffffff008a74be0: 010080d2  mov	x1, #0
0xfffffff008a74be4: f10309aa  mov	x17, x9
0xfffffff008a74be8: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a74bec: 11093fd7  blraa	x8, x17
0xfffffff008a74bf0: e06f00a9  stp	x0, x27, [sp]
0xfffffff008a74bf4: e041ffb0  adrp	x0, #0xfffffff0072b1000
0xfffffff008a74bf8: 006c3891  add	x0, x0, #0xe1b
0xfffffff008a74bfc: 18fdff17  b	#0xfffffff008a7405c
0xfffffff008a74c00: f60300aa  mov	x22, x0
0xfffffff008a74c04: f8fcff17  b	#0xfffffff008a73fe4
0xfffffff008a74c08: f60300aa  mov	x22, x0
0xfffffff008a74c0c: 900240f9  ldr	x16, [x20]
0xfffffff008a74c10: f10314aa  mov	x17, x20
0xfffffff008a74c14: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a74c18: 301ac1da  autda	x16, x17
0xfffffff008a74c1c: 113d80d2  mov	x17, #0x1e8
0xfffffff008a74c20: 1002118b  add	x16, x16, x17
0xfffffff008a74c24: 080240f9  ldr	x8, [x16]
0xfffffff008a74c28: e90310aa  mov	x9, x16
0xfffffff008a74c2c: e00314aa  mov	x0, x20
0xfffffff008a74c30: 010080d2  mov	x1, #0
0xfffffff008a74c34: f10309aa  mov	x17, x9
0xfffffff008a74c38: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a74c3c: 11093fd7  blraa	x8, x17
0xfffffff008a74c40: f50300aa  mov	x21, x0
0xfffffff008a74c44: 900240f9  ldr	x16, [x20]
0xfffffff008a74c48: f10314aa  mov	x17, x20
0xfffffff008a74c4c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a74c50: 301ac1da  autda	x16, x17
0xfffffff008a74c54: 118e80d2  mov	x17, #0x470
0xfffffff008a74c58: 1002118b  add	x16, x16, x17
0xfffffff008a74c5c: 080240f9  ldr	x8, [x16]
0xfffffff008a74c60: e90310aa  mov	x9, x16
0xfffffff008a74c64: e00314aa  mov	x0, x20
0xfffffff008a74c68: e10316aa  mov	x1, x22
0xfffffff008a74c6c: f10309aa  mov	x17, x9
0xfffffff008a74c70: d1f9e6f2  movk	x17, #0x37ce, lsl #48
