; Candidate 8102
; ADRP+ADD at VM 0xfffffff008895558 (fileoff 0x1891558): page=0x1fe954000 add_imm=0xe80

0xfffffff0088954d8: fa2b00f9  str	x26, [sp, #0x50]
0xfffffff0088954dc: a9035af8  ldur	x9, [x29, #-0x60]
0xfffffff0088954e0: e96704a9  stp	x9, x25, [sp, #0x40]
0xfffffff0088954e4: a9835af8  ldur	x9, [x29, #-0x58]
0xfffffff0088954e8: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff0088954ec: c84bfff0  adrp	x8, #0xfffffff007210000
0xfffffff0088954f0: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088954f4: e91a8152  mov	w9, #0x8d7
0xfffffff0088954f8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088954fc: c84cffd0  adrp	x8, #0xfffffff00722f000
0xfffffff008895500: 08651d91  add	x8, x8, #0x759
0xfffffff008895504: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008895508: 88098052  mov	w8, #0x4c
0xfffffff00889550c: c04cffd0  adrp	x0, #0xfffffff00722f000
0xfffffff008895510: 00181991  add	x0, x0, #0x646
0xfffffff008895514: 3e000014  b	#0xfffffff00889560c
0xfffffff008895518: 257b0094  bl	#0xfffffff0088b41ac
0xfffffff00889551c: f30300aa  mov	x19, x0
0xfffffff008895520: 80008052  mov	w0, #4
0xfffffff008895524: cb98ff97  bl	#0xfffffff00887b850
0xfffffff008895528: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff00889552c: f6a303a9  stp	x22, x8, [sp, #0x38]
0xfffffff008895530: c84cffd0  adrp	x8, #0xfffffff00722f000
0xfffffff008895534: 08a10d91  add	x8, x8, #0x368
0xfffffff008895538: 09178152  mov	w9, #0x8b8
0xfffffff00889553c: e8d702a9  stp	x8, x21, [sp, #0x28]
0xfffffff008895540: c84cffd0  adrp	x8, #0xfffffff00722f000
0xfffffff008895544: 08651d91  add	x8, x8, #0x759
0xfffffff008895548: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00889554c: 88098052  mov	w8, #0x4c
0xfffffff008895550: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008895554: f30300f9  str	x19, [sp]
0xfffffff008895558: a04aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00889555c: 00003a91  add	x0, x0, #0xe80
0xfffffff008895560: 818bfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008895564: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008895568: 434effd0  adrp	x3, #0xfffffff00725f000
0xfffffff00889556c: 632c0b91  add	x3, x3, #0x2cb
0xfffffff008895570: 02008052  mov	w2, #0
0xfffffff008895574: ef76ea97  bl	#0xfffffff008333130
0xfffffff008895578: 137d8012  mov	w19, #-0x3e9
0xfffffff00889557c: e00313aa  mov	x0, x19
0xfffffff008895580: fd7b4da9  ldp	x29, x30, [sp, #0xd0]
0xfffffff008895584: f44f4ca9  ldp	x20, x19, [sp, #0xc0]
0xfffffff008895588: f6574ba9  ldp	x22, x21, [sp, #0xb0]
0xfffffff00889558c: f85f4aa9  ldp	x24, x23, [sp, #0xa0]
0xfffffff008895590: fa6749a9  ldp	x26, x25, [sp, #0x90]
0xfffffff008895594: fc6f48a9  ldp	x28, x27, [sp, #0x80]
0xfffffff008895598: ff830391  add	sp, sp, #0xe0
0xfffffff00889559c: ff0f5fd6  retab	
0xfffffff0088955a0: f30300aa  mov	x19, x0
0xfffffff0088955a4: 80098052  mov	w0, #0x4c
0xfffffff0088955a8: 81008052  mov	w1, #4
0xfffffff0088955ac: 8998ff97  bl	#0xfffffff00887b7d0
0xfffffff0088955b0: 60feff34  cbz	w0, #0xfffffff00889557c
0xfffffff0088955b4: 80098052  mov	w0, #0x4c
0xfffffff0088955b8: 9898ff97  bl	#0xfffffff00887b818
0xfffffff0088955bc: f60300aa  mov	x22, x0
0xfffffff0088955c0: fb7a0094  bl	#0xfffffff0088b41ac
0xfffffff0088955c4: f50300aa  mov	x21, x0
0xfffffff0088955c8: 80008052  mov	w0, #4
0xfffffff0088955cc: a198ff97  bl	#0xfffffff00887b850
0xfffffff0088955d0: d6050034  cbz	w22, #0xfffffff008895688
0xfffffff0088955d4: e80240f9  ldr	x8, [x23]
