; Candidate 749
; ADRP+ADD at VM 0xfffffff008066708 (fileoff 0x1062708): page=0x1ff009000 add_imm=0xce1

0xfffffff008066688: 00ec2d91  add	x0, x0, #0xb7b
0xfffffff00806668c: 4180ffb0  adrp	x1, #0xfffffff00706f000
0xfffffff008066690: 21682c91  add	x1, x1, #0xb1a
0xfffffff008066694: e2698052  mov	w2, #0x34f
0xfffffff008066698: 5fe41094  bl	#0xfffffff00849f814
0xfffffff00806669c: 28628052  mov	w8, #0x311
0xfffffff0080666a0: 4980ffb0  adrp	x9, #0xfffffff00706f000
0xfffffff0080666a4: 29c92b91  add	x9, x9, #0xaf2
0xfffffff0080666a8: 4a80ffb0  adrp	x10, #0xfffffff00706f000
0xfffffff0080666ac: 4a4d3291  add	x10, x10, #0xc93
0xfffffff0080666b0: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0080666b4: ea4f00a9  stp	x10, x19, [sp]
0xfffffff0080666b8: 4080ffb0  adrp	x0, #0xfffffff00706f000
0xfffffff0080666bc: 00703291  add	x0, x0, #0xc9c
0xfffffff0080666c0: 93b71094  bl	#0xfffffff00849450c
0xfffffff0080666c4: 88628052  mov	w8, #0x314
0xfffffff0080666c8: 4980ffb0  adrp	x9, #0xfffffff00706f000
0xfffffff0080666cc: 29c92b91  add	x9, x9, #0xaf2
0xfffffff0080666d0: 4a80ffb0  adrp	x10, #0xfffffff00706f000
0xfffffff0080666d4: 4a4d3291  add	x10, x10, #0xc93
0xfffffff0080666d8: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0080666dc: ea4f00a9  stp	x10, x19, [sp]
0xfffffff0080666e0: 4080ffb0  adrp	x0, #0xfffffff00706f000
0xfffffff0080666e4: 00fc3291  add	x0, x0, #0xcbf
0xfffffff0080666e8: 89b71094  bl	#0xfffffff00849450c
0xfffffff0080666ec: e8628052  mov	w8, #0x317
0xfffffff0080666f0: 4980ffb0  adrp	x9, #0xfffffff00706f000
0xfffffff0080666f4: 29c92b91  add	x9, x9, #0xaf2
0xfffffff0080666f8: 4a80ffb0  adrp	x10, #0xfffffff00706f000
0xfffffff0080666fc: 4a4d3291  add	x10, x10, #0xc93
0xfffffff008066700: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff008066704: ea4f00a9  stp	x10, x19, [sp]
0xfffffff008066708: 4080ffb0  adrp	x0, #0xfffffff00706f000
0xfffffff00806670c: 00843391  add	x0, x0, #0xce1
0xfffffff008066710: 7fb71094  bl	#0xfffffff00849450c
0xfffffff008066714: 7f2303d5  pacibsp	
0xfffffff008066718: ff8301d1  sub	sp, sp, #0x60
0xfffffff00806671c: fa6701a9  stp	x26, x25, [sp, #0x10]
0xfffffff008066720: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff008066724: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008066728: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff00806672c: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008066730: fd430191  add	x29, sp, #0x50
0xfffffff008066734: f30300aa  mov	x19, x0
0xfffffff008066738: 152840f9  ldr	x21, [x0, #0x50]
0xfffffff00806673c: 490a0190  adrp	x9, #0xfffffff00a1ae000
0xfffffff008066740: 29411291  add	x9, x9, #0x490
0xfffffff008066744: 28008052  mov	w8, #1
0xfffffff008066748: 290128f8  ldadd	x8, x9, [x9]
0xfffffff00806674c: c90e01d0  adrp	x9, #0xfffffff00a240000
0xfffffff008066750: 29210b91  add	x9, x9, #0x2c8
0xfffffff008066754: 290128b8  ldadd	w8, w9, [x9]
0xfffffff008066758: 160840f9  ldr	x22, [x0, #0x10]
0xfffffff00806675c: d8064079  ldrh	w24, [x22, #2]
0xfffffff008066760: 1f1f0071  cmp	w24, #7
0xfffffff008066764: 88010054  b.hi	#0xfffffff008066794
0xfffffff008066768: 490a0190  adrp	x9, #0xfffffff00a1ae000
0xfffffff00806676c: 29611291  add	x9, x9, #0x498
0xfffffff008066770: 290128f8  ldadd	x8, x9, [x9]
0xfffffff008066774: c90e01d0  adrp	x9, #0xfffffff00a240000
0xfffffff008066778: 29310b91  add	x9, x9, #0x2cc
0xfffffff00806677c: 280128b8  ldadd	w8, w8, [x9]
0xfffffff008066780: e00313aa  mov	x0, x19
0xfffffff008066784: 4cd10694  bl	#0xfffffff00821acb4
