; Candidate 5077
; ADRP+ADD at VM 0xfffffff0087d6b44 (fileoff 0x17d2b44): page=0x1fea3b000 add_imm=0xe67

0xfffffff0087d6ac4: 18008052  mov	w24, #0
0xfffffff0087d6ac8: 0ae4002f  movi	d10, #0000000000000000
0xfffffff0087d6acc: fa0308aa  mov	x26, x8
0xfffffff0087d6ad0: f76f00b9  str	w23, [sp, #0x6c]
0xfffffff0087d6ad4: 480bd51a  udiv	w8, w26, w21
0xfffffff0087d6ad8: 1be9151b  msub	w27, w8, w21, w26
0xfffffff0087d6adc: 805a7bfc  ldr	d0, [x20, w27, uxtw #3]
0xfffffff0087d6ae0: 2b39601e  fsub	d11, d9, d0
0xfffffff0087d6ae4: 6a294b1f  fmadd	d10, d11, d11, d10
0xfffffff0087d6ae8: 37060034  cbz	w23, #0xfffffff0087d6bac
0xfffffff0087d6aec: 600f8052  mov	w0, #0x7b
0xfffffff0087d6af0: e1008052  mov	w1, #7
0xfffffff0087d6af4: 37930294  bl	#0xfffffff00887b7d0
0xfffffff0087d6af8: a0050034  cbz	w0, #0xfffffff0087d6bac
0xfffffff0087d6afc: f70316aa  mov	x23, x22
0xfffffff0087d6b00: 600f8052  mov	w0, #0x7b
0xfffffff0087d6b04: 45930294  bl	#0xfffffff00887b818
0xfffffff0087d6b08: f30300aa  mov	x19, x0
0xfffffff0087d6b0c: a8750394  bl	#0xfffffff0088b41ac
0xfffffff0087d6b10: fc0300aa  mov	x28, x0
0xfffffff0087d6b14: e0008052  mov	w0, #7
0xfffffff0087d6b18: 4e930294  bl	#0xfffffff00887b850
0xfffffff0087d6b1c: 5901781e  fcvtzs	w25, d10
0xfffffff0087d6b20: 7601781e  fcvtzs	w22, d11
0xfffffff0087d6b24: 93010034  cbz	w19, #0xfffffff0087d6b54
0xfffffff0087d6b28: 807a7bfc  ldr	d0, [x20, x27, lsl #3]
0xfffffff0087d6b2c: 0800781e  fcvtzs	w8, d0
0xfffffff0087d6b30: f6a302a9  stp	x22, x8, [sp, #0x28]
0xfffffff0087d6b34: f9e301a9  stp	x25, x24, [sp, #0x18]
0xfffffff0087d6b38: 680f8052  mov	w8, #0x7b
0xfffffff0087d6b3c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087d6b40: fc0300f9  str	x28, [sp]
0xfffffff0087d6b44: c051fff0  adrp	x0, #0xfffffff007211000
0xfffffff0087d6b48: 009c3991  add	x0, x0, #0xe67
0xfffffff0087d6b4c: 4582d797  bl	#0xfffffff007db7460
0xfffffff0087d6b50: 15000014  b	#0xfffffff0087d6ba4
0xfffffff0087d6b54: 96750394  bl	#0xfffffff0088b41ac
0xfffffff0087d6b58: f30300aa  mov	x19, x0
0xfffffff0087d6b5c: e0008052  mov	w0, #7
0xfffffff0087d6b60: 3c930294  bl	#0xfffffff00887b850
0xfffffff0087d6b64: 807a7bfc  ldr	d0, [x20, x27, lsl #3]
0xfffffff0087d6b68: 0800781e  fcvtzs	w8, d0
0xfffffff0087d6b6c: f6a302a9  stp	x22, x8, [sp, #0x28]
0xfffffff0087d6b70: e80318aa  mov	x8, x24
0xfffffff0087d6b74: f9a301a9  stp	x25, x8, [sp, #0x18]
0xfffffff0087d6b78: 680f8052  mov	w8, #0x7b
0xfffffff0087d6b7c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087d6b80: f30300f9  str	x19, [sp]
0xfffffff0087d6b84: 8050fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d6b88: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d6b8c: 8191ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087d6b90: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d6b94: 02008052  mov	w2, #0
0xfffffff0087d6b98: 2353ffb0  adrp	x3, #0xfffffff00723b000
0xfffffff0087d6b9c: 63482491  add	x3, x3, #0x912
0xfffffff0087d6ba0: 6471ed97  bl	#0xfffffff008333130
0xfffffff0087d6ba4: f60317aa  mov	x22, x23
0xfffffff0087d6ba8: f76f40b9  ldr	w23, [sp, #0x6c]
0xfffffff0087d6bac: 18070011  add	w24, w24, #1
0xfffffff0087d6bb0: 5a070051  sub	w26, w26, #1
0xfffffff0087d6bb4: df02186b  cmp	w22, w24
0xfffffff0087d6bb8: e1f8ff54  b.ne	#0xfffffff0087d6ad4
0xfffffff0087d6bbc: 02000014  b	#0xfffffff0087d6bc4
0xfffffff0087d6bc0: 0ae4002f  movi	d10, #0000000000000000
