; Candidate 9839
; ADRP+ADD at VM 0xfffffff008b4f990 (fileoff 0x1b4b990): page=0x1fef43000 add_imm=0xe70

0xfffffff008b4f910: 9f2200b8  stur	wzr, [x20, #2]
0xfffffff008b4f914: 9f0e0079  strh	wzr, [x20, #6]
0xfffffff008b4f918: 1f981df9  str	xzr, [x0, #0x3b30]
0xfffffff008b4f91c: 1f941df9  str	xzr, [x0, #0x3b28]
0xfffffff008b4f920: e81e8092  mov	x8, #-0xf8
0xfffffff008b4f924: 1f9c1df9  str	xzr, [x0, #0x3b38]
0xfffffff008b4f928: 0900088b  add	x9, x0, x8
0xfffffff008b4f92c: 3f1d1ef9  str	xzr, [x9, #0x3c38]
0xfffffff008b4f930: 082100b1  adds	x8, x8, #8
0xfffffff008b4f934: a1ffff54  b.ne	#0xfffffff008b4f928
0xfffffff008b4f938: 7f020039  strb	wzr, [x19]
0xfffffff008b4f93c: 298e8752  mov	w9, #0x3c71
0xfffffff008b4f940: 0900098b  add	x9, x0, x9
0xfffffff008b4f944: 3f692838  strb	wzr, [x9, x8]
0xfffffff008b4f948: 08050091  add	x8, x8, #1
0xfffffff008b4f94c: 1f3d00f1  cmp	x8, #0xf
0xfffffff008b4f950: a1ffff54  b.ne	#0xfffffff008b4f944
0xfffffff008b4f954: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008b4f958: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008b4f95c: ff0f5fd6  retab	
0xfffffff008b4f960: 5f2403d5  bti	c
0xfffffff008b4f964: d9ffff17  b	#0xfffffff008b4f8c8
0xfffffff008b4f968: 5f2403d5  bti	c
0xfffffff008b4f96c: 75d1e017  b	#0xfffffff008383f40
0xfffffff008b4f970: 5f2403d5  bti	c
0xfffffff008b4f974: 73d1e017  b	#0xfffffff008383f40
0xfffffff008b4f978: 7f2303d5  pacibsp	
0xfffffff008b4f97c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008b4f980: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008b4f984: fd430091  add	x29, sp, #0x10
0xfffffff008b4f988: f30300aa  mov	x19, x0
0xfffffff008b4f98c: 6dd1e097  bl	#0xfffffff008383f40
0xfffffff008b4f990: 007afff0  adrp	x0, #0xfffffff007a92000
0xfffffff008b4f994: 00c03991  add	x0, x0, #0xe70
0xfffffff008b4f998: e10313aa  mov	x1, x19
0xfffffff008b4f99c: 026e9c52  mov	w2, #0xe370
0xfffffff008b4f9a0: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008b4f9a4: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008b4f9a8: ff2303d5  autibsp	
0xfffffff008b4f9ac: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008b4f9b0: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008b4f9b8
0xfffffff008b4f9b4: 208e38d4  brk	#0xc471
0xfffffff008b4f9b8: 395fde17  b	#0xfffffff0082e769c
0xfffffff008b4f9bc: 5f2403d5  bti	c
0xfffffff008b4f9c0: e20301aa  mov	x2, x1
0xfffffff008b4f9c4: e10300aa  mov	x1, x0
0xfffffff008b4f9c8: 007afff0  adrp	x0, #0xfffffff007a92000
0xfffffff008b4f9cc: 00c03991  add	x0, x0, #0xe70
0xfffffff008b4f9d0: 335fde17  b	#0xfffffff0082e769c
0xfffffff008b4f9d4: 5f2403d5  bti	c
0xfffffff008b4f9d8: a0bc00b0  adrp	x0, #0xfffffff00a2e4000
0xfffffff008b4f9dc: 00003491  add	x0, x0, #0xd00
0xfffffff008b4f9e0: c0035fd6  ret	
0xfffffff008b4f9e4: 7f2303d5  pacibsp	
0xfffffff008b4f9e8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008b4f9ec: fd030091  mov	x29, sp
0xfffffff008b4f9f0: e13eff90  adrp	x1, #0xfffffff00732b000
0xfffffff008b4f9f4: 21d00491  add	x1, x1, #0x134
0xfffffff008b4f9f8: e279ffd0  adrp	x2, #0xfffffff007a8d000
0xfffffff008b4f9fc: 428041f9  ldr	x2, [x2, #0x300]
0xfffffff008b4fa00: 036e9c52  mov	w3, #0xe370
0xfffffff008b4fa04: 4d50de97  bl	#0xfffffff0082e3b38
0xfffffff008b4fa08: f079ffd0  adrp	x16, #0xfffffff007a8d000
0xfffffff008b4fa0c: 10a22691  add	x16, x16, #0x9a8
