; Candidate 4481
; ADRP+ADD at VM 0xfffffff0087b4394 (fileoff 0x17b0394): page=0x1fe97d000 add_imm=0xd90

0xfffffff0087b4314: 746a0cb9  str	w20, [x19, #0xc68]
0xfffffff0087b4318: 604e46f9  ldr	x0, [x19, #0xc98]
0xfffffff0087b431c: 62e23b91  add	x2, x19, #0xef8
0xfffffff0087b4320: d65efe97  bl	#0xfffffff00874be78
0xfffffff0087b4324: a0100034  cbz	w0, #0xfffffff0087b4538
0xfffffff0087b4328: 484dffd0  adrp	x8, #0xfffffff00715e000
0xfffffff0087b432c: 08111f91  add	x8, x8, #0x7c4
0xfffffff0087b4330: e80300f9  str	x8, [sp]
0xfffffff0087b4334: e04bffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087b4338: 00403691  add	x0, x0, #0xd90
0xfffffff0087b433c: 4192ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b4340: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b4344: c34cff90  adrp	x3, #0xfffffff00714c000
0xfffffff0087b4348: 63201691  add	x3, x3, #0x588
0xfffffff0087b434c: 02008052  mov	w2, #0
0xfffffff0087b4350: 78fbed97  bl	#0xfffffff008333130
0xfffffff0087b4354: 07fdff17  b	#0xfffffff0087b3770
0xfffffff0087b4358: 494dffd0  adrp	x9, #0xfffffff00715e000
0xfffffff0087b435c: 29851891  add	x9, x9, #0x621
0xfffffff0087b4360: e92300a9  stp	x9, x8, [sp]
0xfffffff0087b4364: e04bffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087b4368: 00403691  add	x0, x0, #0xd90
0xfffffff0087b436c: 4192ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b4370: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b4374: c34cff90  adrp	x3, #0xfffffff00714c000
0xfffffff0087b4378: 63480791  add	x3, x3, #0x1d2
0xfffffff0087b437c: 02008052  mov	w2, #0
0xfffffff0087b4380: 6cfbed97  bl	#0xfffffff008333130
0xfffffff0087b4384: fbfcff17  b	#0xfffffff0087b3770
0xfffffff0087b4388: 484dffd0  adrp	x8, #0xfffffff00715e000
0xfffffff0087b438c: 080d1991  add	x8, x8, #0x643
0xfffffff0087b4390: e80300f9  str	x8, [sp]
0xfffffff0087b4394: e04bffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087b4398: 00403691  add	x0, x0, #0xd90
0xfffffff0087b439c: 4192ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b43a0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b43a4: c34cff90  adrp	x3, #0xfffffff00714c000
0xfffffff0087b43a8: 63580891  add	x3, x3, #0x216
0xfffffff0087b43ac: 02008052  mov	w2, #0
0xfffffff0087b43b0: 60fbed97  bl	#0xfffffff008333130
0xfffffff0087b43b4: effcff17  b	#0xfffffff0087b3770
0xfffffff0087b43b8: 484dffd0  adrp	x8, #0xfffffff00715e000
0xfffffff0087b43bc: 08d91e91  add	x8, x8, #0x7b6
0xfffffff0087b43c0: e80300f9  str	x8, [sp]
0xfffffff0087b43c4: e04bffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087b43c8: 00403691  add	x0, x0, #0xd90
0xfffffff0087b43cc: 4192ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b43d0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b43d4: c34cff90  adrp	x3, #0xfffffff00714c000
0xfffffff0087b43d8: 63901591  add	x3, x3, #0x564
0xfffffff0087b43dc: 02008052  mov	w2, #0
0xfffffff0087b43e0: 54fbed97  bl	#0xfffffff008333130
0xfffffff0087b43e4: e3fcff17  b	#0xfffffff0087b3770
0xfffffff0087b43e8: 484dffd0  adrp	x8, #0xfffffff00715e000
0xfffffff0087b43ec: 08611991  add	x8, x8, #0x658
0xfffffff0087b43f0: e80300f9  str	x8, [sp]
0xfffffff0087b43f4: e04bffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087b43f8: 00403691  add	x0, x0, #0xd90
0xfffffff0087b43fc: 4192ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b4400: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b4404: c34cff90  adrp	x3, #0xfffffff00714c000
0xfffffff0087b4408: 63e80891  add	x3, x3, #0x23a
0xfffffff0087b440c: 02008052  mov	w2, #0
0xfffffff0087b4410: 48fbed97  bl	#0xfffffff008333130
