; Candidate 570
; ADRP+ADD at VM 0xfffffff007f87218 (fileoff 0xf83218): page=0x1ff0db000 add_imm=0xe34

0xfffffff007f87198: a01501f0  adrp	x0, #0xfffffff00a23e000
0xfffffff007f8719c: 00401e91  add	x0, x0, #0x790
0xfffffff007f871a0: e10314aa  mov	x1, x20
0xfffffff007f871a4: 7095f897  bl	#0xfffffff007dac764
0xfffffff007f871a8: 61feff17  b	#0xfffffff007f86b2c
0xfffffff007f871ac: e086ff90  adrp	x0, #0xfffffff007063000
0xfffffff007f871b0: 00903e91  add	x0, x0, #0xfa4
0xfffffff007f871b4: c186fff0  adrp	x1, #0xfffffff007062000
0xfffffff007f871b8: 21300991  add	x1, x1, #0x24c
0xfffffff007f871bc: e2a18452  mov	w2, #0x250f
0xfffffff007f871c0: 95611494  bl	#0xfffffff00849f814
0xfffffff007f871c4: e086ff90  adrp	x0, #0xfffffff007063000
0xfffffff007f871c8: 00380291  add	x0, x0, #0x8e
0xfffffff007f871cc: c186fff0  adrp	x1, #0xfffffff007062000
0xfffffff007f871d0: 21300991  add	x1, x1, #0x24c
0xfffffff007f871d4: 42958452  mov	w2, #0x24aa
0xfffffff007f871d8: 8f611494  bl	#0xfffffff00849f814
0xfffffff007f871dc: e086ff90  adrp	x0, #0xfffffff007063000
0xfffffff007f871e0: 001c0391  add	x0, x0, #0xc7
0xfffffff007f871e4: c186fff0  adrp	x1, #0xfffffff007062000
0xfffffff007f871e8: 21300991  add	x1, x1, #0x24c
0xfffffff007f871ec: 42968452  mov	w2, #0x24b2
0xfffffff007f871f0: 89611494  bl	#0xfffffff00849f814
0xfffffff007f871f4: e01740f9  ldr	x0, [sp, #0x28]
0xfffffff007f871f8: e10314aa  mov	x1, x20
0xfffffff007f871fc: 22008052  mov	w2, #1
0xfffffff007f87200: 3e92f897  bl	#0xfffffff007dabaf8
0xfffffff007f87204: fffbff17  b	#0xfffffff007f86200
0xfffffff007f87208: e01740f9  ldr	x0, [sp, #0x28]
0xfffffff007f8720c: e10314aa  mov	x1, x20
0xfffffff007f87210: 5595f897  bl	#0xfffffff007dac764
0xfffffff007f87214: 03fcff17  b	#0xfffffff007f86220
0xfffffff007f87218: c086fff0  adrp	x0, #0xfffffff007062000
0xfffffff007f8721c: 00d03891  add	x0, x0, #0xe34
0xfffffff007f87220: c186fff0  adrp	x1, #0xfffffff007062000
0xfffffff007f87224: 21300991  add	x1, x1, #0x24c
0xfffffff007f87228: 827d8452  mov	w2, #0x23ec
0xfffffff007f8722c: 7a611494  bl	#0xfffffff00849f814
0xfffffff007f87230: c086fff0  adrp	x0, #0xfffffff007062000
0xfffffff007f87234: 00603991  add	x0, x0, #0xe58
0xfffffff007f87238: c186fff0  adrp	x1, #0xfffffff007062000
0xfffffff007f8723c: 21300991  add	x1, x1, #0x24c
0xfffffff007f87240: 627e8452  mov	w2, #0x23f3
0xfffffff007f87244: 74611494  bl	#0xfffffff00849f814
0xfffffff007f87248: e01740f9  ldr	x0, [sp, #0x28]
0xfffffff007f8724c: e10314aa  mov	x1, x20
0xfffffff007f87250: 22008052  mov	w2, #1
0xfffffff007f87254: 2992f897  bl	#0xfffffff007dabaf8
0xfffffff007f87258: 7ffcff17  b	#0xfffffff007f86454
0xfffffff007f8725c: e01740f9  ldr	x0, [sp, #0x28]
0xfffffff007f87260: e10314aa  mov	x1, x20
0xfffffff007f87264: 4095f897  bl	#0xfffffff007dac764
0xfffffff007f87268: 84fcff17  b	#0xfffffff007f86478
0xfffffff007f8726c: e0031aaa  mov	x0, x26
0xfffffff007f87270: e10314aa  mov	x1, x20
0xfffffff007f87274: 02008052  mov	w2, #0
0xfffffff007f87278: 2092f897  bl	#0xfffffff007dabaf8
0xfffffff007f8727c: a4faff17  b	#0xfffffff007f85d0c
0xfffffff007f87280: c086fff0  adrp	x0, #0xfffffff007062000
0xfffffff007f87284: 00743a91  add	x0, x0, #0xe9d
0xfffffff007f87288: c186fff0  adrp	x1, #0xfffffff007062000
0xfffffff007f8728c: 21300991  add	x1, x1, #0x24c
0xfffffff007f87290: 02838452  mov	w2, #0x2418
0xfffffff007f87294: 60611494  bl	#0xfffffff00849f814
