; Candidate 7051
; ADRP+ADD at VM 0xfffffff008853c60 (fileoff 0x184fc60): page=0x1fe996000 add_imm=0xe80

0xfffffff008853be0: 37020034  cbz	w23, #0xfffffff008853c24
0xfffffff008853be4: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff008853be8: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff008853bec: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff008853bf0: 884efff0  adrp	x8, #0xfffffff007226000
0xfffffff008853bf4: 09cd2191  add	x9, x8, #0x873
0xfffffff008853bf8: a84eff90  adrp	x8, #0xfffffff007227000
0xfffffff008853bfc: 08811191  add	x8, x8, #0x460
0xfffffff008853c00: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008853c04: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008853c08: 880c8052  mov	w8, #0x64
0xfffffff008853c0c: e04dfff0  adrp	x0, #0xfffffff007212000
0xfffffff008853c10: 000c2191  add	x0, x0, #0x843
0xfffffff008853c14: f62300a9  stp	x22, x8, [sp]
0xfffffff008853c18: 128ed597  bl	#0xfffffff007db7460
0xfffffff008853c1c: 540300b5  cbnz	x20, #0xfffffff008853c84
0xfffffff008853c20: 22000014  b	#0xfffffff008853ca8
0xfffffff008853c24: 62810194  bl	#0xfffffff0088b41ac
0xfffffff008853c28: f60300aa  mov	x22, x0
0xfffffff008853c2c: e0008052  mov	w0, #7
0xfffffff008853c30: 089f0094  bl	#0xfffffff00887b850
0xfffffff008853c34: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff008853c38: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff008853c3c: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff008853c40: 884efff0  adrp	x8, #0xfffffff007226000
0xfffffff008853c44: 09cd2191  add	x9, x8, #0x873
0xfffffff008853c48: a84eff90  adrp	x8, #0xfffffff007227000
0xfffffff008853c4c: 08811191  add	x8, x8, #0x460
0xfffffff008853c50: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008853c54: 880c8052  mov	w8, #0x64
0xfffffff008853c58: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008853c5c: f60300f9  str	x22, [sp]
0xfffffff008853c60: a04cffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008853c64: 00003a91  add	x0, x0, #0xe80
0xfffffff008853c68: a18dffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008853c6c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008853c70: 0350ff90  adrp	x3, #0xfffffff007253000
0xfffffff008853c74: 63901791  add	x3, x3, #0x5e4
0xfffffff008853c78: 02008052  mov	w2, #0
0xfffffff008853c7c: 2d7deb97  bl	#0xfffffff008333130
0xfffffff008853c80: 540100b4  cbz	x20, #0xfffffff008853ca8
0xfffffff008853c84: 350100b4  cbz	x21, #0xfffffff008853ca8
0xfffffff008853c88: 68a240b9  ldr	w8, [x19, #0xa0]
0xfffffff008853c8c: 08791f12  and	w8, w8, #0xfffffffe
0xfffffff008853c90: 1f090071  cmp	w8, #2
0xfffffff008853c94: 61000054  b.ne	#0xfffffff008853ca0
0xfffffff008853c98: 882640b9  ldr	w8, [x20, #0x24]
0xfffffff008853c9c: c80f0034  cbz	w8, #0xfffffff008853e94
0xfffffff008853ca0: 16008052  mov	w22, #0
0xfffffff008853ca4: 3c000014  b	#0xfffffff008853d94
0xfffffff008853ca8: 800c8052  mov	w0, #0x64
0xfffffff008853cac: 81008052  mov	w1, #4
0xfffffff008853cb0: c89e0094  bl	#0xfffffff00887b7d0
0xfffffff008853cb4: e0060034  cbz	w0, #0xfffffff008853d90
0xfffffff008853cb8: 800c8052  mov	w0, #0x64
0xfffffff008853cbc: d79e0094  bl	#0xfffffff00887b818
0xfffffff008853cc0: f70300aa  mov	x23, x0
0xfffffff008853cc4: 3a810194  bl	#0xfffffff0088b41ac
0xfffffff008853cc8: f60300aa  mov	x22, x0
0xfffffff008853ccc: 80008052  mov	w0, #4
0xfffffff008853cd0: e09e0094  bl	#0xfffffff00887b850
0xfffffff008853cd4: 97020034  cbz	w23, #0xfffffff008853d24
0xfffffff008853cd8: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff008853cdc: f4d704a9  stp	x20, x21, [sp, #0x48]
