; Candidate 6422
; ADRP+ADD at VM 0xfffffff00882a330 (fileoff 0x1826330): page=0x1fe9f7000 add_imm=0xe91

0xfffffff00882a2b0: a023ec97  bl	#0xfffffff008333130
0xfffffff00882a2b4: a80240b9  ldr	w8, [x21]
0xfffffff00882a2b8: 1f050071  cmp	w8, #1
0xfffffff00882a2bc: 4b0a0054  b.lt	#0xfffffff00882a404
0xfffffff00882a2c0: 1a0080d2  mov	x26, #0
0xfffffff00882a2c4: e803134b  neg	w8, w19
0xfffffff00882a2c8: bb220091  add	x27, x21, #8
0xfffffff00882a2cc: 08011b12  and	w8, w8, #0x20
0xfffffff00882a2d0: e84f00b9  str	w8, [sp, #0x4c]
0xfffffff00882a2d4: f70314aa  mov	x23, x20
0xfffffff00882a2d8: e00314aa  mov	x0, x20
0xfffffff00882a2dc: e10316aa  mov	x1, x22
0xfffffff00882a2e0: 3c450194  bl	#0xfffffff00887b7d0
0xfffffff00882a2e4: 60080034  cbz	w0, #0xfffffff00882a3f0
0xfffffff00882a2e8: e00314aa  mov	x0, x20
0xfffffff00882a2ec: 4b450194  bl	#0xfffffff00887b818
0xfffffff00882a2f0: 7302f837  tbnz	w19, #0x1f, #0xfffffff00882a33c
0xfffffff00882a2f4: 78021b12  and	w24, w19, #0x20
0xfffffff00882a2f8: 1c000052  eor	w28, w0, #1
0xfffffff00882a2fc: ac270294  bl	#0xfffffff0088b41ac
0xfffffff00882a300: f90300aa  mov	x25, x0
0xfffffff00882a304: e00316aa  mov	x0, x22
0xfffffff00882a308: 52450194  bl	#0xfffffff00887b850
0xfffffff00882a30c: 8817582a  orr	w8, w28, w24, lsr #5
0xfffffff00882a310: e8020037  tbnz	w8, #0, #0xfffffff00882a36c
0xfffffff00882a314: 68a77f29  ldp	w8, w9, [x27, #-4]
0xfffffff00882a318: 6aaf4029  ldp	w10, w11, [x27, #4]
0xfffffff00882a31c: eaaf03a9  stp	x10, x11, [sp, #0x38]
0xfffffff00882a320: e8a702a9  stp	x8, x9, [sp, #0x28]
0xfffffff00882a324: f5eb01a9  stp	x21, x26, [sp, #0x18]
0xfffffff00882a328: f48300a9  stp	x20, x0, [sp, #8]
0xfffffff00882a32c: f90300f9  str	x25, [sp]
0xfffffff00882a330: a04ffff0  adrp	x0, #0xfffffff007221000
0xfffffff00882a334: 00443a91  add	x0, x0, #0xe91
0xfffffff00882a338: 0b000014  b	#0xfffffff00882a364
0xfffffff00882a33c: 00040034  cbz	w0, #0xfffffff00882a3bc
0xfffffff00882a340: e84f40b9  ldr	w8, [sp, #0x4c]
0xfffffff00882a344: c8030035  cbnz	w8, #0xfffffff00882a3bc
0xfffffff00882a348: 68a77f29  ldp	w8, w9, [x27, #-4]
0xfffffff00882a34c: 6aaf4029  ldp	w10, w11, [x27, #4]
0xfffffff00882a350: ea2f02a9  stp	x10, x11, [sp, #0x20]
0xfffffff00882a354: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff00882a358: f56b00a9  stp	x21, x26, [sp]
0xfffffff00882a35c: a04ffff0  adrp	x0, #0xfffffff007221000
0xfffffff00882a360: 00b83991  add	x0, x0, #0xe6e
0xfffffff00882a364: 3f34d697  bl	#0xfffffff007db7460
0xfffffff00882a368: 22000014  b	#0xfffffff00882a3f0
0xfffffff00882a36c: 90270294  bl	#0xfffffff0088b41ac
0xfffffff00882a370: f90300aa  mov	x25, x0
0xfffffff00882a374: e00316aa  mov	x0, x22
0xfffffff00882a378: 36450194  bl	#0xfffffff00887b850
0xfffffff00882a37c: 68a77f29  ldp	w8, w9, [x27, #-4]
0xfffffff00882a380: 6aaf4029  ldp	w10, w11, [x27, #4]
0xfffffff00882a384: eaaf03a9  stp	x10, x11, [sp, #0x38]
0xfffffff00882a388: e8a702a9  stp	x8, x9, [sp, #0x28]
0xfffffff00882a38c: f5eb01a9  stp	x21, x26, [sp, #0x18]
0xfffffff00882a390: f78300a9  stp	x23, x0, [sp, #8]
0xfffffff00882a394: f90300f9  str	x25, [sp]
0xfffffff00882a398: e04dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00882a39c: 00003a91  add	x0, x0, #0xe80
0xfffffff00882a3a0: e18effd0  adrp	x1, #0xfffffff007a08000
0xfffffff00882a3a4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00882a3a8: 02008052  mov	w2, #0
0xfffffff00882a3ac: 0351ffd0  adrp	x3, #0xfffffff00724c000
