; Candidate 13548
; ADRP+ADD at VM 0xfffffff00938629c (fileoff 0x238229c): page=0x1fe177000 add_imm=0xe60

0xfffffff00938621c: 679bc397  bl	#0xfffffff00846cfb8
0xfffffff009386220: 688241b9  ldr	w8, [x19, #0x180]
0xfffffff009386224: 09010032  orr	w9, w8, #1
0xfffffff009386228: 698201b9  str	w9, [x19, #0x180]
0xfffffff00938622c: e8030836  tbz	w8, #1, #0xfffffff0093862a8
0xfffffff009386230: ff1f00f9  str	xzr, [sp, #0x38]
0xfffffff009386234: ff3700b9  str	wzr, [sp, #0x34]
0xfffffff009386238: e0e30091  add	x0, sp, #0x38
0xfffffff00938623c: e1d30091  add	x1, sp, #0x34
0xfffffff009386240: 3138ad97  bl	#0xfffffff007ed4304
0xfffffff009386244: f51f40f9  ldr	x21, [sp, #0x38]
0xfffffff009386248: 700240f9  ldr	x16, [x19]
0xfffffff00938624c: f10313aa  mov	x17, x19
0xfffffff009386250: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009386254: 301ac1da  autda	x16, x17
0xfffffff009386258: f10310aa  mov	x17, x16
0xfffffff00938625c: f147c1da  xpacd	x17
0xfffffff009386260: 1f0211eb  cmp	x16, x17
0xfffffff009386264: 40000054  b.eq	#0xfffffff00938626c
0xfffffff009386268: 408e38d4  brk	#0xc472
0xfffffff00938626c: 08a20791  add	x8, x16, #0x1e8
0xfffffff009386270: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009386274: f63740b9  ldr	w22, [sp, #0x34]
0xfffffff009386278: e00313aa  mov	x0, x19
0xfffffff00938627c: 010080d2  mov	x1, #0
0xfffffff009386280: f10308aa  mov	x17, x8
0xfffffff009386284: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009386288: 31093fd7  blraa	x9, x17
0xfffffff00938628c: a80bfff0  adrp	x8, #0xfffffff0074fd000
0xfffffff009386290: 08d53991  add	x8, x8, #0xe75
0xfffffff009386294: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff009386298: f55b00a9  stp	x21, x22, [sp]
0xfffffff00938629c: a00bfff0  adrp	x0, #0xfffffff0074fd000
0xfffffff0093862a0: 00803991  add	x0, x0, #0xe60
0xfffffff0093862a4: 5f43bf97  bl	#0xfffffff008357020
0xfffffff0093862a8: e00313aa  mov	x0, x19
0xfffffff0093862ac: 010080d2  mov	x1, #0
0xfffffff0093862b0: 3ac7c097  bl	#0xfffffff0083b7f98
0xfffffff0093862b4: 609a00f9  str	x0, [x19, #0x130]
0xfffffff0093862b8: e04700b4  cbz	x0, #0xfffffff009386bb4
0xfffffff0093862bc: 700240f9  ldr	x16, [x19]
0xfffffff0093862c0: f10313aa  mov	x17, x19
0xfffffff0093862c4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093862c8: 301ac1da  autda	x16, x17
0xfffffff0093862cc: 116f80d2  mov	x17, #0x378
0xfffffff0093862d0: 1002118b  add	x16, x16, x17
0xfffffff0093862d4: 080240f9  ldr	x8, [x16]
0xfffffff0093862d8: e90310aa  mov	x9, x16
0xfffffff0093862dc: e00313aa  mov	x0, x19
0xfffffff0093862e0: f10309aa  mov	x17, x9
0xfffffff0093862e4: d171ecf2  movk	x17, #0x638e, lsl #48
0xfffffff0093862e8: 11093fd7  blraa	x8, x17
0xfffffff0093862ec: 619a40f9  ldr	x1, [x19, #0x130]
0xfffffff0093862f0: 100040f9  ldr	x16, [x0]
0xfffffff0093862f4: f10300aa  mov	x17, x0
0xfffffff0093862f8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093862fc: 301ac1da  autda	x16, x17
0xfffffff009386300: 080e4af8  ldr	x8, [x16, #0xa0]!
0xfffffff009386304: e90310aa  mov	x9, x16
0xfffffff009386308: f10309aa  mov	x17, x9
0xfffffff00938630c: 113de2f2  movk	x17, #0x11e8, lsl #48
0xfffffff009386310: 11093fd7  blraa	x8, x17
0xfffffff009386314: 00450035  cbnz	w0, #0xfffffff009386bb4
0xfffffff009386318: e841ff90  adrp	x8, #0xfffffff007bc2000
