; Candidate 6598
; ADRP+ADD at VM 0xfffffff008834dc4 (fileoff 0x1830dc4): page=0x1fe9b5000 add_imm=0xe80

0xfffffff008834d44: 01018052  mov	w1, #8
0xfffffff008834d48: a21a0194  bl	#0xfffffff00887b7d0
0xfffffff008834d4c: c0040034  cbz	w0, #0xfffffff008834de4
0xfffffff008834d50: 200f8052  mov	w0, #0x79
0xfffffff008834d54: b11a0194  bl	#0xfffffff00887b818
0xfffffff008834d58: f60300aa  mov	x22, x0
0xfffffff008834d5c: 14fd0194  bl	#0xfffffff0088b41ac
0xfffffff008834d60: f50300aa  mov	x21, x0
0xfffffff008834d64: 00018052  mov	w0, #8
0xfffffff008834d68: ba1a0194  bl	#0xfffffff00887b850
0xfffffff008834d6c: 76010034  cbz	w22, #0xfffffff008834d98
0xfffffff008834d70: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff008834d74: 684ffff0  adrp	x8, #0xfffffff007223000
0xfffffff008834d78: 08d50391  add	x8, x8, #0xf5
0xfffffff008834d7c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008834d80: 280f8052  mov	w8, #0x79
0xfffffff008834d84: f52300a9  stp	x21, x8, [sp]
0xfffffff008834d88: 004fffb0  adrp	x0, #0xfffffff007215000
0xfffffff008834d8c: 00a81591  add	x0, x0, #0x56a
0xfffffff008834d90: b409d697  bl	#0xfffffff007db7460
0xfffffff008834d94: 14000014  b	#0xfffffff008834de4
0xfffffff008834d98: 05fd0194  bl	#0xfffffff0088b41ac
0xfffffff008834d9c: f50300aa  mov	x21, x0
0xfffffff008834da0: 00018052  mov	w0, #8
0xfffffff008834da4: ab1a0194  bl	#0xfffffff00887b850
0xfffffff008834da8: e80314aa  mov	x8, x20
0xfffffff008834dac: f32302a9  stp	x19, x8, [sp, #0x20]
0xfffffff008834db0: 684ffff0  adrp	x8, #0xfffffff007223000
0xfffffff008834db4: 08d50391  add	x8, x8, #0xf5
0xfffffff008834db8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008834dbc: 280f8052  mov	w8, #0x79
0xfffffff008834dc0: f52300a9  stp	x21, x8, [sp]
0xfffffff008834dc4: a04dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008834dc8: 00003a91  add	x0, x0, #0xe80
0xfffffff008834dcc: a18eff90  adrp	x1, #0xfffffff007a08000
0xfffffff008834dd0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008834dd4: c350ffb0  adrp	x3, #0xfffffff00724d000
0xfffffff008834dd8: 63b03791  add	x3, x3, #0xdec
0xfffffff008834ddc: 02008052  mov	w2, #0
0xfffffff008834de0: d4f8eb97  bl	#0xfffffff008333130
0xfffffff008834de4: e00314aa  mov	x0, x20
0xfffffff008834de8: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff008834dec: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff008834df0: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff008834df4: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff008834df8: ffc30291  add	sp, sp, #0xb0
0xfffffff008834dfc: ff0f5fd6  retab	
0xfffffff008834e00: 680240f9  ldr	x8, [x19]
0xfffffff008834e04: 1f4140b9  ldr	wzr, [x8, #0x40]
0xfffffff008834e08: 1f4540b9  ldr	wzr, [x8, #0x44]
0xfffffff008834e0c: e8fc0194  bl	#0xfffffff0088b41ac
0xfffffff008834e10: f50300aa  mov	x21, x0
0xfffffff008834e14: c0008052  mov	w0, #6
0xfffffff008834e18: 8e1a0194  bl	#0xfffffff00887b850
0xfffffff008834e1c: 680240f9  ldr	x8, [x19]
0xfffffff008834e20: 690a40b9  ldr	w9, [x19, #8]
0xfffffff008834e24: 0a4140b9  ldr	w10, [x8, #0x40]
0xfffffff008834e28: 084540b9  ldr	w8, [x8, #0x44]
0xfffffff008834e2c: 6bda40b9  ldr	w11, [x19, #0xd8]
0xfffffff008834e30: eb3300f9  str	x11, [sp, #0x60]
0xfffffff008834e34: eb0317aa  mov	x11, x23
0xfffffff008834e38: f42f05a9  stp	x20, x11, [sp, #0x50]
0xfffffff008834e3c: ea2304a9  stp	x10, x8, [sp, #0x40]
0xfffffff008834e40: e96303a9  stp	x9, x24, [sp, #0x30]
