; Candidate 7215
; ADRP+ADD at VM 0xfffffff00885ff1c (fileoff 0x185bf1c): page=0x1fe98a000 add_imm=0xe80

0xfffffff00885fe9c: e94f03a9  stp	x9, x19, [sp, #0x30]
0xfffffff00885fea0: 28758052  mov	w8, #0x3a9
0xfffffff00885fea4: 494eff90  adrp	x9, #0xfffffff007227000
0xfffffff00885fea8: 29553f91  add	x9, x9, #0xfd5
0xfffffff00885feac: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00885feb0: 484eff90  adrp	x8, #0xfffffff007227000
0xfffffff00885feb4: 08811191  add	x8, x8, #0x460
0xfffffff00885feb8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00885febc: c80b8052  mov	w8, #0x5e
0xfffffff00885fec0: 404eff90  adrp	x0, #0xfffffff007227000
0xfffffff00885fec4: 00683e91  add	x0, x0, #0xf9a
0xfffffff00885fec8: f52300a9  stp	x21, x8, [sp]
0xfffffff00885fecc: 655dd597  bl	#0xfffffff007db7460
0xfffffff00885fed0: 1b000014  b	#0xfffffff00885ff3c
0xfffffff00885fed4: b6500194  bl	#0xfffffff0088b41ac
0xfffffff00885fed8: f50300aa  mov	x21, x0
0xfffffff00885fedc: 80008052  mov	w0, #4
0xfffffff00885fee0: 5c6e0094  bl	#0xfffffff00887b850
0xfffffff00885fee4: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00885fee8: e85304a9  stp	x8, x20, [sp, #0x40]
0xfffffff00885feec: 684dfff0  adrp	x8, #0xfffffff00720e000
0xfffffff00885fef0: 08691291  add	x8, x8, #0x49a
0xfffffff00885fef4: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00885fef8: 28758052  mov	w8, #0x3a9
0xfffffff00885fefc: 494eff90  adrp	x9, #0xfffffff007227000
0xfffffff00885ff00: 29553f91  add	x9, x9, #0xfd5
0xfffffff00885ff04: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00885ff08: 484eff90  adrp	x8, #0xfffffff007227000
0xfffffff00885ff0c: 08811191  add	x8, x8, #0x460
0xfffffff00885ff10: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00885ff14: c80b8052  mov	w8, #0x5e
0xfffffff00885ff18: f52300a9  stp	x21, x8, [sp]
0xfffffff00885ff1c: 404cffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00885ff20: 00003a91  add	x0, x0, #0xe80
0xfffffff00885ff24: 418dffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00885ff28: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00885ff2c: a34fffd0  adrp	x3, #0xfffffff007255000
0xfffffff00885ff30: 63742f91  add	x3, x3, #0xbdd
0xfffffff00885ff34: 02008052  mov	w2, #0
0xfffffff00885ff38: 7e4ceb97  bl	#0xfffffff008333130
0xfffffff00885ff3c: 207d8012  mov	w0, #-0x3ea
0xfffffff00885ff40: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff00885ff44: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff00885ff48: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff00885ff4c: ff430291  add	sp, sp, #0x90
0xfffffff00885ff50: ff0f5fd6  retab	
0xfffffff00885ff54: 7f2303d5  pacibsp	
0xfffffff00885ff58: ff0303d1  sub	sp, sp, #0xc0
0xfffffff00885ff5c: fc6f06a9  stp	x28, x27, [sp, #0x60]
0xfffffff00885ff60: fa6707a9  stp	x26, x25, [sp, #0x70]
0xfffffff00885ff64: f85f08a9  stp	x24, x23, [sp, #0x80]
0xfffffff00885ff68: f65709a9  stp	x22, x21, [sp, #0x90]
0xfffffff00885ff6c: f44f0aa9  stp	x20, x19, [sp, #0xa0]
0xfffffff00885ff70: fd7b0ba9  stp	x29, x30, [sp, #0xb0]
0xfffffff00885ff74: fdc30291  add	x29, sp, #0xb0
0xfffffff00885ff78: bfc31ab8  stur	wzr, [x29, #-0x54]
0xfffffff00885ff7c: 08a040b9  ldr	w8, [x0, #0xa0]
0xfffffff00885ff80: 1f0d0071  cmp	w8, #3
0xfffffff00885ff84: 011a0054  b.ne	#0xfffffff0088602c4
0xfffffff00885ff88: f40301aa  mov	x20, x1
0xfffffff00885ff8c: f30300aa  mov	x19, x0
0xfffffff00885ff90: 003840f9  ldr	x0, [x0, #0x70]
0xfffffff00885ff94: a15301d1  sub	x1, x29, #0x54
0xfffffff00885ff98: abe70094  bl	#0xfffffff008899e44
