; Candidate 3503
; ADRP+ADD at VM 0xfffffff008742a80 (fileoff 0x173ea80): page=0x1fe9ef000 add_imm=0xd90

0xfffffff008742a00: 088e47f8  ldr	x8, [x16, #0x78]!
0xfffffff008742a04: e90310aa  mov	x9, x16
0xfffffff008742a08: f10309aa  mov	x17, x9
0xfffffff008742a0c: 11f9faf2  movk	x17, #0xd7c8, lsl #48
0xfffffff008742a10: 11093fd7  blraa	x8, x17
0xfffffff008742a14: e10300aa  mov	x1, x0
0xfffffff008742a18: 900240f9  ldr	x16, [x20]
0xfffffff008742a1c: f10314aa  mov	x17, x20
0xfffffff008742a20: b1a6f3f2  movk	x17, #0x9d35, lsl #48
0xfffffff008742a24: 301ac1da  autda	x16, x17
0xfffffff008742a28: 088e45f8  ldr	x8, [x16, #0x58]!
0xfffffff008742a2c: e90310aa  mov	x9, x16
0xfffffff008742a30: e00314aa  mov	x0, x20
0xfffffff008742a34: f10309aa  mov	x17, x9
0xfffffff008742a38: 1108ebf2  movk	x17, #0x5840, lsl #48
0xfffffff008742a3c: 11093fd7  blraa	x8, x17
0xfffffff008742a40: a0010034  cbz	w0, #0xfffffff008742a74
0xfffffff008742a44: 93578052  mov	w19, #0x2bc
0xfffffff008742a48: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008742a4c: a80e168b  add	x8, x21, x22, lsl #3
0xfffffff008742a50: 085d40f9  ldr	x8, [x8, #0xb8]
0xfffffff008742a54: 000540f9  ldr	x0, [x8, #8]
0xfffffff008742a58: 77d7ff97  bl	#0xfffffff008738834
0xfffffff008742a5c: e00313aa  mov	x0, x19
0xfffffff008742a60: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008742a64: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008742a68: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff008742a6c: ff030191  add	sp, sp, #0x40
0xfffffff008742a70: ff0f5fd6  retab	
0xfffffff008742a74: a850ffb0  adrp	x8, #0xfffffff007157000
0xfffffff008742a78: 083d2d91  add	x8, x8, #0xb4f
0xfffffff008742a7c: e80300f9  str	x8, [sp]
0xfffffff008742a80: 604ffff0  adrp	x0, #0xfffffff007131000
0xfffffff008742a84: 00403691  add	x0, x0, #0xd90
0xfffffff008742a88: c195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008742a8c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008742a90: c34ffff0  adrp	x3, #0xfffffff00713d000
0xfffffff008742a94: 63540791  add	x3, x3, #0x1d5
0xfffffff008742a98: 02008052  mov	w2, #0
0xfffffff008742a9c: a5c1ef97  bl	#0xfffffff008333130
0xfffffff008742aa0: 13008052  mov	w19, #0
0xfffffff008742aa4: eeffff17  b	#0xfffffff008742a5c
0xfffffff008742aa8: 5f2403d5  bti	c
0xfffffff008742aac: 08d871b9  ldr	w8, [x0, #0x31d8]
0xfffffff008742ab0: e9a39052  mov	w9, #0x851f
0xfffffff008742ab4: 693daa72  movk	w9, #0x51eb, lsl #16
0xfffffff008742ab8: 087d099b  mul	x8, x8, x9
0xfffffff008742abc: 00fd65d3  lsr	x0, x8, #0x25
0xfffffff008742ac0: c0035fd6  ret	
0xfffffff008742ac4: 7f2303d5  pacibsp	
0xfffffff008742ac8: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008742acc: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008742ad0: fd430091  add	x29, sp, #0x10
0xfffffff008742ad4: f40301aa  mov	x20, x1
0xfffffff008742ad8: f30300aa  mov	x19, x0
0xfffffff008742adc: 00c440f9  ldr	x0, [x0, #0x188]
0xfffffff008742ae0: fba3d997  bl	#0xfffffff007dabacc
0xfffffff008742ae4: 74fa01b9  str	w20, [x19, #0x1f8]
0xfffffff008742ae8: 60f258f9  ldr	x0, [x19, #0x31e0]
0xfffffff008742aec: 600000b4  cbz	x0, #0xfffffff008742af8
0xfffffff008742af0: e10314aa  mov	x1, x20
0xfffffff008742af4: 5da00094  bl	#0xfffffff00876ac68
0xfffffff008742af8: 60c640f9  ldr	x0, [x19, #0x188]
0xfffffff008742afc: 10a7d997  bl	#0xfffffff007dac73c
