; Candidate 6933
; ADRP+ADD at VM 0xfffffff00884ad04 (fileoff 0x1846d04): page=0x1fe99f000 add_imm=0xe80

0xfffffff00884ac84: 89358052  mov	w9, #0x1ac
0xfffffff00884ac88: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00884ac8c: c84efff0  adrp	x8, #0xfffffff007225000
0xfffffff00884ac90: 08951e91  add	x8, x8, #0x7a5
0xfffffff00884ac94: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00884ac98: 28098052  mov	w8, #0x49
0xfffffff00884ac9c: f52300a9  stp	x21, x8, [sp]
0xfffffff00884aca0: e04cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884aca4: 00003a91  add	x0, x0, #0xe80
0xfffffff00884aca8: e18dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00884acac: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00884acb0: 2350fff0  adrp	x3, #0xfffffff007251000
0xfffffff00884acb4: 63e81e91  add	x3, x3, #0x7ba
0xfffffff00884acb8: 02008052  mov	w2, #0
0xfffffff00884acbc: 1da1eb97  bl	#0xfffffff008333130
0xfffffff00884acc0: b7ffff17  b	#0xfffffff00884ab9c
0xfffffff00884acc4: 15008052  mov	w21, #0
0xfffffff00884acc8: b6ffff17  b	#0xfffffff00884aba0
0xfffffff00884accc: 38a50194  bl	#0xfffffff0088b41ac
0xfffffff00884acd0: f50300aa  mov	x21, x0
0xfffffff00884acd4: 80008052  mov	w0, #4
0xfffffff00884acd8: dec20094  bl	#0xfffffff00887b850
0xfffffff00884acdc: f35303a9  stp	x19, x20, [sp, #0x30]
0xfffffff00884ace0: 284effd0  adrp	x8, #0xfffffff007210000
0xfffffff00884ace4: 08b92791  add	x8, x8, #0x9ee
0xfffffff00884ace8: 09368052  mov	w9, #0x1b0
0xfffffff00884acec: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00884acf0: c84efff0  adrp	x8, #0xfffffff007225000
0xfffffff00884acf4: 08951e91  add	x8, x8, #0x7a5
0xfffffff00884acf8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00884acfc: 28098052  mov	w8, #0x49
0xfffffff00884ad00: f52300a9  stp	x21, x8, [sp]
0xfffffff00884ad04: e04cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884ad08: 00003a91  add	x0, x0, #0xe80
0xfffffff00884ad0c: e18dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00884ad10: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00884ad14: 2350fff0  adrp	x3, #0xfffffff007251000
0xfffffff00884ad18: 63ec1f91  add	x3, x3, #0x7fb
0xfffffff00884ad1c: 02008052  mov	w2, #0
0xfffffff00884ad20: 04a1eb97  bl	#0xfffffff008333130
0xfffffff00884ad24: 9effff17  b	#0xfffffff00884ab9c
0xfffffff00884ad28: 5f2403d5  bti	c
0xfffffff00884ad2c: 001440fd  ldr	d0, [x0, #0x28]
0xfffffff00884ad30: c0035fd6  ret	
0xfffffff00884ad34: 5f2403d5  bti	c
0xfffffff00884ad38: 001840fd  ldr	d0, [x0, #0x30]
0xfffffff00884ad3c: c0035fd6  ret	
0xfffffff00884ad40: 5f2403d5  bti	c
0xfffffff00884ad44: 001c40fd  ldr	d0, [x0, #0x38]
0xfffffff00884ad48: c0035fd6  ret	
0xfffffff00884ad4c: 5f2403d5  bti	c
0xfffffff00884ad50: 001840fd  ldr	d0, [x0, #0x30]
0xfffffff00884ad54: c0035fd6  ret	
0xfffffff00884ad58: 5f2403d5  bti	c
0xfffffff00884ad5c: 00400091  add	x0, x0, #0x10
0xfffffff00884ad60: e1a00114  b	#0xfffffff0088b30e4
0xfffffff00884ad64: 7f2303d5  pacibsp	
0xfffffff00884ad68: ffc301d1  sub	sp, sp, #0x70
0xfffffff00884ad6c: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff00884ad70: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff00884ad74: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff00884ad78: fd830191  add	x29, sp, #0x60
0xfffffff00884ad7c: f40301aa  mov	x20, x1
0xfffffff00884ad80: f30300aa  mov	x19, x0
