; Candidate 7940
; ADRP+ADD at VM 0xfffffff008888edc (fileoff 0x1884edc): page=0x1fe961000 add_imm=0xe80

0xfffffff008888e5c: 2ab92791  add	x10, x9, #0x9ee
0xfffffff008888e60: f4a303a9  stp	x20, x8, [sp, #0x38]
0xfffffff008888e64: 483a8052  mov	w8, #0x1d2
0xfffffff008888e68: 294dffd0  adrp	x9, #0xfffffff00722e000
0xfffffff008888e6c: 29b11291  add	x9, x9, #0x4ac
0xfffffff008888e70: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff008888e74: 284dfff0  adrp	x8, #0xfffffff00722f000
0xfffffff008888e78: 087d0391  add	x8, x8, #0xdf
0xfffffff008888e7c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008888e80: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008888e84: 88098052  mov	w8, #0x4c
0xfffffff008888e88: 204dffd0  adrp	x0, #0xfffffff00722e000
0xfffffff008888e8c: 00341691  add	x0, x0, #0x58d
0xfffffff008888e90: 3effff17  b	#0xfffffff008888b88
0xfffffff008888e94: c6ac0094  bl	#0xfffffff0088b41ac
0xfffffff008888e98: f50300aa  mov	x21, x0
0xfffffff008888e9c: 80008052  mov	w0, #4
0xfffffff008888ea0: 6ccaff97  bl	#0xfffffff00887b850
0xfffffff008888ea4: e80313aa  mov	x8, x19
0xfffffff008888ea8: f4a303a9  stp	x20, x8, [sp, #0x38]
0xfffffff008888eac: 484cff90  adrp	x8, #0xfffffff007210000
0xfffffff008888eb0: 0ab92791  add	x10, x8, #0x9ee
0xfffffff008888eb4: c8398052  mov	w8, #0x1ce
0xfffffff008888eb8: 294dffd0  adrp	x9, #0xfffffff00722e000
0xfffffff008888ebc: 29b11291  add	x9, x9, #0x4ac
0xfffffff008888ec0: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff008888ec4: 284dfff0  adrp	x8, #0xfffffff00722f000
0xfffffff008888ec8: 087d0391  add	x8, x8, #0xdf
0xfffffff008888ecc: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008888ed0: 88098052  mov	w8, #0x4c
0xfffffff008888ed4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008888ed8: f50300f9  str	x21, [sp]
0xfffffff008888edc: 004bffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008888ee0: 00003a91  add	x0, x0, #0xe80
0xfffffff008888ee4: 018cff90  adrp	x1, #0xfffffff007a08000
0xfffffff008888ee8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008888eec: a34effb0  adrp	x3, #0xfffffff00725d000
0xfffffff008888ef0: 63381291  add	x3, x3, #0x48e
0xfffffff008888ef4: 02008052  mov	w2, #0
0xfffffff008888ef8: 8ea8ea97  bl	#0xfffffff008333130
0xfffffff008888efc: a1ffff17  b	#0xfffffff008888d80
0xfffffff008888f00: abac0094  bl	#0xfffffff0088b41ac
0xfffffff008888f04: f60300aa  mov	x22, x0
0xfffffff008888f08: 80008052  mov	w0, #4
0xfffffff008888f0c: 51caff97  bl	#0xfffffff00887b850
0xfffffff008888f10: e80313aa  mov	x8, x19
0xfffffff008888f14: f52304a9  stp	x21, x8, [sp, #0x40]
0xfffffff008888f18: 484cff90  adrp	x8, #0xfffffff007210000
0xfffffff008888f1c: 08b92791  add	x8, x8, #0x9ee
0xfffffff008888f20: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff008888f24: 28398052  mov	w8, #0x1c9
0xfffffff008888f28: 294dffd0  adrp	x9, #0xfffffff00722e000
0xfffffff008888f2c: 29b11291  add	x9, x9, #0x4ac
0xfffffff008888f30: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008888f34: 284dfff0  adrp	x8, #0xfffffff00722f000
0xfffffff008888f38: 087d0391  add	x8, x8, #0xdf
0xfffffff008888f3c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008888f40: 88098052  mov	w8, #0x4c
0xfffffff008888f44: f62300a9  stp	x22, x8, [sp]
0xfffffff008888f48: 004bffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008888f4c: 00003a91  add	x0, x0, #0xe80
0xfffffff008888f50: 018cff90  adrp	x1, #0xfffffff007a08000
0xfffffff008888f54: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008888f58: a34effb0  adrp	x3, #0xfffffff00725d000
