; Candidate 11715
; ADRP+ADD at VM 0xfffffff008fcc0d4 (fileoff 0x1fc80d4): page=0x1fe459000 add_imm=0xdd7

0xfffffff008fcc054: fd030191  add	x29, sp, #0x40
0xfffffff008fcc058: 08344079  ldrh	w8, [x0, #0x1a]
0xfffffff008fcc05c: 48000035  cbnz	w8, #0xfffffff008fcc064
0xfffffff008fcc060: 080c4039  ldrb	w8, [x0, #3]
0xfffffff008fcc064: 09800091  add	x9, x0, #0x20
0xfffffff008fcc068: 6ae58052  mov	w10, #0x72b
0xfffffff008fcc06c: cb22ffb0  adrp	x11, #0xfffffff007425000
0xfffffff008fcc070: 6bd93891  add	x11, x11, #0xe36
0xfffffff008fcc074: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008fcc078: c822ffd0  adrp	x8, #0xfffffff007426000
0xfffffff008fcc07c: 084d0991  add	x8, x8, #0x253
0xfffffff008fcc080: e82b00a9  stp	x8, x10, [sp]
0xfffffff008fcc084: 281c4092  and	x8, x1, #0xff
0xfffffff008fcc088: c022fff0  adrp	x0, #0xfffffff007427000
0xfffffff008fcc08c: 003c2a91  add	x0, x0, #0xa8f
0xfffffff008fcc090: ebab02a9  stp	x11, x10, [sp, #0x28]
0xfffffff008fcc094: e81300f9  str	x8, [sp, #0x20]
0xfffffff008fcc098: 1d21d397  bl	#0xfffffff00849450c
0xfffffff008fcc09c: 7f2303d5  pacibsp	
0xfffffff008fcc0a0: ff0301d1  sub	sp, sp, #0x40
0xfffffff008fcc0a4: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008fcc0a8: fdc30091  add	x29, sp, #0x30
0xfffffff008fcc0ac: 68e48052  mov	w8, #0x723
0xfffffff008fcc0b0: c922ffb0  adrp	x9, #0xfffffff007425000
0xfffffff008fcc0b4: 29d93891  add	x9, x9, #0xe36
0xfffffff008fcc0b8: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008fcc0bc: ca22fff0  adrp	x10, #0xfffffff007427000
0xfffffff008fcc0c0: 4af12991  add	x10, x10, #0xa7c
0xfffffff008fcc0c4: cb22ffd0  adrp	x11, #0xfffffff007426000
0xfffffff008fcc0c8: 6b4d0991  add	x11, x11, #0x253
0xfffffff008fcc0cc: e8ab00a9  stp	x8, x10, [sp, #8]
0xfffffff008fcc0d0: eb0300f9  str	x11, [sp]
0xfffffff008fcc0d4: c022ffb0  adrp	x0, #0xfffffff007425000
0xfffffff008fcc0d8: 005c3791  add	x0, x0, #0xdd7
0xfffffff008fcc0dc: 0c21d397  bl	#0xfffffff00849450c
0xfffffff008fcc0e0: 7f2303d5  pacibsp	
0xfffffff008fcc0e4: ff0301d1  sub	sp, sp, #0x40
0xfffffff008fcc0e8: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008fcc0ec: fdc30091  add	x29, sp, #0x30
0xfffffff008fcc0f0: 88e18052  mov	w8, #0x70c
0xfffffff008fcc0f4: c922ffb0  adrp	x9, #0xfffffff007425000
0xfffffff008fcc0f8: 29d93891  add	x9, x9, #0xe36
0xfffffff008fcc0fc: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008fcc100: ca22fff0  adrp	x10, #0xfffffff007427000
0xfffffff008fcc104: 4a552891  add	x10, x10, #0xa15
0xfffffff008fcc108: cb22ffd0  adrp	x11, #0xfffffff007426000
0xfffffff008fcc10c: 6b4d0991  add	x11, x11, #0x253
0xfffffff008fcc110: e8ab00a9  stp	x8, x10, [sp, #8]
0xfffffff008fcc114: eb0300f9  str	x11, [sp]
0xfffffff008fcc118: c022ffb0  adrp	x0, #0xfffffff007425000
0xfffffff008fcc11c: 005c3791  add	x0, x0, #0xdd7
0xfffffff008fcc120: fb20d397  bl	#0xfffffff00849450c
0xfffffff008fcc124: 7f2303d5  pacibsp	
0xfffffff008fcc128: ff0301d1  sub	sp, sp, #0x40
0xfffffff008fcc12c: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008fcc130: fdc30091  add	x29, sp, #0x30
0xfffffff008fcc134: 08d88052  mov	w8, #0x6c0
0xfffffff008fcc138: c922ffb0  adrp	x9, #0xfffffff007425000
0xfffffff008fcc13c: 29d93891  add	x9, x9, #0xe36
0xfffffff008fcc140: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008fcc144: ca22fff0  adrp	x10, #0xfffffff007427000
0xfffffff008fcc148: 4a2d1491  add	x10, x10, #0x50b
0xfffffff008fcc14c: cb22ffd0  adrp	x11, #0xfffffff007426000
0xfffffff008fcc150: 6b4d0991  add	x11, x11, #0x253
