; Candidate 2003
; ADRP+ADD at VM 0xfffffff008547fb4 (fileoff 0x1543fb4): page=0x1feb9a000 add_imm=0xe02

0xfffffff008547f34: f30300aa  mov	x19, x0
0xfffffff008547f38: 74ec00f0  adrp	x20, #0xfffffff00a2d6000
0xfffffff008547f3c: 94a20491  add	x20, x20, #0x128
0xfffffff008547f40: e10314aa  mov	x1, x20
0xfffffff008547f44: e0934c94  bl	#0xfffffff00986cec4
0xfffffff008547f48: b0a2fff0  adrp	x16, #0xfffffff00799e000
0xfffffff008547f4c: 10821991  add	x16, x16, #0x660
0xfffffff008547f50: 10420091  add	x16, x16, #0x10
0xfffffff008547f54: f10300aa  mov	x17, x0
0xfffffff008547f58: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008547f5c: 300ac1da  pacda	x16, x17
0xfffffff008547f60: 100000f9  str	x16, [x0]
0xfffffff008547f64: 1f2800b9  str	wzr, [x0, #0x28]
0xfffffff008547f68: e00314aa  mov	x0, x20
0xfffffff008547f6c: 7274f697  bl	#0xfffffff0082e5134
0xfffffff008547f70: e00313aa  mov	x0, x19
0xfffffff008547f74: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008547f78: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008547f7c: ff0f5fd6  retab	
0xfffffff008547f80: 5f2403d5  bti	c
0xfffffff008547f84: dc71f617  b	#0xfffffff0082e46f4
0xfffffff008547f88: 5f2403d5  bti	c
0xfffffff008547f8c: da71f617  b	#0xfffffff0082e46f4
0xfffffff008547f90: 7f2303d5  pacibsp	
0xfffffff008547f94: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008547f98: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008547f9c: fd430091  add	x29, sp, #0x10
0xfffffff008547fa0: c05cffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff008547fa4: 00603791  add	x0, x0, #0xdd8
0xfffffff008547fa8: a484f797  bl	#0xfffffff008329238
0xfffffff008547fac: 68ec00f0  adrp	x8, #0xfffffff00a2d6000
0xfffffff008547fb0: 006900f9  str	x0, [x8, #0xd0]
0xfffffff008547fb4: c05cffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff008547fb8: 00083891  add	x0, x0, #0xe02
0xfffffff008547fbc: 9f84f797  bl	#0xfffffff008329238
0xfffffff008547fc0: 68ec00f0  adrp	x8, #0xfffffff00a2d6000
0xfffffff008547fc4: 006d00f9  str	x0, [x8, #0xd8]
0xfffffff008547fc8: c05cffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff008547fcc: 00883891  add	x0, x0, #0xe22
0xfffffff008547fd0: 9a84f797  bl	#0xfffffff008329238
0xfffffff008547fd4: 68ec00f0  adrp	x8, #0xfffffff00a2d6000
0xfffffff008547fd8: 007100f9  str	x0, [x8, #0xe0]
0xfffffff008547fdc: c05cffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff008547fe0: 00e43891  add	x0, x0, #0xe39
0xfffffff008547fe4: 9584f797  bl	#0xfffffff008329238
0xfffffff008547fe8: 68ec00f0  adrp	x8, #0xfffffff00a2d6000
0xfffffff008547fec: 007500f9  str	x0, [x8, #0xe8]
0xfffffff008547ff0: c05cffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff008547ff4: 004c3991  add	x0, x0, #0xe53
0xfffffff008547ff8: 9084f797  bl	#0xfffffff008329238
0xfffffff008547ffc: 68ec00f0  adrp	x8, #0xfffffff00a2d6000
0xfffffff008548000: 007900f9  str	x0, [x8, #0xf0]
0xfffffff008548004: c05cffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff008548008: 00bc3991  add	x0, x0, #0xe6f
0xfffffff00854800c: 8b84f797  bl	#0xfffffff008329238
0xfffffff008548010: 68ec00d0  adrp	x8, #0xfffffff00a2d6000
0xfffffff008548014: 007d00f9  str	x0, [x8, #0xf8]
0xfffffff008548018: 60ec00d0  adrp	x0, #0xfffffff00a2d6000
0xfffffff00854801c: 00400791  add	x0, x0, #0x1d0
0xfffffff008548020: a15cfff0  adrp	x1, #0xfffffff0070df000
0xfffffff008548024: 21d02891  add	x1, x1, #0xa34
0xfffffff008548028: 62a2ffb0  adrp	x2, #0xfffffff007995000
0xfffffff00854802c: 42e844f9  ldr	x2, [x2, #0x9d0]
0xfffffff008548030: 03408052  mov	w3, #0x200
