; Candidate 9302
; ADRP+ADD at VM 0xfffffff008a245d0 (fileoff 0x1a205d0): page=0x1fe875000 add_imm=0xe40

0xfffffff008a24550: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff008a24554: 700240f9  ldr	x16, [x19]
0xfffffff008a24558: f10313aa  mov	x17, x19
0xfffffff008a2455c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a24560: 301ac1da  autda	x16, x17
0xfffffff008a24564: 113d80d2  mov	x17, #0x1e8
0xfffffff008a24568: 1002118b  add	x16, x16, x17
0xfffffff008a2456c: 080240f9  ldr	x8, [x16]
0xfffffff008a24570: e90310aa  mov	x9, x16
0xfffffff008a24574: e00313aa  mov	x0, x19
0xfffffff008a24578: 010080d2  mov	x1, #0
0xfffffff008a2457c: f10309aa  mov	x17, x9
0xfffffff008a24580: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a24584: 11093fd7  blraa	x8, x17
0xfffffff008a24588: 700240f9  ldr	x16, [x19]
0xfffffff008a2458c: f10313aa  mov	x17, x19
0xfffffff008a24590: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a24594: 301ac1da  autda	x16, x17
0xfffffff008a24598: 113d80d2  mov	x17, #0x1e8
0xfffffff008a2459c: 1002118b  add	x16, x16, x17
0xfffffff008a245a0: 080240f9  ldr	x8, [x16]
0xfffffff008a245a4: e90310aa  mov	x9, x16
0xfffffff008a245a8: e00313aa  mov	x0, x19
0xfffffff008a245ac: 010080d2  mov	x1, #0
0xfffffff008a245b0: f10309aa  mov	x17, x9
0xfffffff008a245b4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a245b8: 11093fd7  blraa	x8, x17
0xfffffff008a245bc: 35888052  mov	w21, #0x441
0xfffffff008a245c0: f55f01a9  stp	x21, x23, [sp, #0x10]
0xfffffff008a245c4: d643ffb0  adrp	x22, #0xfffffff00729d000
0xfffffff008a245c8: d6e20591  add	x22, x22, #0x178
0xfffffff008a245cc: e05b00a9  stp	x0, x22, [sp]
0xfffffff008a245d0: a043ffb0  adrp	x0, #0xfffffff007299000
0xfffffff008a245d4: 00003991  add	x0, x0, #0xe40
0xfffffff008a245d8: 2181fff0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a245dc: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a245e0: e343ff90  adrp	x3, #0xfffffff0072a0000
0xfffffff008a245e4: 63602991  add	x3, x3, #0xa58
0xfffffff008a245e8: 02028052  mov	w2, #0x10
0xfffffff008a245ec: d13ae497  bl	#0xfffffff008333130
0xfffffff008a245f0: 700240f9  ldr	x16, [x19]
0xfffffff008a245f4: f10313aa  mov	x17, x19
0xfffffff008a245f8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a245fc: 301ac1da  autda	x16, x17
0xfffffff008a24600: f10310aa  mov	x17, x16
0xfffffff008a24604: f147c1da  xpacd	x17
0xfffffff008a24608: 1f0211eb  cmp	x16, x17
0xfffffff008a2460c: 40000054  b.eq	#0xfffffff008a24614
0xfffffff008a24610: 408e38d4  brk	#0xc472
0xfffffff008a24614: 08a20791  add	x8, x16, #0x1e8
0xfffffff008a24618: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff008a2461c: e00313aa  mov	x0, x19
0xfffffff008a24620: 010080d2  mov	x1, #0
0xfffffff008a24624: f10308aa  mov	x17, x8
0xfffffff008a24628: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a2462c: 31093fd7  blraa	x9, x17
0xfffffff008a24630: f55f01a9  stp	x21, x23, [sp, #0x10]
0xfffffff008a24634: e05b00a9  stp	x0, x22, [sp]
0xfffffff008a24638: c043ffb0  adrp	x0, #0xfffffff00729d000
0xfffffff008a2463c: 00080891  add	x0, x0, #0x202
0xfffffff008a24640: 78cae497  bl	#0xfffffff008357020
0xfffffff008a24644: f91740f9  ldr	x25, [sp, #0x28]
0xfffffff008a24648: 6bffff17  b	#0xfffffff008a243f4
0xfffffff008a2464c: 700240f9  ldr	x16, [x19]
