; Candidate 9343
; ADRP+ADD at VM 0xfffffff008a29fb4 (fileoff 0x1a25fb4): page=0x1fe870000 add_imm=0xe40

0xfffffff008a29f34: 1002118b  add	x16, x16, x17
0xfffffff008a29f38: 080240f9  ldr	x8, [x16]
0xfffffff008a29f3c: e90310aa  mov	x9, x16
0xfffffff008a29f40: e00313aa  mov	x0, x19
0xfffffff008a29f44: e10318aa  mov	x1, x24
0xfffffff008a29f48: f10309aa  mov	x17, x9
0xfffffff008a29f4c: d1f9e6f2  movk	x17, #0x37ce, lsl #48
0xfffffff008a29f50: 11093fd7  blraa	x8, x17
0xfffffff008a29f54: e00313aa  mov	x0, x19
0xfffffff008a29f58: 38bbf097  bl	#0xfffffff008658c38
0xfffffff008a29f5c: f60300aa  mov	x22, x0
0xfffffff008a29f60: 700240f9  ldr	x16, [x19]
0xfffffff008a29f64: f10313aa  mov	x17, x19
0xfffffff008a29f68: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a29f6c: 301ac1da  autda	x16, x17
0xfffffff008a29f70: f10310aa  mov	x17, x16
0xfffffff008a29f74: f147c1da  xpacd	x17
0xfffffff008a29f78: 1f0211eb  cmp	x16, x17
0xfffffff008a29f7c: 40000054  b.eq	#0xfffffff008a29f84
0xfffffff008a29f80: 408e38d4  brk	#0xc472
0xfffffff008a29f84: 08c21191  add	x8, x16, #0x470
0xfffffff008a29f88: 093a42f9  ldr	x9, [x16, #0x470]
0xfffffff008a29f8c: e00313aa  mov	x0, x19
0xfffffff008a29f90: e10318aa  mov	x1, x24
0xfffffff008a29f94: f10308aa  mov	x17, x8
0xfffffff008a29f98: d1f9e6f2  movk	x17, #0x37ce, lsl #48
0xfffffff008a29f9c: 31093fd7  blraa	x9, x17
0xfffffff008a29fa0: e06302a9  stp	x0, x24, [sp, #0x20]
0xfffffff008a29fa4: f75701a9  stp	x23, x21, [sp, #0x10]
0xfffffff008a29fa8: bb43ff90  adrp	x27, #0xfffffff00729d000
0xfffffff008a29fac: 7bff1591  add	x27, x27, #0x57f
0xfffffff008a29fb0: f66f00a9  stp	x22, x27, [sp]
0xfffffff008a29fb4: 8043ff90  adrp	x0, #0xfffffff007299000
0xfffffff008a29fb8: 00003991  add	x0, x0, #0xe40
0xfffffff008a29fbc: 0181ffd0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a29fc0: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a29fc4: a343fff0  adrp	x3, #0xfffffff0072a0000
0xfffffff008a29fc8: 63482d91  add	x3, x3, #0xb52
0xfffffff008a29fcc: 02028052  mov	w2, #0x10
0xfffffff008a29fd0: 5824e497  bl	#0xfffffff008333130
0xfffffff008a29fd4: e00313aa  mov	x0, x19
0xfffffff008a29fd8: 18bbf097  bl	#0xfffffff008658c38
0xfffffff008a29fdc: f60300aa  mov	x22, x0
0xfffffff008a29fe0: 700240f9  ldr	x16, [x19]
0xfffffff008a29fe4: f10313aa  mov	x17, x19
0xfffffff008a29fe8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a29fec: 301ac1da  autda	x16, x17
0xfffffff008a29ff0: f10310aa  mov	x17, x16
0xfffffff008a29ff4: f147c1da  xpacd	x17
0xfffffff008a29ff8: 1f0211eb  cmp	x16, x17
0xfffffff008a29ffc: 40000054  b.eq	#0xfffffff008a2a004
0xfffffff008a2a000: 408e38d4  brk	#0xc472
0xfffffff008a2a004: 08c21191  add	x8, x16, #0x470
0xfffffff008a2a008: 093a42f9  ldr	x9, [x16, #0x470]
0xfffffff008a2a00c: e00313aa  mov	x0, x19
0xfffffff008a2a010: e10318aa  mov	x1, x24
0xfffffff008a2a014: f10308aa  mov	x17, x8
0xfffffff008a2a018: d1f9e6f2  movk	x17, #0x37ce, lsl #48
0xfffffff008a2a01c: 31093fd7  blraa	x9, x17
0xfffffff008a2a020: e06302a9  stp	x0, x24, [sp, #0x20]
0xfffffff008a2a024: f75701a9  stp	x23, x21, [sp, #0x10]
0xfffffff008a2a028: f66f00a9  stp	x22, x27, [sp]
0xfffffff008a2a02c: 8043fff0  adrp	x0, #0xfffffff00729d000
0xfffffff008a2a030: 00541691  add	x0, x0, #0x595
