; Candidate 6713
; ADRP+ADD at VM 0xfffffff00883c9c0 (fileoff 0x18389c0): page=0x1fe9ad000 add_imm=0xe80

0xfffffff00883c940: f50300f9  str	x21, [sp]
0xfffffff00883c944: 604dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00883c948: 00003a91  add	x0, x0, #0xe80
0xfffffff00883c94c: 618eff90  adrp	x1, #0xfffffff007a08000
0xfffffff00883c950: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00883c954: 8350fff0  adrp	x3, #0xfffffff00724f000
0xfffffff00883c958: 63c81091  add	x3, x3, #0x432
0xfffffff00883c95c: 02008052  mov	w2, #0
0xfffffff00883c960: f4d9eb97  bl	#0xfffffff008333130
0xfffffff00883c964: e00314aa  mov	x0, x20
0xfffffff00883c968: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff00883c96c: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff00883c970: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff00883c974: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff00883c978: ff830291  add	sp, sp, #0xa0
0xfffffff00883c97c: ff0f5fd6  retab	
0xfffffff00883c980: 0bde0194  bl	#0xfffffff0088b41ac
0xfffffff00883c984: f50300aa  mov	x21, x0
0xfffffff00883c988: 80008052  mov	w0, #4
0xfffffff00883c98c: b1fb0094  bl	#0xfffffff00887b850
0xfffffff00883c990: 284ffff0  adrp	x8, #0xfffffff007223000
0xfffffff00883c994: 08853191  add	x8, x8, #0xc61
0xfffffff00883c998: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00883c99c: 88128052  mov	w8, #0x94
0xfffffff00883c9a0: 294ffff0  adrp	x9, #0xfffffff007223000
0xfffffff00883c9a4: 29d52e91  add	x9, x9, #0xbb5
0xfffffff00883c9a8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00883c9ac: 284ffff0  adrp	x8, #0xfffffff007223000
0xfffffff00883c9b0: 08d92b91  add	x8, x8, #0xaf6
0xfffffff00883c9b4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00883c9b8: 680a8052  mov	w8, #0x53
0xfffffff00883c9bc: f52300a9  stp	x21, x8, [sp]
0xfffffff00883c9c0: 604dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00883c9c4: 00003a91  add	x0, x0, #0xe80
0xfffffff00883c9c8: 618eff90  adrp	x1, #0xfffffff007a08000
0xfffffff00883c9cc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00883c9d0: 8350fff0  adrp	x3, #0xfffffff00724f000
0xfffffff00883c9d4: 63280491  add	x3, x3, #0x10a
0xfffffff00883c9d8: 02008052  mov	w2, #0
0xfffffff00883c9dc: d5d9eb97  bl	#0xfffffff008333130
0xfffffff00883c9e0: 150080d2  mov	x21, #0
0xfffffff00883c9e4: 4affff17  b	#0xfffffff00883c70c
0xfffffff00883c9e8: 146bec97  bl	#0xfffffff008357638
0xfffffff00883c9ec: 602200f9  str	x0, [x19, #0x40]
0xfffffff00883c9f0: e00e00b4  cbz	x0, #0xfffffff00883cbcc
0xfffffff00883c9f4: 808effb0  adrp	x0, #0xfffffff007a0d000
0xfffffff00883c9f8: 00601691  add	x0, x0, #0x598
0xfffffff00883c9fc: be66ec97  bl	#0xfffffff0083564f4
0xfffffff00883ca00: 07b7ff97  bl	#0xfffffff00882a61c
0xfffffff00883ca04: 602600f9  str	x0, [x19, #0x48]
0xfffffff00883ca08: 601100b4  cbz	x0, #0xfffffff00883cc34
0xfffffff00883ca0c: 01008052  mov	w1, #0
0xfffffff00883ca10: 24b7ff97  bl	#0xfffffff00882a6a0
0xfffffff00883ca14: 40140034  cbz	w0, #0xfffffff00883cc9c
0xfffffff00883ca18: 600a8052  mov	w0, #0x53
0xfffffff00883ca1c: 81008052  mov	w1, #4
0xfffffff00883ca20: 6cfb0094  bl	#0xfffffff00887b7d0
0xfffffff00883ca24: 00e7ff34  cbz	w0, #0xfffffff00883c704
0xfffffff00883ca28: 600a8052  mov	w0, #0x53
0xfffffff00883ca2c: 7bfb0094  bl	#0xfffffff00887b818
0xfffffff00883ca30: f60300aa  mov	x22, x0
0xfffffff00883ca34: dedd0194  bl	#0xfffffff0088b41ac
0xfffffff00883ca38: f50300aa  mov	x21, x0
0xfffffff00883ca3c: 80008052  mov	w0, #4
