; Candidate 11012
; ADRP+ADD at VM 0xfffffff008df0fec (fileoff 0x1decfec): page=0x1fe5d4000 add_imm=0xd21

0xfffffff008df0f6c: a02effb0  adrp	x0, #0xfffffff0073c5000
0xfffffff008df0f70: 00a00191  add	x0, x0, #0x68
0xfffffff008df0f74: 2b98d597  bl	#0xfffffff008357020
0xfffffff008df0f78: e00314aa  mov	x0, x20
0xfffffff008df0f7c: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008df0f80: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008df0f84: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008df0f88: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff008df0f8c: ff830191  add	sp, sp, #0x60
0xfffffff008df0f90: ff0f5fd6  retab	
0xfffffff008df0f94: 7f2303d5  pacibsp	
0xfffffff008df0f98: ffc301d1  sub	sp, sp, #0x70
0xfffffff008df0f9c: fa6702a9  stp	x26, x25, [sp, #0x20]
0xfffffff008df0fa0: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff008df0fa4: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff008df0fa8: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff008df0fac: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff008df0fb0: fd830191  add	x29, sp, #0x60
0xfffffff008df0fb4: f30304aa  mov	x19, x4
0xfffffff008df0fb8: f40303aa  mov	x20, x3
0xfffffff008df0fbc: f50302aa  mov	x21, x2
0xfffffff008df0fc0: f60301aa  mov	x22, x1
0xfffffff008df0fc4: f70300aa  mov	x23, x0
0xfffffff008df0fc8: 7aa800f0  adrp	x26, #0xfffffff00a2ff000
0xfffffff008df0fcc: 48476c39  ldrb	w8, [x26, #0xb11]
0xfffffff008df0fd0: b82effb0  adrp	x24, #0xfffffff0073c5000
0xfffffff008df0fd4: 18b70291  add	x24, x24, #0xad
0xfffffff008df0fd8: b92eff90  adrp	x25, #0xfffffff0073c4000
0xfffffff008df0fdc: 39cb3491  add	x25, x25, #0xd32
0xfffffff008df0fe0: 1f290071  cmp	w8, #0xa
0xfffffff008df0fe4: a8000054  b.hi	#0xfffffff008df0ff8
0xfffffff008df0fe8: f96300a9  stp	x25, x24, [sp]
0xfffffff008df0fec: a02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008df0ff0: 00843491  add	x0, x0, #0xd21
0xfffffff008df0ff4: 0b98d597  bl	#0xfffffff008357020
0xfffffff008df0ff8: 61a800f0  adrp	x1, #0xfffffff00a2ff000
0xfffffff008df0ffc: 21c03091  add	x1, x1, #0xc30
0xfffffff008df1000: 70ffffb0  adrp	x16, #0xfffffff008dde000
0xfffffff008df1004: 10d20e91  add	x16, x16, #0x3b4
0xfffffff008df1008: 519081d2  mov	x17, #0xc82
0xfffffff008df100c: 3002c1da  pacia	x16, x17
0xfffffff008df1010: e00310aa  mov	x0, x16
0xfffffff008df1014: e20317aa  mov	x2, x23
0xfffffff008df1018: e30316aa  mov	x3, x22
0xfffffff008df101c: e40315aa  mov	x4, x21
0xfffffff008df1020: e50314aa  mov	x5, x20
0xfffffff008df1024: e60313aa  mov	x6, x19
0xfffffff008df1028: 7bc4ff97  bl	#0xfffffff008de2214
0xfffffff008df102c: f30300aa  mov	x19, x0
0xfffffff008df1030: 1f000071  cmp	w0, #0
0xfffffff008df1034: c8088052  mov	w8, #0x46
0xfffffff008df1038: 49018052  mov	w9, #0xa
0xfffffff008df103c: 2801881a  csel	w8, w9, w8, eq
0xfffffff008df1040: 49476c39  ldrb	w9, [x26, #0xb11]
0xfffffff008df1044: 1f01096b  cmp	w8, w9
0xfffffff008df1048: e3000054  b.lo	#0xfffffff008df1064
0xfffffff008df104c: 687e4093  sxtw	x8, w19
0xfffffff008df1050: f96300a9  stp	x25, x24, [sp]
0xfffffff008df1054: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008df1058: 802efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008df105c: 00503591  add	x0, x0, #0xd54
0xfffffff008df1060: f097d597  bl	#0xfffffff008357020
0xfffffff008df1064: e00313aa  mov	x0, x19
0xfffffff008df1068: fd7b46a9  ldp	x29, x30, [sp, #0x60]
