; Candidate 5730
; ADRP+ADD at VM 0xfffffff0088021c8 (fileoff 0x17fe1c8): page=0x1fe9e7000 add_imm=0xe80

0xfffffff008802148: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00880214c: e80313aa  mov	x8, x19
0xfffffff008802150: a050fff0  adrp	x0, #0xfffffff007219000
0xfffffff008802154: 00041591  add	x0, x0, #0x541
0xfffffff008802158: f62300a9  stp	x22, x8, [sp]
0xfffffff00880215c: 0c000014  b	#0xfffffff00880218c
0xfffffff008802160: 60040034  cbz	w0, #0xfffffff0088021ec
0xfffffff008802164: e803154b  neg	w8, w21
0xfffffff008802168: 28042837  tbnz	w8, #5, #0xfffffff0088021ec
0xfffffff00880216c: 08034039  ldrb	w8, [x24]
0xfffffff008802170: e9024039  ldrb	w9, [x23]
0xfffffff008802174: ea064039  ldrb	w10, [x23, #1]
0xfffffff008802178: 2b3343b9  ldr	w11, [x25, #0x330]
0xfffffff00880217c: ea2f01a9  stp	x10, x11, [sp, #0x10]
0xfffffff008802180: e82700a9  stp	x8, x9, [sp]
0xfffffff008802184: a050fff0  adrp	x0, #0xfffffff007219000
0xfffffff008802188: 00781391  add	x0, x0, #0x4de
0xfffffff00880218c: b5d4d697  bl	#0xfffffff007db7460
0xfffffff008802190: 25000014  b	#0xfffffff008802224
0xfffffff008802194: 06c80294  bl	#0xfffffff0088b41ac
0xfffffff008802198: f60300aa  mov	x22, x0
0xfffffff00880219c: e00314aa  mov	x0, x20
0xfffffff0088021a0: ace50194  bl	#0xfffffff00887b850
0xfffffff0088021a4: 08034039  ldrb	w8, [x24]
0xfffffff0088021a8: e9024039  ldrb	w9, [x23]
0xfffffff0088021ac: ea064039  ldrb	w10, [x23, #1]
0xfffffff0088021b0: 2b3343b9  ldr	w11, [x25, #0x330]
0xfffffff0088021b4: eaaf02a9  stp	x10, x11, [sp, #0x28]
0xfffffff0088021b8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088021bc: e80313aa  mov	x8, x19
0xfffffff0088021c0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088021c4: f60300f9  str	x22, [sp]
0xfffffff0088021c8: 204ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088021cc: 00003a91  add	x0, x0, #0xe80
0xfffffff0088021d0: 2190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088021d4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088021d8: 0352ffd0  adrp	x3, #0xfffffff007244000
0xfffffff0088021dc: 63dc0b91  add	x3, x3, #0x2f7
0xfffffff0088021e0: 02008052  mov	w2, #0
0xfffffff0088021e4: d3c3ec97  bl	#0xfffffff008333130
0xfffffff0088021e8: 0f000014  b	#0xfffffff008802224
0xfffffff0088021ec: 08034039  ldrb	w8, [x24]
0xfffffff0088021f0: e9024039  ldrb	w9, [x23]
0xfffffff0088021f4: ea064039  ldrb	w10, [x23, #1]
0xfffffff0088021f8: 2b3343b9  ldr	w11, [x25, #0x330]
0xfffffff0088021fc: ea2f01a9  stp	x10, x11, [sp, #0x10]
0xfffffff008802200: e82700a9  stp	x8, x9, [sp]
0xfffffff008802204: 204ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008802208: 00003a91  add	x0, x0, #0xe80
0xfffffff00880220c: 2190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008802210: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008802214: 0352ffd0  adrp	x3, #0xfffffff007244000
0xfffffff008802218: 63540a91  add	x3, x3, #0x295
0xfffffff00880221c: 02008052  mov	w2, #0
0xfffffff008802220: c4c3ec97  bl	#0xfffffff008333130
0xfffffff008802224: e00313aa  mov	x0, x19
0xfffffff008802228: e10314aa  mov	x1, x20
0xfffffff00880222c: 69e50194  bl	#0xfffffff00887b7d0
0xfffffff008802230: a0070034  cbz	w0, #0xfffffff008802324
0xfffffff008802234: e00313aa  mov	x0, x19
0xfffffff008802238: 78e50194  bl	#0xfffffff00887b818
0xfffffff00880223c: 5502f837  tbnz	w21, #0x1f, #0xfffffff008802284
0xfffffff008802240: b7021b12  and	w23, w21, #0x20
0xfffffff008802244: 18000052  eor	w24, w0, #1
