; Candidate 16291
; ADRP+ADD at VM 0xfffffff009e457dc (fileoff 0x2e417dc): page=0x1fdef4000 add_imm=0xd18

0xfffffff009e4575c: 9602088b  add	x22, x20, x8
0xfffffff009e45760: 1f781e72  tst	w0, #0xfffffffd
0xfffffff009e45764: 80020054  b.eq	#0xfffffff009e457b4
0xfffffff009e45768: f58301a9  stp	x21, x0, [sp, #0x18]
0xfffffff009e4576c: 28cffe90  adrp	x8, #0xfffffff007829000
0xfffffff009e45770: 08210a91  add	x8, x8, #0x288
0xfffffff009e45774: 69f38052  mov	w9, #0x79b
0xfffffff009e45778: e9db00a9  stp	x9, x22, [sp, #8]
0xfffffff009e4577c: e80300f9  str	x8, [sp]
0xfffffff009e45780: 20cffe90  adrp	x0, #0xfffffff007829000
0xfffffff009e45784: 00700991  add	x0, x0, #0x25c
0xfffffff009e45788: 4fe80094  bl	#0xfffffff009e7f8c4
0xfffffff009e4578c: 38000014  b	#0xfffffff009e4586c
0xfffffff009e45790: 00008012  mov	w0, #-1
0xfffffff009e45794: 37000014  b	#0xfffffff009e45870
0xfffffff009e45798: 898e40f9  ldr	x9, [x20, #0x118]
0xfffffff009e4579c: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff009e457a0: 3f0108eb  cmp	x9, x8
0xfffffff009e457a4: 42060054  b.hs	#0xfffffff009e4586c
0xfffffff009e457a8: 00008052  mov	w0, #0
0xfffffff009e457ac: 888e00f9  str	x8, [x20, #0x118]
0xfffffff009e457b0: 30000014  b	#0xfffffff009e45870
0xfffffff009e457b4: f65f01a9  stp	x22, x23, [sp, #0x10]
0xfffffff009e457b8: 37cffe90  adrp	x23, #0xfffffff007829000
0xfffffff009e457bc: f7220a91  add	x23, x23, #0x288
0xfffffff009e457c0: 08f48052  mov	w8, #0x7a0
0xfffffff009e457c4: f72300a9  stp	x23, x8, [sp]
0xfffffff009e457c8: 20cffe90  adrp	x0, #0xfffffff007829000
0xfffffff009e457cc: 008c0a91  add	x0, x0, #0x2a3
0xfffffff009e457d0: 3de80094  bl	#0xfffffff009e7f8c4
0xfffffff009e457d4: 68e24079  ldrh	w8, [x19, #0x70]
0xfffffff009e457d8: 01810091  add	x1, x8, #0x20
0xfffffff009e457dc: a0f7fe90  adrp	x0, #0xfffffff007d39000
0xfffffff009e457e0: 00603491  add	x0, x0, #0xd18
0xfffffff009e457e4: 7b459497  bl	#0xfffffff008356dd0
0xfffffff009e457e8: 62e24079  ldrh	w2, [x19, #0x70]
0xfffffff009e457ec: 48800091  add	x8, x2, #0x20
0xfffffff009e457f0: c00400b4  cbz	x0, #0xfffffff009e45888
0xfffffff009e457f4: f50300aa  mov	x21, x0
0xfffffff009e457f8: 692c00f0  adrp	x9, #0xfffffff00a3d4000
0xfffffff009e457fc: 29212a91  add	x9, x9, #0xa88
0xfffffff009e45800: 280128f8  ldadd	x8, x8, [x9]
0xfffffff009e45804: 0800fe92  mov	x8, #0xfffffffffffffff
0xfffffff009e45808: 69218052  mov	w9, #0x10b
0xfffffff009e4580c: 09000079  strh	w9, [x0]
0xfffffff009e45810: 49800011  add	w9, w2, #0x20
0xfffffff009e45814: 09040079  strh	w9, [x0, #2]
0xfffffff009e45818: 690640f9  ldr	x9, [x19, #8]
0xfffffff009e4581c: 08a400a9  stp	x8, x9, [x0, #8]
0xfffffff009e45820: 02300079  strh	w2, [x0, #0x18]
0xfffffff009e45824: 00680091  add	x0, x0, #0x1a
0xfffffff009e45828: 613e40f9  ldr	x1, [x19, #0x78]
0xfffffff009e4582c: 591c7c97  bl	#0xfffffff007d4c990
0xfffffff009e45830: e00314aa  mov	x0, x20
0xfffffff009e45834: e10313aa  mov	x1, x19
0xfffffff009e45838: e20315aa  mov	x2, x21
0xfffffff009e4583c: 26ffff97  bl	#0xfffffff009e454d4
0xfffffff009e45840: 20010034  cbz	w0, #0xfffffff009e45864
0xfffffff009e45844: 680640f9  ldr	x8, [x19, #8]
0xfffffff009e45848: e88301a9  stp	x8, x0, [sp, #0x18]
0xfffffff009e4584c: 28f68052  mov	w8, #0x7b1
0xfffffff009e45850: e8db00a9  stp	x8, x22, [sp, #8]
0xfffffff009e45854: f70300f9  str	x23, [sp]
0xfffffff009e45858: 20cffe90  adrp	x0, #0xfffffff007829000
