; Candidate 6542
; ADRP+ADD at VM 0xfffffff008832894 (fileoff 0x182e894): page=0x1fe9b7000 add_imm=0xe80

0xfffffff008832814: ea4f03a9  stp	x10, x19, [sp, #0x30]
0xfffffff008832818: 88368052  mov	w8, #0x1b4
0xfffffff00883281c: 894fff90  adrp	x9, #0xfffffff007222000
0xfffffff008832820: 29553791  add	x9, x9, #0xdd5
0xfffffff008832824: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008832828: 884fff90  adrp	x8, #0xfffffff007222000
0xfffffff00883282c: 08813991  add	x8, x8, #0xe60
0xfffffff008832830: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008832834: 080b8052  mov	w8, #0x58
0xfffffff008832838: 604ffff0  adrp	x0, #0xfffffff007221000
0xfffffff00883283c: 00e01f91  add	x0, x0, #0x7f8
0xfffffff008832840: f52300a9  stp	x21, x8, [sp]
0xfffffff008832844: 0713d697  bl	#0xfffffff007db7460
0xfffffff008832848: 77000014  b	#0xfffffff008832a24
0xfffffff00883284c: 58060294  bl	#0xfffffff0088b41ac
0xfffffff008832850: f50300aa  mov	x21, x0
0xfffffff008832854: c0008052  mov	w0, #6
0xfffffff008832858: fe230194  bl	#0xfffffff00887b850
0xfffffff00883285c: f60300aa  mov	x22, x0
0xfffffff008832860: 600640f9  ldr	x0, [x19, #8]
0xfffffff008832864: 3de3ff97  bl	#0xfffffff00882b558
0xfffffff008832868: 68264529  ldp	w8, w9, [x19, #0x28]
0xfffffff00883286c: e8a703a9  stp	x8, x9, [sp, #0x38]
0xfffffff008832870: e90314aa  mov	x9, x20
0xfffffff008832874: e0a702a9  stp	x0, x9, [sp, #0x28]
0xfffffff008832878: ea368052  mov	w10, #0x1b7
0xfffffff00883287c: 884fff90  adrp	x8, #0xfffffff007222000
0xfffffff008832880: 08553791  add	x8, x8, #0xdd5
0xfffffff008832884: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff008832888: 080b8052  mov	w8, #0x58
0xfffffff00883288c: e8db00a9  stp	x8, x22, [sp, #8]
0xfffffff008832890: f50300f9  str	x21, [sp]
0xfffffff008832894: a04dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008832898: 00003a91  add	x0, x0, #0xe80
0xfffffff00883289c: a18effd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088328a0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088328a4: c350fff0  adrp	x3, #0xfffffff00724d000
0xfffffff0088328a8: 63ac1e91  add	x3, x3, #0x7ab
0xfffffff0088328ac: 02008052  mov	w2, #0
0xfffffff0088328b0: 2002ec97  bl	#0xfffffff008333130
0xfffffff0088328b4: 680240a9  ldp	x8, x0, [x19]
0xfffffff0088328b8: 15454039  ldrb	w21, [x8, #0x11]
0xfffffff0088328bc: 27e3ff97  bl	#0xfffffff00882b558
0xfffffff0088328c0: bf020071  cmp	w21, #0
0xfffffff0088328c4: 0818457a  ccmp	w0, #5, #8, ne
0xfffffff0088328c8: 8b0e0054  b.lt	#0xfffffff008832a98
0xfffffff0088328cc: 9f2a0071  cmp	w20, #0xa
0xfffffff0088328d0: 6b030054  b.lt	#0xfffffff00883293c
0xfffffff0088328d4: 682e40b9  ldr	w8, [x19, #0x2c]
0xfffffff0088328d8: 1f050071  cmp	w8, #1
0xfffffff0088328dc: 610d0054  b.ne	#0xfffffff008832a88
0xfffffff0088328e0: 000b8052  mov	w0, #0x58
0xfffffff0088328e4: c1008052  mov	w1, #6
0xfffffff0088328e8: ba230194  bl	#0xfffffff00887b7d0
0xfffffff0088328ec: 600c0034  cbz	w0, #0xfffffff008832a78
0xfffffff0088328f0: 000b8052  mov	w0, #0x58
0xfffffff0088328f4: c9230194  bl	#0xfffffff00887b818
0xfffffff0088328f8: f60300aa  mov	x22, x0
0xfffffff0088328fc: 2c060294  bl	#0xfffffff0088b41ac
0xfffffff008832900: f50300aa  mov	x21, x0
0xfffffff008832904: c0008052  mov	w0, #6
0xfffffff008832908: d2230194  bl	#0xfffffff00887b850
0xfffffff00883290c: 16090034  cbz	w22, #0xfffffff008832a2c
0xfffffff008832910: a9388052  mov	w9, #0x1c5
