; Candidate 6274
; ADRP+ADD at VM 0xfffffff00881ea90 (fileoff 0x181aa90): page=0x1fe9cb000 add_imm=0xe80

0xfffffff00881ea10: 00050034  cbz	w0, #0xfffffff00881eab0
0xfffffff00881ea14: a00e8052  mov	w0, #0x75
0xfffffff00881ea18: 80730194  bl	#0xfffffff00887b818
0xfffffff00881ea1c: f70300aa  mov	x23, x0
0xfffffff00881ea20: e3550294  bl	#0xfffffff0088b41ac
0xfffffff00881ea24: f60300aa  mov	x22, x0
0xfffffff00881ea28: 00018052  mov	w0, #8
0xfffffff00881ea2c: 89730194  bl	#0xfffffff00887b850
0xfffffff00881ea30: 97010034  cbz	w23, #0xfffffff00881ea60
0xfffffff00881ea34: f4d702a9  stp	x20, x21, [sp, #0x28]
0xfffffff00881ea38: 0850ffd0  adrp	x8, #0xfffffff007220000
0xfffffff00881ea3c: 08ad0391  add	x8, x8, #0xeb
0xfffffff00881ea40: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00881ea44: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00881ea48: a80e8052  mov	w8, #0x75
0xfffffff00881ea4c: c04fff90  adrp	x0, #0xfffffff007216000
0xfffffff00881ea50: 00e03c91  add	x0, x0, #0xf38
0xfffffff00881ea54: f62300a9  stp	x22, x8, [sp]
0xfffffff00881ea58: 8262d697  bl	#0xfffffff007db7460
0xfffffff00881ea5c: 15000014  b	#0xfffffff00881eab0
0xfffffff00881ea60: d3550294  bl	#0xfffffff0088b41ac
0xfffffff00881ea64: f60300aa  mov	x22, x0
0xfffffff00881ea68: 00018052  mov	w0, #8
0xfffffff00881ea6c: 79730194  bl	#0xfffffff00887b850
0xfffffff00881ea70: e80315aa  mov	x8, x21
0xfffffff00881ea74: f4a302a9  stp	x20, x8, [sp, #0x28]
0xfffffff00881ea78: 0850ffd0  adrp	x8, #0xfffffff007220000
0xfffffff00881ea7c: 08ad0391  add	x8, x8, #0xeb
0xfffffff00881ea80: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00881ea84: a80e8052  mov	w8, #0x75
0xfffffff00881ea88: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00881ea8c: f60300f9  str	x22, [sp]
0xfffffff00881ea90: 404efff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00881ea94: 00003a91  add	x0, x0, #0xe80
0xfffffff00881ea98: 418fffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00881ea9c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881eaa0: 6351ff90  adrp	x3, #0xfffffff00724a000
0xfffffff00881eaa4: 634c1491  add	x3, x3, #0x513
0xfffffff00881eaa8: 02008052  mov	w2, #0
0xfffffff00881eaac: a151ec97  bl	#0xfffffff008333130
0xfffffff00881eab0: 974a40f9  ldr	x23, [x20, #0x90]
0xfffffff00881eab4: e00314aa  mov	x0, x20
0xfffffff00881eab8: 9e430094  bl	#0xfffffff00882f930
0xfffffff00881eabc: 6852358b  add	x8, x19, w21, uxtw #4
0xfffffff00881eac0: 00c10391  add	x0, x8, #0xf0
0xfffffff00881eac4: e10314aa  mov	x1, x20
0xfffffff00881eac8: 5b440094  bl	#0xfffffff00882fc34
0xfffffff00881eacc: 762640f9  ldr	x22, [x19, #0x48]
0xfffffff00881ead0: e00315aa  mov	x0, x21
0xfffffff00881ead4: 0bb40094  bl	#0xfffffff00884bb00
0xfffffff00881ead8: e20300aa  mov	x2, x0
0xfffffff00881eadc: 831240b9  ldr	w3, [x20, #0x10]
0xfffffff00881eae0: 18008012  mov	w24, #-1
0xfffffff00881eae4: 849641a9  ldp	x4, x5, [x20, #0x18]
0xfffffff00881eae8: 770000b4  cbz	x23, #0xfffffff00881eaf4
0xfffffff00881eaec: e8c640b9  ldr	w8, [x23, #0xc4]
0xfffffff00881eaf0: 02000014  b	#0xfffffff00881eaf8
0xfffffff00881eaf4: 08008012  mov	w8, #-1
0xfffffff00881eaf8: 894240b9  ldr	w9, [x20, #0x40]
0xfffffff00881eafc: 6a2a4491  add	x10, x19, #0x10a, lsl #12
0xfffffff00881eb00: 59f10191  add	x25, x10, #0x7c
0xfffffff00881eb04: 2a0340b9  ldr	w10, [x25]
0xfffffff00881eb08: ea630229  stp	w10, w24, [sp, #0x10]
0xfffffff00881eb0c: e8270129  stp	w8, w9, [sp, #8]
