; Candidate 12274
; ADRP+ADD at VM 0xfffffff00908180c (fileoff 0x207d80c): page=0x1fe3d8000 add_imm=0xe24

0xfffffff00908178c: 95940090  adrp	x21, #0xfffffff00a311000
0xfffffff009081790: b5a20391  add	x21, x21, #0xe8
0xfffffff009081794: a8024039  ldrb	w8, [x21]
0xfffffff009081798: d31effb0  adrp	x19, #0xfffffff00745a000
0xfffffff00908179c: 73663891  add	x19, x19, #0xe19
0xfffffff0090817a0: d41eff90  adrp	x20, #0xfffffff007459000
0xfffffff0090817a4: 942e3f91  add	x20, x20, #0xfcb
0xfffffff0090817a8: 1f290071  cmp	w8, #0xa
0xfffffff0090817ac: a8000054  b.hi	#0xfffffff0090817c0
0xfffffff0090817b0: f44f00a9  stp	x20, x19, [sp]
0xfffffff0090817b4: c01eff90  adrp	x0, #0xfffffff007459000
0xfffffff0090817b8: 00583191  add	x0, x0, #0xc56
0xfffffff0090817bc: 1956cb97  bl	#0xfffffff008357020
0xfffffff0090817c0: 68b98052  mov	w8, #0x5cb
0xfffffff0090817c4: c91eff90  adrp	x9, #0xfffffff007459000
0xfffffff0090817c8: 29493f91  add	x9, x9, #0xfd2
0xfffffff0090817cc: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff0090817d0: c81eff90  adrp	x8, #0xfffffff007459000
0xfffffff0090817d4: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090817d8: ca1effb0  adrp	x10, #0xfffffff00745a000
0xfffffff0090817dc: 4a713791  add	x10, x10, #0xddc
0xfffffff0090817e0: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff0090817e4: ea0300f9  str	x10, [sp]
0xfffffff0090817e8: c01eff90  adrp	x0, #0xfffffff007459000
0xfffffff0090817ec: 00d42c91  add	x0, x0, #0xb35
0xfffffff0090817f0: 0c56cb97  bl	#0xfffffff008357020
0xfffffff0090817f4: a8024039  ldrb	w8, [x21]
0xfffffff0090817f8: 1f190171  cmp	w8, #0x46
0xfffffff0090817fc: e8000054  b.hi	#0xfffffff009081818
0xfffffff009081800: 08008092  mov	x8, #-1
0xfffffff009081804: f3a300a9  stp	x19, x8, [sp, #8]
0xfffffff009081808: f40300f9  str	x20, [sp]
0xfffffff00908180c: c01eff90  adrp	x0, #0xfffffff007459000
0xfffffff009081810: 00903891  add	x0, x0, #0xe24
0xfffffff009081814: 0356cb97  bl	#0xfffffff008357020
0xfffffff009081818: 00008012  mov	w0, #-1
0xfffffff00908181c: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff009081820: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff009081824: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff009081828: ff830191  add	sp, sp, #0x60
0xfffffff00908182c: ff0f5fd6  retab	
0xfffffff009081830: 7f2303d5  pacibsp	
0xfffffff009081834: ffc301d1  sub	sp, sp, #0x70
0xfffffff009081838: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff00908183c: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff009081840: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff009081844: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff009081848: fd830191  add	x29, sp, #0x60
0xfffffff00908184c: f50301aa  mov	x21, x1
0xfffffff009081850: f30300aa  mov	x19, x0
0xfffffff009081854: 97940090  adrp	x23, #0xfffffff00a311000
0xfffffff009081858: f7a20391  add	x23, x23, #0xe8
0xfffffff00908185c: e8024039  ldrb	w8, [x23]
0xfffffff009081860: 1f290071  cmp	w8, #0xa
0xfffffff009081864: 28010054  b.hi	#0xfffffff009081888
0xfffffff009081868: c81effb0  adrp	x8, #0xfffffff00745a000
0xfffffff00908186c: 08812291  add	x8, x8, #0x8a0
0xfffffff009081870: c91eff90  adrp	x9, #0xfffffff007459000
0xfffffff009081874: 292d3f91  add	x9, x9, #0xfcb
0xfffffff009081878: e92300a9  stp	x9, x8, [sp]
0xfffffff00908187c: c01eff90  adrp	x0, #0xfffffff007459000
0xfffffff009081880: 00583191  add	x0, x0, #0xc56
0xfffffff009081884: e755cb97  bl	#0xfffffff008357020
0xfffffff009081888: c81effb0  adrp	x8, #0xfffffff00745a000
