; Candidate 7826
; ADRP+ADD at VM 0xfffffff008881b6c (fileoff 0x187db6c): page=0x1fe9ab000 add_imm=0xe50

0xfffffff008881aec: 39e7ff97  bl	#0xfffffff00887b7d0
0xfffffff008881af0: 60040034  cbz	w0, #0xfffffff008881b7c
0xfffffff008881af4: 800b8052  mov	w0, #0x5c
0xfffffff008881af8: 48e7ff97  bl	#0xfffffff00887b818
0xfffffff008881afc: f80300aa  mov	x24, x0
0xfffffff008881b00: abc90094  bl	#0xfffffff0088b41ac
0xfffffff008881b04: f70300aa  mov	x23, x0
0xfffffff008881b08: c0008052  mov	w0, #6
0xfffffff008881b0c: 51e7ff97  bl	#0xfffffff00887b850
0xfffffff008881b10: f8150034  cbz	w24, #0xfffffff008881dcc
0xfffffff008881b14: 488cfff0  adrp	x8, #0xfffffff007a0c000
0xfffffff008881b18: 08811f91  add	x8, x8, #0x7e0
0xfffffff008881b1c: 087976f8  ldr	x8, [x8, x22, lsl #3]
0xfffffff008881b20: 691640f9  ldr	x9, [x19, #0x28]
0xfffffff008881b24: 297976b8  ldr	w9, [x9, x22, lsl #2]
0xfffffff008881b28: 6a1a40b9  ldr	w10, [x19, #0x18]
0xfffffff008881b2c: e93300f9  str	x9, [sp, #0x60]
0xfffffff008881b30: e90315aa  mov	x9, x21
0xfffffff008881b34: eb0314aa  mov	x11, x20
0xfffffff008881b38: eb2705a9  stp	x11, x9, [sp, #0x50]
0xfffffff008881b3c: 494dfff0  adrp	x9, #0xfffffff00722c000
0xfffffff008881b40: 29a13a91  add	x9, x9, #0xea8
0xfffffff008881b44: f32b04a9  stp	x19, x10, [sp, #0x40]
0xfffffff008881b48: e92303a9  stp	x9, x8, [sp, #0x30]
0xfffffff008881b4c: 282c8052  mov	w8, #0x161
0xfffffff008881b50: 894cff90  adrp	x9, #0xfffffff007211000
0xfffffff008881b54: 29491c91  add	x9, x9, #0x712
0xfffffff008881b58: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008881b5c: 684dff90  adrp	x8, #0xfffffff00722d000
0xfffffff008881b60: 08fd0891  add	x8, x8, #0x23f
0xfffffff008881b64: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008881b68: 880b8052  mov	w8, #0x5c
0xfffffff008881b6c: 404dfff0  adrp	x0, #0xfffffff00722c000
0xfffffff008881b70: 00403991  add	x0, x0, #0xe50
0xfffffff008881b74: f72300a9  stp	x23, x8, [sp]
0xfffffff008881b78: 3ad6d497  bl	#0xfffffff007db7460
0xfffffff008881b7c: 16008052  mov	w22, #0
0xfffffff008881b80: 17010014  b	#0xfffffff008881fdc
0xfffffff008881b84: 680640f9  ldr	x8, [x19, #8]
0xfffffff008881b88: 08414039  ldrb	w8, [x8, #0x10]
0xfffffff008881b8c: 88090034  cbz	w8, #0xfffffff008881cbc
0xfffffff008881b90: 611a40b9  ldr	w1, [x19, #0x18]
0xfffffff008881b94: f903152a  mov	w25, w21
0xfffffff008881b98: 1b198052  mov	w27, #0xc8
0xfffffff008881b9c: db74a572  movk	w27, #0x2ba6, lsl #16
0xfffffff008881ba0: 00198052  mov	w0, #0xc8
0xfffffff008881ba4: c074a572  movk	w0, #0x2ba6, lsl #16
0xfffffff008881ba8: e20316aa  mov	x2, x22
0xfffffff008881bac: e30319aa  mov	x3, x25
0xfffffff008881bb0: 040080d2  mov	x4, #0
0xfffffff008881bb4: 050080d2  mov	x5, #0
0xfffffff008881bb8: d3f0e397  bl	#0xfffffff00817df04
0xfffffff008881bbc: 484cffd0  adrp	x8, #0xfffffff00720b000
0xfffffff008881bc0: 08d11d91  add	x8, x8, #0x774
0xfffffff008881bc4: 600240f9  ldr	x0, [x19]
0xfffffff008881bc8: 175975b8  ldr	w23, [x8, w21, uxtw #2]
0xfffffff008881bcc: 681640f9  ldr	x8, [x19, #0x28]
0xfffffff008881bd0: 027976b8  ldr	w2, [x8, x22, lsl #2]
0xfffffff008881bd4: 100040f9  ldr	x16, [x0]
0xfffffff008881bd8: f10300aa  mov	x17, x0
0xfffffff008881bdc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008881be0: 301ac1da  autda	x16, x17
0xfffffff008881be4: f10310aa  mov	x17, x16
0xfffffff008881be8: f147c1da  xpacd	x17
