; Candidate 11549
; ADRP+ADD at VM 0xfffffff008f87aec (fileoff 0x1f83aec): page=0x1fe49e000 add_imm=0xea9

0xfffffff008f87a6c: 685201b9  str	w8, [x19, #0x150]
0xfffffff008f87a70: ff3f00b9  str	wzr, [sp, #0x3c]
0xfffffff008f87a74: e024ffd0  adrp	x0, #0xfffffff007425000
0xfffffff008f87a78: 00883991  add	x0, x0, #0xe62
0xfffffff008f87a7c: e1f30091  add	x1, sp, #0x3c
0xfffffff008f87a80: 82008052  mov	w2, #4
0xfffffff008f87a84: 4d95d397  bl	#0xfffffff00846cfb8
0xfffffff008f87a88: 80000034  cbz	w0, #0xfffffff008f87a98
0xfffffff008f87a8c: e83f40b9  ldr	w8, [sp, #0x3c]
0xfffffff008f87a90: e83b00b9  str	w8, [sp, #0x38]
0xfffffff008f87a94: 685601b9  str	w8, [x19, #0x154]
0xfffffff008f87a98: ff3f00b9  str	wzr, [sp, #0x3c]
0xfffffff008f87a9c: e024ffd0  adrp	x0, #0xfffffff007425000
0xfffffff008f87aa0: 00dc3991  add	x0, x0, #0xe77
0xfffffff008f87aa4: e1f30091  add	x1, sp, #0x3c
0xfffffff008f87aa8: 82008052  mov	w2, #4
0xfffffff008f87aac: 4395d397  bl	#0xfffffff00846cfb8
0xfffffff008f87ab0: 80000034  cbz	w0, #0xfffffff008f87ac0
0xfffffff008f87ab4: e83f40b9  ldr	w8, [sp, #0x3c]
0xfffffff008f87ab8: e83b00b9  str	w8, [sp, #0x38]
0xfffffff008f87abc: 685a01b9  str	w8, [x19, #0x158]
0xfffffff008f87ac0: ff3f00b9  str	wzr, [sp, #0x3c]
0xfffffff008f87ac4: e024ffd0  adrp	x0, #0xfffffff007425000
0xfffffff008f87ac8: 003c3a91  add	x0, x0, #0xe8f
0xfffffff008f87acc: e1f30091  add	x1, sp, #0x3c
0xfffffff008f87ad0: 82008052  mov	w2, #4
0xfffffff008f87ad4: 3995d397  bl	#0xfffffff00846cfb8
0xfffffff008f87ad8: 80000034  cbz	w0, #0xfffffff008f87ae8
0xfffffff008f87adc: e83f40b9  ldr	w8, [sp, #0x3c]
0xfffffff008f87ae0: e83b00b9  str	w8, [sp, #0x38]
0xfffffff008f87ae4: 685e01b9  str	w8, [x19, #0x15c]
0xfffffff008f87ae8: ff3f00b9  str	wzr, [sp, #0x3c]
0xfffffff008f87aec: e024ffd0  adrp	x0, #0xfffffff007425000
0xfffffff008f87af0: 00a43a91  add	x0, x0, #0xea9
0xfffffff008f87af4: e1f30091  add	x1, sp, #0x3c
0xfffffff008f87af8: 82008052  mov	w2, #4
0xfffffff008f87afc: 2f95d397  bl	#0xfffffff00846cfb8
0xfffffff008f87b00: 80000034  cbz	w0, #0xfffffff008f87b10
0xfffffff008f87b04: e83f40b9  ldr	w8, [sp, #0x3c]
0xfffffff008f87b08: e83b00b9  str	w8, [sp, #0x38]
0xfffffff008f87b0c: 686201b9  str	w8, [x19, #0x160]
0xfffffff008f87b10: ff3f00b9  str	wzr, [sp, #0x3c]
0xfffffff008f87b14: e024ffd0  adrp	x0, #0xfffffff007425000
0xfffffff008f87b18: 00d83a91  add	x0, x0, #0xeb6
0xfffffff008f87b1c: e1f30091  add	x1, sp, #0x3c
0xfffffff008f87b20: 82008052  mov	w2, #4
0xfffffff008f87b24: 2595d397  bl	#0xfffffff00846cfb8
0xfffffff008f87b28: 80000034  cbz	w0, #0xfffffff008f87b38
0xfffffff008f87b2c: e83f40b9  ldr	w8, [sp, #0x3c]
0xfffffff008f87b30: e83b00b9  str	w8, [sp, #0x38]
0xfffffff008f87b34: 686601b9  str	w8, [x19, #0x164]
0xfffffff008f87b38: ff3f00b9  str	wzr, [sp, #0x3c]
0xfffffff008f87b3c: e024ffd0  adrp	x0, #0xfffffff007425000
0xfffffff008f87b40: 002c3b91  add	x0, x0, #0xecb
0xfffffff008f87b44: e1f30091  add	x1, sp, #0x3c
0xfffffff008f87b48: 82008052  mov	w2, #4
0xfffffff008f87b4c: 1b95d397  bl	#0xfffffff00846cfb8
0xfffffff008f87b50: 80000034  cbz	w0, #0xfffffff008f87b60
0xfffffff008f87b54: e83f40b9  ldr	w8, [sp, #0x3c]
0xfffffff008f87b58: e83b00b9  str	w8, [sp, #0x38]
0xfffffff008f87b5c: 68000034  cbz	w8, #0xfffffff008f87b68
0xfffffff008f87b60: 28008052  mov	w8, #1
0xfffffff008f87b64: 68a20539  strb	w8, [x19, #0x168]
0xfffffff008f87b68: ff3f00b9  str	wzr, [sp, #0x3c]
