; Candidate 7745
; ADRP+ADD at VM 0xfffffff00887cc6c (fileoff 0x1878c6c): page=0x1fe96d000 add_imm=0xe80

0xfffffff00887cbec: f90300f9  str	x25, [sp]
0xfffffff00887cbf0: 604bffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00887cbf4: 00003a91  add	x0, x0, #0xe80
0xfffffff00887cbf8: 618cff90  adrp	x1, #0xfffffff007a08000
0xfffffff00887cbfc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00887cc00: e34effd0  adrp	x3, #0xfffffff00725a000
0xfffffff00887cc04: 63983891  add	x3, x3, #0xe26
0xfffffff00887cc08: 02008052  mov	w2, #0
0xfffffff00887cc0c: 49d9ea97  bl	#0xfffffff008333130
0xfffffff00887cc10: 18008052  mov	w24, #0
0xfffffff00887cc14: 92ffff17  b	#0xfffffff00887ca5c
0xfffffff00887cc18: 65dd0094  bl	#0xfffffff0088b41ac
0xfffffff00887cc1c: f80300aa  mov	x24, x0
0xfffffff00887cc20: 80008052  mov	w0, #4
0xfffffff00887cc24: 0bfbff97  bl	#0xfffffff00887b850
0xfffffff00887cc28: e80317aa  mov	x8, x23
0xfffffff00887cc2c: f62305a9  stp	x22, x8, [sp, #0x50]
0xfffffff00887cc30: f45704a9  stp	x20, x21, [sp, #0x40]
0xfffffff00887cc34: 884dff90  adrp	x8, #0xfffffff00722c000
0xfffffff00887cc38: 086d0891  add	x8, x8, #0x21b
0xfffffff00887cc3c: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00887cc40: e8088052  mov	w8, #0x47
0xfffffff00887cc44: a94cffb0  adrp	x9, #0xfffffff007211000
0xfffffff00887cc48: 29892c91  add	x9, x9, #0xb22
0xfffffff00887cc4c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00887cc50: 884dff90  adrp	x8, #0xfffffff00722c000
0xfffffff00887cc54: 08b91891  add	x8, x8, #0x62e
0xfffffff00887cc58: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00887cc5c: 280b8052  mov	w8, #0x59
0xfffffff00887cc60: e34effd0  adrp	x3, #0xfffffff00725a000
0xfffffff00887cc64: 638c3791  add	x3, x3, #0xde3
0xfffffff00887cc68: f82300a9  stp	x24, x8, [sp]
0xfffffff00887cc6c: 604bffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00887cc70: 00003a91  add	x0, x0, #0xe80
0xfffffff00887cc74: 618cff90  adrp	x1, #0xfffffff007a08000
0xfffffff00887cc78: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00887cc7c: 02008052  mov	w2, #0
0xfffffff00887cc80: 2cd9ea97  bl	#0xfffffff008333130
0xfffffff00887cc84: 587d8012  mov	w24, #-0x3eb
0xfffffff00887cc88: 69ffff17  b	#0xfffffff00887ca2c
0xfffffff00887cc8c: 5f2403d5  bti	c
0xfffffff00887cc90: 5f100071  cmp	w2, #4
0xfffffff00887cc94: e8d79f1a  cset	w8, gt
0xfffffff00887cc98: 0001010a  and	w0, w8, w1
0xfffffff00887cc9c: c0035fd6  ret	
0xfffffff00887cca0: 7f2303d5  pacibsp	
0xfffffff00887cca4: ff4302d1  sub	sp, sp, #0x90
0xfffffff00887cca8: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff00887ccac: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff00887ccb0: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff00887ccb4: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff00887ccb8: fd030291  add	x29, sp, #0x80
0xfffffff00887ccbc: f40301aa  mov	x20, x1
0xfffffff00887ccc0: f30300aa  mov	x19, x0
0xfffffff00887ccc4: 200b8052  mov	w0, #0x59
0xfffffff00887ccc8: 01018052  mov	w1, #8
0xfffffff00887cccc: c1faff97  bl	#0xfffffff00887b7d0
0xfffffff00887ccd0: c0020034  cbz	w0, #0xfffffff00887cd28
0xfffffff00887ccd4: 200b8052  mov	w0, #0x59
0xfffffff00887ccd8: d0faff97  bl	#0xfffffff00887b818
0xfffffff00887ccdc: f60300aa  mov	x22, x0
0xfffffff00887cce0: 33dd0094  bl	#0xfffffff0088b41ac
0xfffffff00887cce4: f50300aa  mov	x21, x0
0xfffffff00887cce8: 00018052  mov	w0, #8
