; Candidate 9006
; ADRP+ADD at VM 0xfffffff008944f08 (fileoff 0x1940f08): page=0x1fe937000 add_imm=0xdab

0xfffffff008944e88: f147c1da  xpacd	x17
0xfffffff008944e8c: 1f0211eb  cmp	x16, x17
0xfffffff008944e90: 40000054  b.eq	#0xfffffff008944e98
0xfffffff008944e94: 408e38d4  brk	#0xc472
0xfffffff008944e98: 08621591  add	x8, x16, #0x558
0xfffffff008944e9c: 09ae42f9  ldr	x9, [x16, #0x558]
0xfffffff008944ea0: aa49fff0  adrp	x10, #0xfffffff00727b000
0xfffffff008944ea4: 4a213691  add	x10, x10, #0xd88
0xfffffff008944ea8: a449fff0  adrp	x4, #0xfffffff00727b000
0xfffffff008944eac: 84ac3591  add	x4, x4, #0xd6b
0xfffffff008944eb0: e02b00a9  stp	x0, x10, [sp]
0xfffffff008944eb4: e00315aa  mov	x0, x21
0xfffffff008944eb8: 41008052  mov	w1, #2
0xfffffff008944ebc: e20316aa  mov	x2, x22
0xfffffff008944ec0: 03008052  mov	w3, #0
0xfffffff008944ec4: f10308aa  mov	x17, x8
0xfffffff008944ec8: 312ae3f2  movk	x17, #0x1951, lsl #48
0xfffffff008944ecc: 31093fd7  blraa	x9, x17
0xfffffff008944ed0: 4887ffd0  adrp	x8, #0xfffffff007a2e000
0xfffffff008944ed4: 08a12f91  add	x8, x8, #0xbe8
0xfffffff008944ed8: 09010b91  add	x9, x8, #0x2c0
0xfffffff008944edc: 086141f9  ldr	x8, [x8, #0x2c0]
0xfffffff008944ee0: e00313aa  mov	x0, x19
0xfffffff008944ee4: e10314aa  mov	x1, x20
0xfffffff008944ee8: f10309aa  mov	x17, x9
0xfffffff008944eec: 118de7f2  movk	x17, #0x3c68, lsl #48
0xfffffff008944ef0: 11093fd7  blraa	x8, x17
0xfffffff008944ef4: a00f0036  tbz	w0, #0, #0xfffffff0089450e8
0xfffffff008944ef8: 28008052  mov	w8, #1
0xfffffff008944efc: 68820839  strb	w8, [x19, #0x220]
0xfffffff008944f00: e8f30132  mov	w8, #-0x55555556
0xfffffff008944f04: e81f00b9  str	w8, [sp, #0x1c]
0xfffffff008944f08: a049fff0  adrp	x0, #0xfffffff00727b000
0xfffffff008944f0c: 00ac3691  add	x0, x0, #0xdab
0xfffffff008944f10: e1730091  add	x1, sp, #0x1c
0xfffffff008944f14: 82008052  mov	w2, #4
0xfffffff008944f18: 28a0ec97  bl	#0xfffffff00846cfb8
0xfffffff008944f1c: a0000034  cbz	w0, #0xfffffff008944f30
0xfffffff008944f20: e81f40b9  ldr	w8, [sp, #0x1c]
0xfffffff008944f24: 1f010071  cmp	w8, #0
0xfffffff008944f28: e8079f1a  cset	w8, ne
0xfffffff008944f2c: 68820839  strb	w8, [x19, #0x220]
0xfffffff008944f30: 4887ffb0  adrp	x8, #0xfffffff007a2d000
0xfffffff008944f34: 082147f9  ldr	x8, [x8, #0xe40]
0xfffffff008944f38: 010140f9  ldr	x1, [x8]
0xfffffff008944f3c: e00314aa  mov	x0, x20
0xfffffff008944f40: 6d7be697  bl	#0xfffffff0082e3cf4
0xfffffff008944f44: 606a00f9  str	x0, [x19, #0xd0]
0xfffffff008944f48: e05100b4  cbz	x0, #0xfffffff008945984
0xfffffff008944f4c: 100040f9  ldr	x16, [x0]
0xfffffff008944f50: f10300aa  mov	x17, x0
0xfffffff008944f54: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008944f58: 301ac1da  autda	x16, x17
0xfffffff008944f5c: 080e42f8  ldr	x8, [x16, #0x20]!
0xfffffff008944f60: e90310aa  mov	x9, x16
0xfffffff008944f64: f10309aa  mov	x17, x9
0xfffffff008944f68: 51c9e5f2  movk	x17, #0x2e4a, lsl #48
0xfffffff008944f6c: 11093fd7  blraa	x8, x17
0xfffffff008944f70: 606a40f9  ldr	x0, [x19, #0xd0]
0xfffffff008944f74: 100040f9  ldr	x16, [x0]
0xfffffff008944f78: f10300aa  mov	x17, x0
0xfffffff008944f7c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008944f80: 301ac1da  autda	x16, x17
0xfffffff008944f84: f10310aa  mov	x17, x16
