; Candidate 6823
; ADRP+ADD at VM 0xfffffff008844838 (fileoff 0x1840838): page=0x1fe9a5000 add_imm=0xe80

0xfffffff0088447b8: e10315aa  mov	x1, x21
0xfffffff0088447bc: 05dc0094  bl	#0xfffffff00887b7d0
0xfffffff0088447c0: c0060034  cbz	w0, #0xfffffff008844898
0xfffffff0088447c4: e00313aa  mov	x0, x19
0xfffffff0088447c8: 14dc0094  bl	#0xfffffff00887b818
0xfffffff0088447cc: 54010034  cbz	w20, #0xfffffff0088447f4
0xfffffff0088447d0: e82f40b9  ldr	w8, [sp, #0x2c]
0xfffffff0088447d4: 1f011b72  tst	w8, #0x20
0xfffffff0088447d8: e8179f1a  cset	w8, eq
0xfffffff0088447dc: 0800080a  and	w8, w0, w8
0xfffffff0088447e0: 1f050071  cmp	w8, #1
0xfffffff0088447e4: a1020054  b.ne	#0xfffffff008844838
0xfffffff0088447e8: 804efff0  adrp	x0, #0xfffffff007217000
0xfffffff0088447ec: 00540e91  add	x0, x0, #0x395
0xfffffff0088447f0: 10000014  b	#0xfffffff008844830
0xfffffff0088447f4: e82b40b9  ldr	w8, [sp, #0x28]
0xfffffff0088447f8: 1f011b72  tst	w8, #0x20
0xfffffff0088447fc: e8179f1a  cset	w8, eq
0xfffffff008844800: 1a00080a  and	w26, w0, w8
0xfffffff008844804: 6abe0194  bl	#0xfffffff0088b41ac
0xfffffff008844808: f90300aa  mov	x25, x0
0xfffffff00884480c: e00315aa  mov	x0, x21
0xfffffff008844810: 10dc0094  bl	#0xfffffff00887b850
0xfffffff008844814: 5f070071  cmp	w26, #1
0xfffffff008844818: 21020054  b.ne	#0xfffffff00884485c
0xfffffff00884481c: e80313aa  mov	x8, x19
0xfffffff008844820: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008844824: f90300f9  str	x25, [sp]
0xfffffff008844828: 804efff0  adrp	x0, #0xfffffff007217000
0xfffffff00884482c: 005c0e91  add	x0, x0, #0x397
0xfffffff008844830: 0ccbd597  bl	#0xfffffff007db7460
0xfffffff008844834: 19000014  b	#0xfffffff008844898
0xfffffff008844838: 204dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884483c: 00003a91  add	x0, x0, #0xe80
0xfffffff008844840: 218eff90  adrp	x1, #0xfffffff007a08000
0xfffffff008844844: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008844848: 6350ff90  adrp	x3, #0xfffffff007250000
0xfffffff00884484c: 63081391  add	x3, x3, #0x4c2
0xfffffff008844850: 02008052  mov	w2, #0
0xfffffff008844854: 37baeb97  bl	#0xfffffff008333130
0xfffffff008844858: 10000014  b	#0xfffffff008844898
0xfffffff00884485c: 54be0194  bl	#0xfffffff0088b41ac
0xfffffff008844860: f90300aa  mov	x25, x0
0xfffffff008844864: e00315aa  mov	x0, x21
0xfffffff008844868: fadb0094  bl	#0xfffffff00887b850
0xfffffff00884486c: e80313aa  mov	x8, x19
0xfffffff008844870: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008844874: f90300f9  str	x25, [sp]
0xfffffff008844878: 204dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884487c: 00003a91  add	x0, x0, #0xe80
0xfffffff008844880: 218eff90  adrp	x1, #0xfffffff007a08000
0xfffffff008844884: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008844888: 6350ff90  adrp	x3, #0xfffffff007250000
0xfffffff00884488c: 630c1391  add	x3, x3, #0x4c3
0xfffffff008844890: 02008052  mov	w2, #0
0xfffffff008844894: 27baeb97  bl	#0xfffffff008333130
0xfffffff008844898: c02640f9  ldr	x0, [x22, #0x48]
0xfffffff00884489c: e00700b4  cbz	x0, #0xfffffff008844998
0xfffffff0088448a0: e10313aa  mov	x1, x19
0xfffffff0088448a4: e20314aa  mov	x2, x20
0xfffffff0088448a8: 030080d2  mov	x3, #0
0xfffffff0088448ac: 04008052  mov	w4, #0
0xfffffff0088448b0: 049cff97  bl	#0xfffffff00882b8c0
0xfffffff0088448b4: e00313aa  mov	x0, x19
