; Candidate 3106
; ADRP+ADD at VM 0xfffffff00871350c (fileoff 0x170f50c): page=0x1fea1e000 add_imm=0xd90

0xfffffff00871348c: 1f000a6b  cmp	w0, w10
0xfffffff008713490: e2010054  b.hs	#0xfffffff0087134cc
0xfffffff008713494: 0b3140f9  ldr	x11, [x8, #0x60]
0xfffffff008713498: 0cf48052  mov	w12, #0x7a0
0xfffffff00871349c: 0b2c0c9b  madd	x11, x0, x12, x11
0xfffffff0087134a0: ec0300aa  mov	x12, x0
0xfffffff0087134a4: 6d0140b9  ldr	w13, [x11]
0xfffffff0087134a8: ad050034  cbz	w13, #0xfffffff00871355c
0xfffffff0087134ac: 8c050091  add	x12, x12, #1
0xfffffff0087134b0: 6b811e91  add	x11, x11, #0x7a0
0xfffffff0087134b4: 5f010c6b  cmp	w10, w12
0xfffffff0087134b8: 61ffff54  b.ne	#0xfffffff0087134a4
0xfffffff0087134bc: 9f010aeb  cmp	x12, x10
0xfffffff0087134c0: eb279f1a  cset	w11, lo
0xfffffff0087134c4: 80000035  cbnz	w0, #0xfffffff0087134d4
0xfffffff0087134c8: 0b000014  b	#0xfffffff0087134f4
0xfffffff0087134cc: 0b008052  mov	w11, #0
0xfffffff0087134d0: 20010034  cbz	w0, #0xfffffff0087134f4
0xfffffff0087134d4: 0c0080d2  mov	x12, #0
0xfffffff0087134d8: 0d3140f9  ldr	x13, [x8, #0x60]
0xfffffff0087134dc: ae0140b9  ldr	w14, [x13]
0xfffffff0087134e0: ee030034  cbz	w14, #0xfffffff00871355c
0xfffffff0087134e4: 8c050091  add	x12, x12, #1
0xfffffff0087134e8: ad811e91  add	x13, x13, #0x7a0
0xfffffff0087134ec: 1f000ceb  cmp	x0, x12
0xfffffff0087134f0: 61ffff54  b.ne	#0xfffffff0087134dc
0xfffffff0087134f4: 6b030037  tbnz	w11, #0, #0xfffffff008713560
0xfffffff0087134f8: 08e94139  ldrb	w8, [x8, #0x7a]
0xfffffff0087134fc: f351ff90  adrp	x19, #0xfffffff00714f000
0xfffffff008713500: 73920591  add	x19, x19, #0x164
0xfffffff008713504: 48010036  tbz	w8, #0, #0xfffffff00871352c
0xfffffff008713508: f30300f9  str	x19, [sp]
0xfffffff00871350c: e050ffd0  adrp	x0, #0xfffffff007131000
0xfffffff008713510: 00403691  add	x0, x0, #0xd90
0xfffffff008713514: 4197ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008713518: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871351c: 2351ffb0  adrp	x3, #0xfffffff007138000
0xfffffff008713520: 63c00791  add	x3, x3, #0x1f0
0xfffffff008713524: 02008052  mov	w2, #0
0xfffffff008713528: 027ff097  bl	#0xfffffff008333130
0xfffffff00871352c: a8368052  mov	w8, #0x1b5
0xfffffff008713530: f32300a9  stp	x19, x8, [sp]
0xfffffff008713534: e050ffd0  adrp	x0, #0xfffffff007131000
0xfffffff008713538: 00403691  add	x0, x0, #0xd90
0xfffffff00871353c: 4197ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008713540: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008713544: 2351ffb0  adrp	x3, #0xfffffff007138000
0xfffffff008713548: 63640891  add	x3, x3, #0x219
0xfffffff00871354c: 02008052  mov	w2, #0
0xfffffff008713550: f87ef097  bl	#0xfffffff008333130
0xfffffff008713554: 00008012  mov	w0, #-1
0xfffffff008713558: 0d000014  b	#0xfffffff00871358c
0xfffffff00871355c: e0030caa  mov	x0, x12
0xfffffff008713560: 0b040011  add	w11, w0, #1
0xfffffff008713564: 7f010a6b  cmp	w11, w10
0xfffffff008713568: ea07801a  csinc	w10, wzr, w0, eq
0xfffffff00871356c: 2a1100b9  str	w10, [x9, #0x10]
0xfffffff008713570: 083140f9  ldr	x8, [x8, #0x60]
0xfffffff008713574: 09f48052  mov	w9, #0x7a0
0xfffffff008713578: 0820a99b  umaddl	x8, w0, w9, x8
0xfffffff00871357c: 29008052  mov	w9, #1
0xfffffff008713580: 090100b9  str	w9, [x8]
0xfffffff008713584: 099d07b9  str	w9, [x8, #0x79c]
0xfffffff008713588: 1fc903f9  str	xzr, [x8, #0x790]
