; Candidate 13717
; ADRP+ADD at VM 0xfffffff0093e9884 (fileoff 0x23e5884): page=0x1fe129000 add_imm=0xed1

0xfffffff0093e9804: e00315aa  mov	x0, x21
0xfffffff0093e9808: f10309aa  mov	x17, x9
0xfffffff0093e980c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0093e9810: 11093fd7  blraa	x8, x17
0xfffffff0093e9814: 700240f9  ldr	x16, [x19]
0xfffffff0093e9818: f10313aa  mov	x17, x19
0xfffffff0093e981c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093e9820: 301ac1da  autda	x16, x17
0xfffffff0093e9824: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0093e9828: e90310aa  mov	x9, x16
0xfffffff0093e982c: e00313aa  mov	x0, x19
0xfffffff0093e9830: f10309aa  mov	x17, x9
0xfffffff0093e9834: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0093e9838: 11093fd7  blraa	x8, x17
0xfffffff0093e983c: 56ffff17  b	#0xfffffff0093e9594
0xfffffff0093e9840: 83d1a597  bl	#0xfffffff007d5de4c
0xfffffff0093e9844: 7f2303d5  pacibsp	
0xfffffff0093e9848: ff8301d1  sub	sp, sp, #0x60
0xfffffff0093e984c: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff0093e9850: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0093e9854: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff0093e9858: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff0093e985c: fd430191  add	x29, sp, #0x50
0xfffffff0093e9860: 2800c0d2  mov	x8, #0x100000000
0xfffffff0093e9864: e80f00f9  str	x8, [sp, #0x18]
0xfffffff0093e9868: c10900b4  cbz	x1, #0xfffffff0093e99a0
0xfffffff0093e986c: f40303aa  mov	x20, x3
0xfffffff0093e9870: 830900b4  cbz	x3, #0xfffffff0093e99a0
0xfffffff0093e9874: f50304aa  mov	x21, x4
0xfffffff0093e9878: 440900b4  cbz	x4, #0xfffffff0093e99a0
0xfffffff0093e987c: f60302aa  mov	x22, x2
0xfffffff0093e9880: f70301aa  mov	x23, x1
0xfffffff0093e9884: 4009ffb0  adrp	x0, #0xfffffff007512000
0xfffffff0093e9888: 00443b91  add	x0, x0, #0xed1
0xfffffff0093e988c: 010080d2  mov	x1, #0
0xfffffff0093e9890: 0082be97  bl	#0xfffffff00838a090
0xfffffff0093e9894: e1630091  add	x1, sp, #0x18
0xfffffff0093e9898: 897bbe97  bl	#0xfffffff0083886bc
0xfffffff0093e989c: 000900b4  cbz	x0, #0xfffffff0093e99bc
0xfffffff0093e98a0: f30300aa  mov	x19, x0
0xfffffff0093e98a4: 100040f9  ldr	x16, [x0]
0xfffffff0093e98a8: f10300aa  mov	x17, x0
0xfffffff0093e98ac: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093e98b0: 301ac1da  autda	x16, x17
0xfffffff0093e98b4: 080e42f8  ldr	x8, [x16, #0x20]!
0xfffffff0093e98b8: e90310aa  mov	x9, x16
0xfffffff0093e98bc: f10309aa  mov	x17, x9
0xfffffff0093e98c0: 51c9e5f2  movk	x17, #0x2e4a, lsl #48
0xfffffff0093e98c4: 11093fd7  blraa	x8, x17
0xfffffff0093e98c8: e00317aa  mov	x0, x23
0xfffffff0093e98cc: e10316aa  mov	x1, x22
0xfffffff0093e98d0: 1011bc97  bl	#0xfffffff0082edd10
0xfffffff0093e98d4: e10300aa  mov	x1, x0
0xfffffff0093e98d8: 700240f9  ldr	x16, [x19]
0xfffffff0093e98dc: f10313aa  mov	x17, x19
0xfffffff0093e98e0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093e98e4: 301ac1da  autda	x16, x17
0xfffffff0093e98e8: f10310aa  mov	x17, x16
0xfffffff0093e98ec: f147c1da  xpacd	x17
0xfffffff0093e98f0: 1f0211eb  cmp	x16, x17
0xfffffff0093e98f4: 40000054  b.eq	#0xfffffff0093e98fc
0xfffffff0093e98f8: 408e38d4  brk	#0xc472
0xfffffff0093e98fc: 08a22191  add	x8, x16, #0x868
0xfffffff0093e9900: 093644f9  ldr	x9, [x16, #0x868]
