; Candidate 3238
; ADRP+ADD at VM 0xfffffff008722f40 (fileoff 0x171ef40): page=0x1fea0f000 add_imm=0xd90

0xfffffff008722ec0: 08850011  add	w8, w8, #0x21
0xfffffff008722ec4: 88a600b9  str	w8, [x20, #0xa4]
0xfffffff008722ec8: e00314aa  mov	x0, x20
0xfffffff008722ecc: 02008052  mov	w2, #0
0xfffffff008722ed0: ece0ff97  bl	#0xfffffff00871b280
0xfffffff008722ed4: 886e40b9  ldr	w8, [x20, #0x6c]
0xfffffff008722ed8: 89a640b9  ldr	w9, [x20, #0xa4]
0xfffffff008722edc: 2901190b  add	w9, w9, w25
0xfffffff008722ee0: 29810011  add	w9, w9, #0x20
0xfffffff008722ee4: 89a600b9  str	w9, [x20, #0xa4]
0xfffffff008722ee8: e903194b  neg	w9, w25
0xfffffff008722eec: 1a25c91a  lsr	w26, w8, w9
0xfffffff008722ef0: 21830011  add	w1, w25, #0x20
0xfffffff008722ef4: e00314aa  mov	x0, x20
0xfffffff008722ef8: 02008052  mov	w2, #0
0xfffffff008722efc: e1e0ff97  bl	#0xfffffff00871b280
0xfffffff008722f00: 287f0011  add	w8, w25, #0x1f
0xfffffff008722f04: 29008012  mov	w9, #-2
0xfffffff008722f08: 2821c81a  lsl	w8, w9, w8
0xfffffff008722f0c: e803282a  mvn	w8, w8
0xfffffff008722f10: 4803080b  add	w8, w26, w8
0xfffffff008722f14: 1f214071  cmp	w8, #8, lsl #12
0xfffffff008722f18: 63030054  b.lo	#0xfffffff008722f84
0xfffffff008722f1c: e9ff8f52  mov	w9, #0x7fff
0xfffffff008722f20: aa51ff90  adrp	x10, #0xfffffff007156000
0xfffffff008722f24: 4a8d0591  add	x10, x10, #0x163
0xfffffff008722f28: ff2702a9  stp	xzr, x9, [sp, #0x20]
0xfffffff008722f2c: ea2301a9  stp	x10, x8, [sp, #0x10]
0xfffffff008722f30: 88658152  mov	w8, #0xb2c
0xfffffff008722f34: a951ff90  adrp	x9, #0xfffffff007156000
0xfffffff008722f38: 292d0591  add	x9, x9, #0x14b
0xfffffff008722f3c: e92300a9  stp	x9, x8, [sp]
0xfffffff008722f40: 6050fff0  adrp	x0, #0xfffffff007131000
0xfffffff008722f44: 00403691  add	x0, x0, #0xd90
0xfffffff008722f48: c196fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008722f4c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008722f50: a350fff0  adrp	x3, #0xfffffff007139000
0xfffffff008722f54: 634c2291  add	x3, x3, #0x893
0xfffffff008722f58: 02008052  mov	w2, #0
0xfffffff008722f5c: 7540f097  bl	#0xfffffff008333130
0xfffffff008722f60: f2feff17  b	#0xfffffff008722b28
0xfffffff008722f64: 88a640b9  ldr	w8, [x20, #0xa4]
0xfffffff008722f68: 08050011  add	w8, w8, #1
0xfffffff008722f6c: 88a600b9  str	w8, [x20, #0xa4]
0xfffffff008722f70: e00314aa  mov	x0, x20
0xfffffff008722f74: 21008052  mov	w1, #1
0xfffffff008722f78: 02008052  mov	w2, #0
0xfffffff008722f7c: c1e0ff97  bl	#0xfffffff00871b280
0xfffffff008722f80: 08008052  mov	w8, #0
0xfffffff008722f84: 19008052  mov	w25, #0
0xfffffff008722f88: 09168052  mov	w9, #0xb0
0xfffffff008722f8c: a94ea99b  umaddl	x9, w21, w9, x19
0xfffffff008722f90: ea03362a  mvn	w10, w22
0xfffffff008722f94: 4b01150b  add	w11, w10, w21
0xfffffff008722f98: 0aff7ed3  lsr	x10, x24, #0x3e
0xfffffff008722f9c: 4a011f12  and	w10, w10, #2
0xfffffff008722fa0: 08050011  add	w8, w8, #1
0xfffffff008722fa4: e82b0729  stp	w8, w10, [sp, #0x38]
0xfffffff008722fa8: 2b0100b9  str	w11, [x9]
0xfffffff008722fac: 08168052  mov	w8, #0xb0
0xfffffff008722fb0: eb2300f9  str	x11, [sp, #0x40]
0xfffffff008722fb4: 684da89b  umaddl	x8, w11, w8, x19
0xfffffff008722fb8: 16310091  add	x22, x8, #0xc
0xfffffff008722fbc: fb630191  add	x27, sp, #0x58
