; Candidate 6459
; ADRP+ADD at VM 0xfffffff00882c994 (fileoff 0x1828994): page=0x1fe9e7000 add_imm=0xd2e

0xfffffff00882c914: f30300aa  mov	x19, x0
0xfffffff00882c918: e88eff90  adrp	x8, #0xfffffff007a08000
0xfffffff00882c91c: 082942f9  ldr	x8, [x8, #0x450]
0xfffffff00882c920: 080140f9  ldr	x8, [x8]
0xfffffff00882c924: a8831cf8  stur	x8, [x29, #-0x38]
0xfffffff00882c928: 28b84391  add	x8, x1, #0xee, lsl #12
0xfffffff00882c92c: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff00882c930: e08308ad  stp	q0, q0, [sp, #0x110]
0xfffffff00882c934: 17212a91  add	x23, x8, #0xa88
0xfffffff00882c938: e08307ad  stp	q0, q0, [sp, #0xf0]
0xfffffff00882c93c: e08306ad  stp	q0, q0, [sp, #0xd0]
0xfffffff00882c940: e08305ad  stp	q0, q0, [sp, #0xb0]
0xfffffff00882c944: ff6300b9  str	wzr, [sp, #0x60]
0xfffffff00882c948: e00302ad  stp	q0, q0, [sp, #0x40]
0xfffffff00882c94c: 400f8052  mov	w0, #0x7a
0xfffffff00882c950: e1008052  mov	w1, #7
0xfffffff00882c954: 9f3b0194  bl	#0xfffffff00887b7d0
0xfffffff00882c958: a0040034  cbz	w0, #0xfffffff00882c9ec
0xfffffff00882c95c: 400f8052  mov	w0, #0x7a
0xfffffff00882c960: ae3b0194  bl	#0xfffffff00887b818
0xfffffff00882c964: f60300aa  mov	x22, x0
0xfffffff00882c968: 111e0294  bl	#0xfffffff0088b41ac
0xfffffff00882c96c: f50300aa  mov	x21, x0
0xfffffff00882c970: e0008052  mov	w0, #7
0xfffffff00882c974: b73b0194  bl	#0xfffffff00887b850
0xfffffff00882c978: 76010034  cbz	w22, #0xfffffff00882c9a4
0xfffffff00882c97c: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff00882c980: a84fffd0  adrp	x8, #0xfffffff007222000
0xfffffff00882c984: 08dd1191  add	x8, x8, #0x477
0xfffffff00882c988: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00882c98c: 480f8052  mov	w8, #0x7a
0xfffffff00882c990: f52300a9  stp	x21, x8, [sp]
0xfffffff00882c994: 204ffff0  adrp	x0, #0xfffffff007213000
0xfffffff00882c998: 00b83491  add	x0, x0, #0xd2e
0xfffffff00882c99c: b12ad697  bl	#0xfffffff007db7460
0xfffffff00882c9a0: 13000014  b	#0xfffffff00882c9ec
0xfffffff00882c9a4: 021e0294  bl	#0xfffffff0088b41ac
0xfffffff00882c9a8: f50300aa  mov	x21, x0
0xfffffff00882c9ac: e0008052  mov	w0, #7
0xfffffff00882c9b0: a83b0194  bl	#0xfffffff00887b850
0xfffffff00882c9b4: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff00882c9b8: a84fffd0  adrp	x8, #0xfffffff007222000
0xfffffff00882c9bc: 08dd1191  add	x8, x8, #0x477
0xfffffff00882c9c0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00882c9c4: 480f8052  mov	w8, #0x7a
0xfffffff00882c9c8: f52300a9  stp	x21, x8, [sp]
0xfffffff00882c9cc: e04dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00882c9d0: 00003a91  add	x0, x0, #0xe80
0xfffffff00882c9d4: e18eff90  adrp	x1, #0xfffffff007a08000
0xfffffff00882c9d8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00882c9dc: 0351ff90  adrp	x3, #0xfffffff00724c000
0xfffffff00882c9e0: 63e81b91  add	x3, x3, #0x6fa
0xfffffff00882c9e4: 02008052  mov	w2, #0
0xfffffff00882c9e8: d219ec97  bl	#0xfffffff008333130
0xfffffff00882c9ec: 600640f9  ldr	x0, [x19, #8]
0xfffffff00882c9f0: dafaff97  bl	#0xfffffff00882b558
0xfffffff00882c9f4: e80240b9  ldr	w8, [x23]
0xfffffff00882c9f8: 1f050071  cmp	w8, #1
0xfffffff00882c9fc: e1000054  b.ne	#0xfffffff00882ca18
0xfffffff00882ca00: 688e40f9  ldr	x8, [x19, #0x118]
0xfffffff00882ca04: 080140b9  ldr	w8, [x8]
0xfffffff00882ca08: e8ff0829  stp	w8, wzr, [sp, #0x44]
0xfffffff00882ca0c: 29008052  mov	w9, #1
0xfffffff00882ca10: e94300b9  str	w9, [sp, #0x40]
