; Candidate 3295
; ADRP+ADD at VM 0xfffffff008728d58 (fileoff 0x1724d58): page=0x1fea09000 add_imm=0xd90

0xfffffff008728cd8: 29710b91  add	x9, x9, #0x2dc
0xfffffff008728cdc: 6a51ffd0  adrp	x10, #0xfffffff007156000
0xfffffff008728ce0: 4a4d1091  add	x10, x10, #0x413
0xfffffff008728ce4: f92302a9  stp	x25, x8, [sp, #0x20]
0xfffffff008728ce8: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff008728cec: 68d88152  mov	w8, #0xec3
0xfffffff008728cf0: 6951ffd0  adrp	x9, #0xfffffff007156000
0xfffffff008728cf4: 29b90a91  add	x9, x9, #0x2ae
0xfffffff008728cf8: e92300a9  stp	x9, x8, [sp]
0xfffffff008728cfc: 4050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008728d00: 00403691  add	x0, x0, #0xd90
0xfffffff008728d04: a196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008728d08: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008728d0c: 8350ffd0  adrp	x3, #0xfffffff00713a000
0xfffffff008728d10: 639c0991  add	x3, x3, #0x267
0xfffffff008728d14: 02008052  mov	w2, #0
0xfffffff008728d18: 0629f097  bl	#0xfffffff008333130
0xfffffff008728d1c: 00008052  mov	w0, #0
0xfffffff008728d20: 40fbff17  b	#0xfffffff008727a20
0xfffffff008728d24: 6951ffd0  adrp	x9, #0xfffffff007156000
0xfffffff008728d28: 29890b91  add	x9, x9, #0x2e2
0xfffffff008728d2c: e9a302a9  stp	x9, x8, [sp, #0x28]
0xfffffff008728d30: 6851ffd0  adrp	x8, #0xfffffff007156000
0xfffffff008728d34: 08710b91  add	x8, x8, #0x2dc
0xfffffff008728d38: 6a51ffd0  adrp	x10, #0xfffffff007156000
0xfffffff008728d3c: 4a991091  add	x10, x10, #0x426
0xfffffff008728d40: e8e301a9  stp	x8, x24, [sp, #0x18]
0xfffffff008728d44: c8d88152  mov	w8, #0xec6
0xfffffff008728d48: 6951ffd0  adrp	x9, #0xfffffff007156000
0xfffffff008728d4c: 29b90a91  add	x9, x9, #0x2ae
0xfffffff008728d50: e8ab00a9  stp	x8, x10, [sp, #8]
0xfffffff008728d54: e90300f9  str	x9, [sp]
0xfffffff008728d58: 4050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008728d5c: 00403691  add	x0, x0, #0xd90
0xfffffff008728d60: a196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008728d64: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008728d68: 8350ffd0  adrp	x3, #0xfffffff00713a000
0xfffffff008728d6c: 63980a91  add	x3, x3, #0x2a6
0xfffffff008728d70: 02008052  mov	w2, #0
0xfffffff008728d74: ef28f097  bl	#0xfffffff008333130
0xfffffff008728d78: 00008052  mov	w0, #0
0xfffffff008728d7c: 29fbff17  b	#0xfffffff008727a20
0xfffffff008728d80: 6951ffd0  adrp	x9, #0xfffffff007156000
0xfffffff008728d84: 29890b91  add	x9, x9, #0x2e2
0xfffffff008728d88: e9a302a9  stp	x9, x8, [sp, #0x28]
0xfffffff008728d8c: 6851ffd0  adrp	x8, #0xfffffff007156000
0xfffffff008728d90: 08710b91  add	x8, x8, #0x2dc
0xfffffff008728d94: 6a51ffd0  adrp	x10, #0xfffffff007156000
0xfffffff008728d98: 4a111191  add	x10, x10, #0x444
0xfffffff008728d9c: e88301a9  stp	x8, x0, [sp, #0x18]
0xfffffff008728da0: 48da8152  mov	w8, #0xed2
0xfffffff008728da4: 6951ffd0  adrp	x9, #0xfffffff007156000
0xfffffff008728da8: 29b90a91  add	x9, x9, #0x2ae
0xfffffff008728dac: e8ab00a9  stp	x8, x10, [sp, #8]
0xfffffff008728db0: e90300f9  str	x9, [sp]
0xfffffff008728db4: 4050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008728db8: 00403691  add	x0, x0, #0xd90
0xfffffff008728dbc: a196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008728dc0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008728dc4: 8350ffd0  adrp	x3, #0xfffffff00713a000
0xfffffff008728dc8: 63940b91  add	x3, x3, #0x2e5
0xfffffff008728dcc: 02008052  mov	w2, #0
0xfffffff008728dd0: d828f097  bl	#0xfffffff008333130
0xfffffff008728dd4: 00008052  mov	w0, #0
