; Candidate 8186
; ADRP+ADD at VM 0xfffffff00889b050 (fileoff 0x1897050): page=0x1fe94e000 add_imm=0xe80

0xfffffff00889afd0: 006c0f91  add	x0, x0, #0x3db
0xfffffff00889afd4: fb2300a9  stp	x27, x8, [sp]
0xfffffff00889afd8: 2271d497  bl	#0xfffffff007db7460
0xfffffff00889afdc: ec000014  b	#0xfffffff00889b38c
0xfffffff00889afe0: 1b7d8012  mov	w27, #-0x3e9
0xfffffff00889afe4: f60318aa  mov	x22, x24
0xfffffff00889afe8: b48357f8  ldur	x20, [x29, #-0x88]
0xfffffff00889afec: 3f000014  b	#0xfffffff00889b0e8
0xfffffff00889aff0: 6f640094  bl	#0xfffffff0088b41ac
0xfffffff00889aff4: fb0300aa  mov	x27, x0
0xfffffff00889aff8: 80008052  mov	w0, #4
0xfffffff00889affc: 1582ff97  bl	#0xfffffff00887b850
0xfffffff00889b000: 882740a9  ldp	x8, x9, [x28]
0xfffffff00889b004: f7a705a9  stp	x23, x9, [sp, #0x58]
0xfffffff00889b008: f7a304a9  stp	x23, x8, [sp, #0x48]
0xfffffff00889b00c: f80314aa  mov	x24, x20
0xfffffff00889b010: e80318aa  mov	x8, x24
0xfffffff00889b014: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff00889b018: a84cffb0  adrp	x8, #0xfffffff007230000
0xfffffff00889b01c: 0a710c91  add	x10, x8, #0x31c
0xfffffff00889b020: 080c8052  mov	w8, #0x60
0xfffffff00889b024: a94bffd0  adrp	x9, #0xfffffff007211000
0xfffffff00889b028: 29892c91  add	x9, x9, #0xb22
0xfffffff00889b02c: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00889b030: a84cffd0  adrp	x8, #0xfffffff007231000
0xfffffff00889b034: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889b038: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00889b03c: a80f8052  mov	w8, #0x7d
0xfffffff00889b040: 234effb0  adrp	x3, #0xfffffff007260000
0xfffffff00889b044: 63a00b91  add	x3, x3, #0x2e8
0xfffffff00889b048: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00889b04c: fb0300f9  str	x27, [sp]
0xfffffff00889b050: 604affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889b054: 00003a91  add	x0, x0, #0xe80
0xfffffff00889b058: 618bffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00889b05c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889b060: 02008052  mov	w2, #0
0xfffffff00889b064: 3360ea97  bl	#0xfffffff008333130
0xfffffff00889b068: 1b7d8012  mov	w27, #-0x3e9
0xfffffff00889b06c: bc5f78a9  ldp	x28, x23, [x29, #-0x80]
0xfffffff00889b070: b48357f8  ldur	x20, [x29, #-0x88]
0xfffffff00889b074: 1f000014  b	#0xfffffff00889b0f0
0xfffffff00889b078: 4d640094  bl	#0xfffffff0088b41ac
0xfffffff00889b07c: fb0300aa  mov	x27, x0
0xfffffff00889b080: 80008052  mov	w0, #4
0xfffffff00889b084: f381ff97  bl	#0xfffffff00887b850
0xfffffff00889b088: ff7f05a9  stp	xzr, xzr, [sp, #0x50]
0xfffffff00889b08c: e80315aa  mov	x8, x21
0xfffffff00889b090: e85f04a9  stp	x8, x23, [sp, #0x40]
0xfffffff00889b094: a84cffb0  adrp	x8, #0xfffffff007230000
0xfffffff00889b098: 08bd0e91  add	x8, x8, #0x3af
0xfffffff00889b09c: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00889b0a0: 080d8052  mov	w8, #0x68
0xfffffff00889b0a4: a94bffd0  adrp	x9, #0xfffffff007211000
0xfffffff00889b0a8: 29892c91  add	x9, x9, #0xb22
0xfffffff00889b0ac: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00889b0b0: a84cffd0  adrp	x8, #0xfffffff007231000
0xfffffff00889b0b4: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889b0b8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00889b0bc: a80f8052  mov	w8, #0x7d
0xfffffff00889b0c0: 234effb0  adrp	x3, #0xfffffff007260000
0xfffffff00889b0c4: 63f00c91  add	x3, x3, #0x33c
0xfffffff00889b0c8: fb2300a9  stp	x27, x8, [sp]
0xfffffff00889b0cc: 604affd0  adrp	x0, #0xfffffff0071e9000
