; Candidate 13177
; ADRP+ADD at VM 0xfffffff00920e7c0 (fileoff 0x220a7c0): page=0x110d000 add_imm=0xe08

0xfffffff00920e740: f10313aa  mov	x17, x19
0xfffffff00920e744: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00920e748: 301ac1da  autda	x16, x17
0xfffffff00920e74c: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00920e750: e90310aa  mov	x9, x16
0xfffffff00920e754: e00313aa  mov	x0, x19
0xfffffff00920e758: f10309aa  mov	x17, x9
0xfffffff00920e75c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00920e760: 11093fd7  blraa	x8, x17
0xfffffff00920e764: 23000014  b	#0xfffffff00920e7f0
0xfffffff00920e768: 688800b0  adrp	x8, #0xfffffff00a31b000
0xfffffff00920e76c: 08313891  add	x8, x8, #0xe0c
0xfffffff00920e770: 08014039  ldrb	w8, [x8]
0xfffffff00920e774: e8010034  cbz	w8, #0xfffffff00920e7b0
0xfffffff00920e778: ff1700f9  str	xzr, [sp, #0x28]
0xfffffff00920e77c: d516b397  bl	#0xfffffff007ed42d0
0xfffffff00920e780: e1a30091  add	x1, sp, #0x28
0xfffffff00920e784: 2f18b397  bl	#0xfffffff007ed4840
0xfffffff00920e788: e81740f9  ldr	x8, [sp, #0x28]
0xfffffff00920e78c: ea028052  mov	w10, #0x17
0xfffffff00920e790: e914ffd0  adrp	x9, #0xfffffff0074ac000
0xfffffff00920e794: 29450791  add	x9, x9, #0x1d1
0xfffffff00920e798: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff00920e79c: e80300f9  str	x8, [sp]
0xfffffff00920e7a0: e114ffd0  adrp	x1, #0xfffffff0074ac000
0xfffffff00920e7a4: 21700691  add	x1, x1, #0x19c
0xfffffff00920e7a8: 00008052  mov	w0, #0
0xfffffff00920e7ac: d54e0094  bl	#0xfffffff009222300
0xfffffff00920e7b0: 688800b0  adrp	x8, #0xfffffff00a31b000
0xfffffff00920e7b4: 08353891  add	x8, x8, #0xe0d
0xfffffff00920e7b8: 08014039  ldrb	w8, [x8]
0xfffffff00920e7bc: a8010035  cbnz	w8, #0xfffffff00920e7f0
0xfffffff00920e7c0: 608800b0  adrp	x0, #0xfffffff00a31b000
0xfffffff00920e7c4: 00203891  add	x0, x0, #0xe08
0xfffffff00920e7c8: c552c397  bl	#0xfffffff0082e32dc
0xfffffff00920e7cc: 1f240071  cmp	w0, #9
0xfffffff00920e7d0: 0c010054  b.gt	#0xfffffff00920e7f0
0xfffffff00920e7d4: e814ffd0  adrp	x8, #0xfffffff0074ac000
0xfffffff00920e7d8: 08450791  add	x8, x8, #0x1d1
0xfffffff00920e7dc: e9028052  mov	w9, #0x17
0xfffffff00920e7e0: e82700a9  stp	x8, x9, [sp]
0xfffffff00920e7e4: e014ffd0  adrp	x0, #0xfffffff0074ac000
0xfffffff00920e7e8: 00700791  add	x0, x0, #0x1dc
0xfffffff00920e7ec: 0d22c597  bl	#0xfffffff008357020
0xfffffff00920e7f0: 130080d2  mov	x19, #0
0xfffffff00920e7f4: e00313aa  mov	x0, x19
0xfffffff00920e7f8: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00920e7fc: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff00920e800: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff00920e804: ff830191  add	sp, sp, #0x60
0xfffffff00920e808: ff0f5fd6  retab	
0xfffffff00920e80c: 7f2303d5  pacibsp	
0xfffffff00920e810: ff0302d1  sub	sp, sp, #0x80
0xfffffff00920e814: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff00920e818: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff00920e81c: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff00920e820: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff00920e824: fdc30191  add	x29, sp, #0x70
0xfffffff00920e828: f70303aa  mov	x23, x3
0xfffffff00920e82c: f60302aa  mov	x22, x2
0xfffffff00920e830: f50301aa  mov	x21, x1
0xfffffff00920e834: f30300aa  mov	x19, x0
0xfffffff00920e838: 1f7c04a9  stp	xzr, xzr, [x0, #0x40]
0xfffffff00920e83c: 1f1c00f9  str	xzr, [x0, #0x38]
