; Candidate 5258
; ADRP+ADD at VM 0xfffffff0087e2c50 (fileoff 0x17dec50): page=0x1fea07000 add_imm=0xe80

0xfffffff0087e2bd0: 290d2291  add	x9, x9, #0x883
0xfffffff0087e2bd4: e82702a9  stp	x8, x9, [sp, #0x20]
0xfffffff0087e2bd8: 8851ffb0  adrp	x8, #0xfffffff007213000
0xfffffff0087e2bdc: 08d92191  add	x8, x8, #0x876
0xfffffff0087e2be0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087e2be4: e80314aa  mov	x8, x20
0xfffffff0087e2be8: c352fff0  adrp	x3, #0xfffffff00723d000
0xfffffff0087e2bec: 636c2491  add	x3, x3, #0x91b
0xfffffff0087e2bf0: f82300a9  stp	x24, x8, [sp]
0xfffffff0087e2bf4: 2050fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087e2bf8: 00003a91  add	x0, x0, #0xe80
0xfffffff0087e2bfc: 2191ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087e2c00: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087e2c04: 02008052  mov	w2, #0
0xfffffff0087e2c08: 4a41ed97  bl	#0xfffffff008333130
0xfffffff0087e2c0c: 5e000014  b	#0xfffffff0087e2d84
0xfffffff0087e2c10: 67450394  bl	#0xfffffff0088b41ac
0xfffffff0087e2c14: f40300aa  mov	x20, x0
0xfffffff0087e2c18: 80008052  mov	w0, #4
0xfffffff0087e2c1c: 0d630294  bl	#0xfffffff00887b850
0xfffffff0087e2c20: 682240b9  ldr	w8, [x19, #0x20]
0xfffffff0087e2c24: e8ff03a9  stp	x8, xzr, [sp, #0x38]
0xfffffff0087e2c28: 8851ffb0  adrp	x8, #0xfffffff007213000
0xfffffff0087e2c2c: 08310691  add	x8, x8, #0x18c
0xfffffff0087e2c30: 09668052  mov	w9, #0x330
0xfffffff0087e2c34: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0087e2c38: 8851ffb0  adrp	x8, #0xfffffff007213000
0xfffffff0087e2c3c: 08f90391  add	x8, x8, #0xfe
0xfffffff0087e2c40: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087e2c44: 680e8052  mov	w8, #0x73
0xfffffff0087e2c48: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087e2c4c: f40300f9  str	x20, [sp]
0xfffffff0087e2c50: 2050fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087e2c54: 00003a91  add	x0, x0, #0xe80
0xfffffff0087e2c58: 2191ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087e2c5c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087e2c60: c352fff0  adrp	x3, #0xfffffff00723d000
0xfffffff0087e2c64: 63f82191  add	x3, x3, #0x87e
0xfffffff0087e2c68: 02008052  mov	w2, #0
0xfffffff0087e2c6c: 3141ed97  bl	#0xfffffff008333130
0xfffffff0087e2c70: f47c8012  mov	w20, #-0x3e8
0xfffffff0087e2c74: a1010014  b	#0xfffffff0087e32f8
0xfffffff0087e2c78: 2891fff0  adrp	x8, #0xfffffff007a09000
0xfffffff0087e2c7c: 08e10b91  add	x8, x8, #0x2f8
0xfffffff0087e2c80: 2991fff0  adrp	x9, #0xfffffff007a09000
0xfffffff0087e2c84: 29610c91  add	x9, x9, #0x318
0xfffffff0087e2c88: ea0e40b9  ldr	w10, [x23, #0xc]
0xfffffff0087e2c8c: 2b91fff0  adrp	x11, #0xfffffff007a09000
0xfffffff0087e2c90: 6be10c91  add	x11, x11, #0x338
0xfffffff0087e2c94: 2c91fff0  adrp	x12, #0xfffffff007a09000
0xfffffff0087e2c98: 8c410d91  add	x12, x12, #0x350
0xfffffff0087e2c9c: 6dba4429  ldp	w13, w14, [x19, #0x24]
0xfffffff0087e2ca0: 6fc24529  ldp	w15, w16, [x19, #0x2c]
0xfffffff0087e2ca4: 3191fff0  adrp	x17, #0xfffffff007a09000
0xfffffff0087e2ca8: 31a20d91  add	x17, x17, #0x368
0xfffffff0087e2cac: 601e40fd  ldr	d0, [x19, #0x38]
0xfffffff0087e2cb0: 01106c1e  fmov	d1, #0.50000000
0xfffffff0087e2cb4: 0028611e  fadd	d0, d0, d1
0xfffffff0087e2cb8: 08796af8  ldr	x8, [x8, x10, lsl #3]
0xfffffff0087e2cbc: 29796df8  ldr	x9, [x9, x13, lsl #3]
0xfffffff0087e2cc0: 6a796ef8  ldr	x10, [x11, x14, lsl #3]
0xfffffff0087e2cc4: 8b796ff8  ldr	x11, [x12, x15, lsl #3]
0xfffffff0087e2cc8: 2c7a70f8  ldr	x12, [x17, x16, lsl #3]
0xfffffff0087e2ccc: 0d00781e  fcvtzs	w13, d0
