; Candidate 3518
; ADRP+ADD at VM 0xfffffff00874414c (fileoff 0x174014c): page=0x1fe9ed000 add_imm=0xd90

0xfffffff0087440cc: 80010035  cbnz	w0, #0xfffffff0087440fc
0xfffffff0087440d0: 8850fff0  adrp	x8, #0xfffffff007157000
0xfffffff0087440d4: 08153091  add	x8, x8, #0xc05
0xfffffff0087440d8: e87f00a9  stp	x8, xzr, [sp]
0xfffffff0087440dc: 604fffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087440e0: 00403691  add	x0, x0, #0xd90
0xfffffff0087440e4: c195ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087440e8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087440ec: c34fffb0  adrp	x3, #0xfffffff00713d000
0xfffffff0087440f0: 630c2291  add	x3, x3, #0x883
0xfffffff0087440f4: 02008052  mov	w2, #0
0xfffffff0087440f8: 0ebcef97  bl	#0xfffffff008333130
0xfffffff0087440fc: 969e02b9  str	w22, [x20, #0x29c]
0xfffffff008744100: 806e40f9  ldr	x0, [x20, #0xd8]
0xfffffff008744104: 100040f9  ldr	x16, [x0]
0xfffffff008744108: f10300aa  mov	x17, x0
0xfffffff00874410c: b1a6f3f2  movk	x17, #0x9d35, lsl #48
0xfffffff008744110: 301ac1da  autda	x16, x17
0xfffffff008744114: 088e47f8  ldr	x8, [x16, #0x78]!
0xfffffff008744118: e90310aa  mov	x9, x16
0xfffffff00874411c: f10309aa  mov	x17, x9
0xfffffff008744120: 1118e0f2  movk	x17, #0xc0, lsl #48
0xfffffff008744124: 11093fd7  blraa	x8, x17
0xfffffff008744128: 1f040031  cmn	w0, #1
0xfffffff00874412c: e0020054  b.eq	#0xfffffff008744188
0xfffffff008744130: f50300aa  mov	x21, x0
0xfffffff008744134: ff02166b  cmp	w23, w22
0xfffffff008744138: a0010054  b.eq	#0xfffffff00874416c
0xfffffff00874413c: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff008744140: 8850fff0  adrp	x8, #0xfffffff007157000
0xfffffff008744144: 08153091  add	x8, x8, #0xc05
0xfffffff008744148: e85f00a9  stp	x8, x23, [sp]
0xfffffff00874414c: 604fffb0  adrp	x0, #0xfffffff007131000
0xfffffff008744150: 00403691  add	x0, x0, #0xd90
0xfffffff008744154: c195ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008744158: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00874415c: c34fffb0  adrp	x3, #0xfffffff00713d000
0xfffffff008744160: 63a82291  add	x3, x3, #0x8aa
0xfffffff008744164: 02008052  mov	w2, #0
0xfffffff008744168: f2bbef97  bl	#0xfffffff008333130
0xfffffff00874416c: 48ffbf12  mov	w8, #0x5ffff
0xfffffff008744170: 4909a052  mov	w9, #0x4a0000
0xfffffff008744174: 0901092a  orr	w9, w8, w9
0xfffffff008744178: df02096b  cmp	w22, w9
0xfffffff00874417c: 29010054  b.ls	#0xfffffff0087441a0
0xfffffff008744180: 42008052  mov	w2, #2
0xfffffff008744184: 0a000014  b	#0xfffffff0087441ac
0xfffffff008744188: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00874418c: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008744190: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008744194: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff008744198: ff830191  add	sp, sp, #0x60
0xfffffff00874419c: ff0f5fd6  retab	
0xfffffff0087441a0: df02086b  cmp	w22, w8
0xfffffff0087441a4: 89000054  b.ls	#0xfffffff0087441b4
0xfffffff0087441a8: 22008052  mov	w2, #1
0xfffffff0087441ac: 82fe01b9  str	w2, [x20, #0x1fc]
0xfffffff0087441b0: 03000014  b	#0xfffffff0087441bc
0xfffffff0087441b4: 02008052  mov	w2, #0
0xfffffff0087441b8: 9ffe01b9  str	wzr, [x20, #0x1fc]
0xfffffff0087441bc: 884e338b  add	x8, x20, w19, uxtw #3
0xfffffff0087441c0: 085d40f9  ldr	x8, [x8, #0xb8]
0xfffffff0087441c4: 000540f9  ldr	x0, [x8, #8]
0xfffffff0087441c8: 100040f9  ldr	x16, [x0]
