; Candidate 8002
; ADRP+ADD at VM 0xfffffff00888dc98 (fileoff 0x1889c98): page=0x1fe95c000 add_imm=0xe80

0xfffffff00888dc18: 88032837  tbnz	w8, #5, #0xfffffff00888dc88
0xfffffff00888dc1c: e80240f9  ldr	x8, [x23]
0xfffffff00888dc20: 692a4a29  ldp	w9, w10, [x19, #0x50]
0xfffffff00888dc24: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff00888dc28: e80300f9  str	x8, [sp]
0xfffffff00888dc2c: 004dffd0  adrp	x0, #0xfffffff00722f000
0xfffffff00888dc30: 004c0491  add	x0, x0, #0x113
0xfffffff00888dc34: 0ba6d497  bl	#0xfffffff007db7460
0xfffffff00888dc38: 20000014  b	#0xfffffff00888dcb8
0xfffffff00888dc3c: 5c990094  bl	#0xfffffff0088b41ac
0xfffffff00888dc40: f80300aa  mov	x24, x0
0xfffffff00888dc44: e00315aa  mov	x0, x21
0xfffffff00888dc48: 02b7ff97  bl	#0xfffffff00887b850
0xfffffff00888dc4c: e80240f9  ldr	x8, [x23]
0xfffffff00888dc50: 692a4a29  ldp	w9, w10, [x19, #0x50]
0xfffffff00888dc54: e92b02a9  stp	x9, x10, [sp, #0x20]
0xfffffff00888dc58: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00888dc5c: e80314aa  mov	x8, x20
0xfffffff00888dc60: f82300a9  stp	x24, x8, [sp]
0xfffffff00888dc64: e04aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00888dc68: 00003a91  add	x0, x0, #0xe80
0xfffffff00888dc6c: c18bfff0  adrp	x1, #0xfffffff007a08000
0xfffffff00888dc70: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00888dc74: 834effb0  adrp	x3, #0xfffffff00725e000
0xfffffff00888dc78: 63640891  add	x3, x3, #0x219
0xfffffff00888dc7c: 02008052  mov	w2, #0
0xfffffff00888dc80: 2c95ea97  bl	#0xfffffff008333130
0xfffffff00888dc84: 0d000014  b	#0xfffffff00888dcb8
0xfffffff00888dc88: e80240f9  ldr	x8, [x23]
0xfffffff00888dc8c: 692a4a29  ldp	w9, w10, [x19, #0x50]
0xfffffff00888dc90: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff00888dc94: e80300f9  str	x8, [sp]
0xfffffff00888dc98: e04aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00888dc9c: 00003a91  add	x0, x0, #0xe80
0xfffffff00888dca0: c18bfff0  adrp	x1, #0xfffffff007a08000
0xfffffff00888dca4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00888dca8: 834effb0  adrp	x3, #0xfffffff00725e000
0xfffffff00888dcac: 63380891  add	x3, x3, #0x20e
0xfffffff00888dcb0: 02008052  mov	w2, #0
0xfffffff00888dcb4: 1f95ea97  bl	#0xfffffff008333130
0xfffffff00888dcb8: c0008052  mov	w0, #6
0xfffffff00888dcbc: be940094  bl	#0xfffffff0088b2fb4
0xfffffff00888dcc0: f70300aa  mov	x23, x0
0xfffffff00888dcc4: e00314aa  mov	x0, x20
0xfffffff00888dcc8: e10315aa  mov	x1, x21
0xfffffff00888dccc: c1b6ff97  bl	#0xfffffff00887b7d0
0xfffffff00888dcd0: e0070034  cbz	w0, #0xfffffff00888ddcc
0xfffffff00888dcd4: e00314aa  mov	x0, x20
0xfffffff00888dcd8: d0b6ff97  bl	#0xfffffff00887b818
0xfffffff00888dcdc: 5602f837  tbnz	w22, #0x1f, #0xfffffff00888dd24
0xfffffff00888dce0: d9021b12  and	w25, w22, #0x20
0xfffffff00888dce4: 1a000052  eor	w26, w0, #1
0xfffffff00888dce8: 31990094  bl	#0xfffffff0088b41ac
0xfffffff00888dcec: f80300aa  mov	x24, x0
0xfffffff00888dcf0: e00315aa  mov	x0, x21
0xfffffff00888dcf4: d7b6ff97  bl	#0xfffffff00887b850
0xfffffff00888dcf8: 4817592a  orr	w8, w26, w25, lsr #5
0xfffffff00888dcfc: a8020037  tbnz	w8, #0, #0xfffffff00888dd50
0xfffffff00888dd00: e80240f9  ldr	x8, [x23]
0xfffffff00888dd04: 692a4d29  ldp	w9, w10, [x19, #0x68]
0xfffffff00888dd08: e92b02a9  stp	x9, x10, [sp, #0x20]
0xfffffff00888dd0c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00888dd10: e80314aa  mov	x8, x20
0xfffffff00888dd14: f82300a9  stp	x24, x8, [sp]
