; Candidate 455
; ADRP+ADD at VM 0xfffffff007f0ec24 (fileoff 0xf0ac24): page=0x232e000 add_imm=0xdd8

0xfffffff007f0eba4: 08013bb8  ldadd	w27, w8, [x8]
0xfffffff007f0eba8: 1f011c6b  cmp	w8, w28
0xfffffff007f0ebac: a0080054  b.eq	#0xfffffff007f0ecc0
0xfffffff007f0ebb0: 37008052  mov	w23, #1
0xfffffff007f0ebb4: e00316aa  mov	x0, x22
0xfffffff007f0ebb8: 21008052  mov	w1, #1
0xfffffff007f0ebbc: 22008052  mov	w2, #1
0xfffffff007f0ebc0: 03008052  mov	w3, #0
0xfffffff007f0ebc4: 98deff97  bl	#0xfffffff007f06624
0xfffffff007f0ebc8: e00316aa  mov	x0, x22
0xfffffff007f0ebcc: 01008052  mov	w1, #0
0xfffffff007f0ebd0: cfdcff97  bl	#0xfffffff007f05f0c
0xfffffff007f0ebd4: eeffff17  b	#0xfffffff007f0eb8c
0xfffffff007f0ebd8: 601901d0  adrp	x0, #0xfffffff00a23c000
0xfffffff007f0ebdc: 00603791  add	x0, x0, #0xdd8
0xfffffff007f0ebe0: e10313aa  mov	x1, x19
0xfffffff007f0ebe4: 02008052  mov	w2, #0
0xfffffff007f0ebe8: c473fa97  bl	#0xfffffff007dabaf8
0xfffffff007f0ebec: 34ffff17  b	#0xfffffff007f0e8bc
0xfffffff007f0ebf0: 601901d0  adrp	x0, #0xfffffff00a23c000
0xfffffff007f0ebf4: 00603791  add	x0, x0, #0xdd8
0xfffffff007f0ebf8: e10313aa  mov	x1, x19
0xfffffff007f0ebfc: da76fa97  bl	#0xfffffff007dac764
0xfffffff007f0ec00: 40ffff17  b	#0xfffffff007f0e900
0xfffffff007f0ec04: 171e40b9  ldr	w23, [x16, #0x1c]
0xfffffff007f0ec08: 0bffff17  b	#0xfffffff007f0e834
0xfffffff007f0ec0c: 17008052  mov	w23, #0
0xfffffff007f0ec10: 681a44b9  ldr	w8, [x19, #0x418]
0xfffffff007f0ec14: e20308aa  mov	x2, x8
0xfffffff007f0ec18: 3fffa288  casl	w2, wzr, [x25]
0xfffffff007f0ec1c: 5f00086b  cmp	w2, w8
0xfffffff007f0ec20: a0e0ff54  b.eq	#0xfffffff007f0e834
0xfffffff007f0ec24: 601901d0  adrp	x0, #0xfffffff00a23c000
0xfffffff007f0ec28: 00603791  add	x0, x0, #0xdd8
0xfffffff007f0ec2c: e10313aa  mov	x1, x19
0xfffffff007f0ec30: cd76fa97  bl	#0xfffffff007dac764
0xfffffff007f0ec34: 17008052  mov	w23, #0
0xfffffff007f0ec38: fffeff17  b	#0xfffffff007f0e834
0xfffffff007f0ec3c: 88e64079  ldrh	w8, [x20, #0x72]
0xfffffff007f0ec40: 89e24079  ldrh	w9, [x20, #0x70]
0xfffffff007f0ec44: 8a5640b9  ldr	w10, [x20, #0x54]
0xfffffff007f0ec48: cbeb8252  mov	w11, #0x175e
0xfffffff007f0ec4c: 6c8afff0  adrp	x12, #0xfffffff00705d000
0xfffffff007f0ec50: 8c410791  add	x12, x12, #0x1d0
0xfffffff007f0ec54: ec2f03a9  stp	x12, x11, [sp, #0x30]
0xfffffff007f0ec58: e92b02a9  stp	x9, x10, [sp, #0x20]
0xfffffff007f0ec5c: 0900b012  mov	w9, #0x7fffffff
0xfffffff007f0ec60: 6a8afff0  adrp	x10, #0xfffffff00705d000
0xfffffff007f0ec64: 4a511991  add	x10, x10, #0x654
0xfffffff007f0ec68: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff007f0ec6c: 608afff0  adrp	x0, #0xfffffff00705d000
0xfffffff007f0ec70: 00001891  add	x0, x0, #0x600
0xfffffff007f0ec74: ea5300a9  stp	x10, x20, [sp]
0xfffffff007f0ec78: 25161694  bl	#0xfffffff00849450c
0xfffffff007f0ec7c: c8e64079  ldrh	w8, [x22, #0x72]
0xfffffff007f0ec80: c9e24079  ldrh	w9, [x22, #0x70]
0xfffffff007f0ec84: ca5640b9  ldr	w10, [x22, #0x54]
0xfffffff007f0ec88: cbeb8252  mov	w11, #0x175e
0xfffffff007f0ec8c: 6c8afff0  adrp	x12, #0xfffffff00705d000
0xfffffff007f0ec90: 8c410791  add	x12, x12, #0x1d0
0xfffffff007f0ec94: ec2f03a9  stp	x12, x11, [sp, #0x30]
0xfffffff007f0ec98: e92b02a9  stp	x9, x10, [sp, #0x20]
0xfffffff007f0ec9c: 0900b012  mov	w9, #0x7fffffff
0xfffffff007f0eca0: 6a8afff0  adrp	x10, #0xfffffff00705d000
