; Candidate 1618
; ADRP+ADD at VM 0xfffffff0084c1a9c (fileoff 0x14bda9c): page=0x1feb99000 add_imm=0xd82

0xfffffff0084c1a1c: e1031caa  mov	x1, x28
0xfffffff0084c1a20: fef9ff97  bl	#0xfffffff0084c0218
0xfffffff0084c1a24: 3f0310f1  cmp	x25, #0x400
0xfffffff0084c1a28: 480a0054  b.hi	#0xfffffff0084c1b70
0xfffffff0084c1a2c: 190100b4  cbz	x25, #0xfffffff0084c1a4c
0xfffffff0084c1a30: b5220091  add	x21, x21, #8
0xfffffff0084c1a34: a18a7fa9  ldp	x1, x2, [x21, #-8]
0xfffffff0084c1a38: e00313aa  mov	x0, x19
0xfffffff0084c1a3c: 8ce6ff97  bl	#0xfffffff0084bb46c
0xfffffff0084c1a40: b5420091  add	x21, x21, #0x10
0xfffffff0084c1a44: 390700f1  subs	x25, x25, #1
0xfffffff0084c1a48: 61ffff54  b.ne	#0xfffffff0084c1a34
0xfffffff0084c1a4c: a88359f8  ldur	x8, [x29, #-0x68]
0xfffffff0084c1a50: da2200a9  stp	x26, x8, [x22]
0xfffffff0084c1a54: e00314aa  mov	x0, x20
0xfffffff0084c1a58: fd7b54a9  ldp	x29, x30, [sp, #0x140]
0xfffffff0084c1a5c: f44f53a9  ldp	x20, x19, [sp, #0x130]
0xfffffff0084c1a60: f65752a9  ldp	x22, x21, [sp, #0x120]
0xfffffff0084c1a64: f85f51a9  ldp	x24, x23, [sp, #0x110]
0xfffffff0084c1a68: fa6750a9  ldp	x26, x25, [sp, #0x100]
0xfffffff0084c1a6c: fc6f4fa9  ldp	x28, x27, [sp, #0xf0]
0xfffffff0084c1a70: ff430591  add	sp, sp, #0x150
0xfffffff0084c1a74: ff0f5fd6  retab	
0xfffffff0084c1a78: 94008052  mov	w20, #4
0xfffffff0084c1a7c: f6ffff17  b	#0xfffffff0084c1a54
0xfffffff0084c1a80: 680640f9  ldr	x8, [x19, #8]
0xfffffff0084c1a84: 49998052  mov	w9, #0x4ca
0xfffffff0084c1a88: ca5cffb0  adrp	x10, #0xfffffff00705a000
0xfffffff0084c1a8c: 4ad90991  add	x10, x10, #0x276
0xfffffff0084c1a90: ea2702a9  stp	x10, x9, [sp, #0x20]
0xfffffff0084c1a94: f66301a9  stp	x22, x24, [sp, #0x10]
0xfffffff0084c1a98: f32300a9  stp	x19, x8, [sp]
0xfffffff0084c1a9c: c05cffb0  adrp	x0, #0xfffffff00705a000
0xfffffff0084c1aa0: 00083691  add	x0, x0, #0xd82
0xfffffff0084c1aa4: 9a4aff97  bl	#0xfffffff00849450c
0xfffffff0084c1aa8: 680640f9  ldr	x8, [x19, #8]
0xfffffff0084c1aac: a9998052  mov	w9, #0x4cd
0xfffffff0084c1ab0: ca5cffb0  adrp	x10, #0xfffffff00705a000
0xfffffff0084c1ab4: 4ad90991  add	x10, x10, #0x276
0xfffffff0084c1ab8: ea2702a9  stp	x10, x9, [sp, #0x20]
0xfffffff0084c1abc: f66301a9  stp	x22, x24, [sp, #0x10]
0xfffffff0084c1ac0: f32300a9  stp	x19, x8, [sp]
0xfffffff0084c1ac4: c05cffb0  adrp	x0, #0xfffffff00705a000
0xfffffff0084c1ac8: 00f83691  add	x0, x0, #0xdbe
0xfffffff0084c1acc: 904aff97  bl	#0xfffffff00849450c
0xfffffff0084c1ad0: 680640f9  ldr	x8, [x19, #8]
0xfffffff0084c1ad4: e99b8052  mov	w9, #0x4df
0xfffffff0084c1ad8: ca5cffb0  adrp	x10, #0xfffffff00705a000
0xfffffff0084c1adc: 4ad90991  add	x10, x10, #0x276
0xfffffff0084c1ae0: ea2702a9  stp	x10, x9, [sp, #0x20]
0xfffffff0084c1ae4: f56301a9  stp	x21, x24, [sp, #0x10]
0xfffffff0084c1ae8: f32300a9  stp	x19, x8, [sp]
0xfffffff0084c1aec: c05cffb0  adrp	x0, #0xfffffff00705a000
0xfffffff0084c1af0: 00e83791  add	x0, x0, #0xdfa
0xfffffff0084c1af4: 864aff97  bl	#0xfffffff00849450c
0xfffffff0084c1af8: 680640f9  ldr	x8, [x19, #8]
0xfffffff0084c1afc: 499c8052  mov	w9, #0x4e2
0xfffffff0084c1b00: ca5cffb0  adrp	x10, #0xfffffff00705a000
0xfffffff0084c1b04: 4ad90991  add	x10, x10, #0x276
0xfffffff0084c1b08: ea2702a9  stp	x10, x9, [sp, #0x20]
0xfffffff0084c1b0c: f56301a9  stp	x21, x24, [sp, #0x10]
0xfffffff0084c1b10: f32300a9  stp	x19, x8, [sp]
0xfffffff0084c1b14: c05cffb0  adrp	x0, #0xfffffff00705a000
0xfffffff0084c1b18: 00e03891  add	x0, x0, #0xe38
