; Candidate 13741
; ADRP+ADD at VM 0xfffffff0095608f0 (fileoff 0x255c8f0): page=0x1fdffa000 add_imm=0xd6f

0xfffffff009560870: e80300f9  str	x8, [sp]
0xfffffff009560874: c0fffed0  adrp	x0, #0xfffffff00755a000
0xfffffff009560878: 00e43491  add	x0, x0, #0xd39
0xfffffff00956087c: f95aa197  bl	#0xfffffff007db7460
0xfffffff009560880: fbe744a9  ldp	x27, x25, [sp, #0x48]
0xfffffff009560884: fa2340f9  ldr	x26, [sp, #0x40]
0xfffffff009560888: f53740f9  ldr	x21, [sp, #0x68]
0xfffffff00956088c: fc3b40f9  ldr	x28, [sp, #0x70]
0xfffffff009560890: 780000b4  cbz	x24, #0xfffffff00956089c
0xfffffff009560894: e00318aa  mov	x0, x24
0xfffffff009560898: f52da697  bl	#0xfffffff007eec06c
0xfffffff00956089c: 350100b4  cbz	x21, #0xfffffff0095608c0
0xfffffff0095608a0: e00315aa  mov	x0, x21
0xfffffff0095608a4: f54740f9  ldr	x21, [sp, #0x88]
0xfffffff0095608a8: e10315aa  mov	x1, x21
0xfffffff0095608ac: 35d9b797  bl	#0xfffffff008356d80
0xfffffff0095608b0: e00315cb  neg	x0, x21
0xfffffff0095608b4: 417100b0  adrp	x1, #0xfffffff00a389000
0xfffffff0095608b8: 21c00391  add	x1, x1, #0xf0
0xfffffff0095608bc: 850ab697  bl	#0xfffffff0082e32d0
0xfffffff0095608c0: f54b40f9  ldr	x21, [sp, #0x90]
0xfffffff0095608c4: e00315aa  mov	x0, x21
0xfffffff0095608c8: 6766a797  bl	#0xfffffff007f3a264
0xfffffff0095608cc: a0010034  cbz	w0, #0xfffffff009560900
0xfffffff0095608d0: 684e43f9  ldr	x8, [x19, #0x698]
0xfffffff0095608d4: 08a94139  ldrb	w8, [x8, #0x6a]
0xfffffff0095608d8: 48012037  tbnz	w8, #4, #0xfffffff009560900
0xfffffff0095608dc: e00313aa  mov	x0, x19
0xfffffff0095608e0: 61008052  mov	w1, #3
0xfffffff0095608e4: e1220194  bl	#0xfffffff0095a9468
0xfffffff0095608e8: 40020034  cbz	w0, #0xfffffff009560930
0xfffffff0095608ec: e00300f9  str	x0, [sp]
0xfffffff0095608f0: c0fffed0  adrp	x0, #0xfffffff00755a000
0xfffffff0095608f4: 00bc3591  add	x0, x0, #0xd6f
0xfffffff0095608f8: da5aa197  bl	#0xfffffff007db7460
0xfffffff0095608fc: 0d000014  b	#0xfffffff009560930
0xfffffff009560900: 97010034  cbz	w23, #0xfffffff009560930
0xfffffff009560904: e80317aa  mov	x8, x23
0xfffffff009560908: 890a40b9  ldr	w9, [x20, #8]
0xfffffff00956090c: 8a1e40b9  ldr	w10, [x20, #0x1c]
0xfffffff009560910: fa2303a9  stp	x26, x8, [sp, #0x30]
0xfffffff009560914: f67302a9  stp	x22, x28, [sp, #0x20]
0xfffffff009560918: e80319aa  mov	x8, x25
0xfffffff00956091c: e86f01a9  stp	x8, x27, [sp, #0x10]
0xfffffff009560920: c0fffed0  adrp	x0, #0xfffffff00755a000
0xfffffff009560924: 00742991  add	x0, x0, #0xa5d
0xfffffff009560928: e92b00a9  stp	x9, x10, [sp]
0xfffffff00956092c: 34000014  b	#0xfffffff0095609fc
0xfffffff009560930: e9234c29  ldp	w9, w8, [sp, #0x60]
0xfffffff009560934: 0809c91a  udiv	w8, w8, w9
0xfffffff009560938: 097d1b9b  mul	x9, x8, x27
0xfffffff00956093c: ea2f40f9  ldr	x10, [sp, #0x58]
0xfffffff009560940: 087d0a9b  mul	x8, x8, x10
0xfffffff009560944: a9a339a9  stp	x9, x8, [x29, #-0x68]
0xfffffff009560948: 100000b0  adrp	x16, #0xfffffff009561000
0xfffffff00956094c: 10720091  add	x16, x16, #0x1c
0xfffffff009560950: d19f9cd2  mov	x17, #0xe4fe
0xfffffff009560954: 3002c1da  pacia	x16, x17
0xfffffff009560958: e10310aa  mov	x1, x16
0xfffffff00956095c: a3a301d1  sub	x3, x29, #0x68
0xfffffff009560960: e00315aa  mov	x0, x21
0xfffffff009560964: 82018052  mov	w2, #0xc
0xfffffff009560968: c32da697  bl	#0xfffffff007eec074
0xfffffff00956096c: 884640f9  ldr	x8, [x20, #0x88]
