; Candidate 2350
; ADRP+ADD at VM 0xfffffff00861c5d8 (fileoff 0x16185d8): page=0x1feaed000 add_imm=0xddc

0xfffffff00861c558: ff0301d1  sub	sp, sp, #0x40
0xfffffff00861c55c: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff00861c560: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff00861c564: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff00861c568: fdc30091  add	x29, sp, #0x30
0xfffffff00861c56c: f30302aa  mov	x19, x2
0xfffffff00861c570: 7e000094  bl	#0xfffffff00861c768
0xfffffff00861c574: e00700b4  cbz	x0, #0xfffffff00861c670
0xfffffff00861c578: f50300aa  mov	x21, x0
0xfffffff00861c57c: 6157ffb0  adrp	x1, #0xfffffff007109000
0xfffffff00861c580: 211c2f91  add	x1, x1, #0xbc7
0xfffffff00861c584: e20313aa  mov	x2, x19
0xfffffff00861c588: 83008052  mov	w3, #4
0xfffffff00861c58c: 040080d2  mov	x4, #0
0xfffffff00861c590: 22170094  bl	#0xfffffff008622218
0xfffffff00861c594: a0070035  cbnz	w0, #0xfffffff00861c688
0xfffffff00861c598: 62120091  add	x2, x19, #4
0xfffffff00861c59c: 6157ffb0  adrp	x1, #0xfffffff007109000
0xfffffff00861c5a0: 213c2f91  add	x1, x1, #0xbcf
0xfffffff00861c5a4: e00315aa  mov	x0, x21
0xfffffff00861c5a8: 83008052  mov	w3, #4
0xfffffff00861c5ac: 040080d2  mov	x4, #0
0xfffffff00861c5b0: 1a170094  bl	#0xfffffff008622218
0xfffffff00861c5b4: 20070035  cbnz	w0, #0xfffffff00861c698
0xfffffff00861c5b8: 62220091  add	x2, x19, #8
0xfffffff00861c5bc: 6157ffb0  adrp	x1, #0xfffffff007109000
0xfffffff00861c5c0: 21582f91  add	x1, x1, #0xbd6
0xfffffff00861c5c4: e00315aa  mov	x0, x21
0xfffffff00861c5c8: 83008052  mov	w3, #4
0xfffffff00861c5cc: 040080d2  mov	x4, #0
0xfffffff00861c5d0: 12170094  bl	#0xfffffff008622218
0xfffffff00861c5d4: a0060035  cbnz	w0, #0xfffffff00861c6a8
0xfffffff00861c5d8: 6057ffb0  adrp	x0, #0xfffffff007109000
0xfffffff00861c5dc: 00703791  add	x0, x0, #0xddc
0xfffffff00861c5e0: f9f8ff97  bl	#0xfffffff00861a9c4
0xfffffff00861c5e4: ff0f00b9  str	wzr, [sp, #0xc]
0xfffffff00861c5e8: 62420091  add	x2, x19, #0x10
0xfffffff00861c5ec: 6157ffb0  adrp	x1, #0xfffffff007109000
0xfffffff00861c5f0: 21f83191  add	x1, x1, #0xc7e
0xfffffff00861c5f4: e4330091  add	x4, sp, #0xc
0xfffffff00861c5f8: e00315aa  mov	x0, x21
0xfffffff00861c5fc: 03ff8352  mov	w3, #0x1ff8
0xfffffff00861c600: 06170094  bl	#0xfffffff008622218
0xfffffff00861c604: f40300aa  mov	x20, x0
0xfffffff00861c608: a0010034  cbz	w0, #0xfffffff00861c63c
0xfffffff00861c60c: f40300f9  str	x20, [sp]
0xfffffff00861c610: 6057ffb0  adrp	x0, #0xfffffff007109000
0xfffffff00861c614: 00043891  add	x0, x0, #0xe01
0xfffffff00861c618: 96f7ff97  bl	#0xfffffff00861a470
0xfffffff00861c61c: f40300f9  str	x20, [sp]
0xfffffff00861c620: 6057ffb0  adrp	x0, #0xfffffff007109000
0xfffffff00861c624: 00643991  add	x0, x0, #0xe59
0xfffffff00861c628: e7f8ff97  bl	#0xfffffff00861a9c4
0xfffffff00861c62c: 6057ffb0  adrp	x0, #0xfffffff007109000
0xfffffff00861c630: 00d43691  add	x0, x0, #0xdb5
0xfffffff00861c634: 8ff7ff97  bl	#0xfffffff00861a470
0xfffffff00861c638: 08000014  b	#0xfffffff00861c658
0xfffffff00861c63c: e80f40b9  ldr	w8, [sp, #0xc]
0xfffffff00861c640: 087d0353  lsr	w8, w8, #3
0xfffffff00861c644: 680e00b9  str	w8, [x19, #0xc]
0xfffffff00861c648: ff0300f9  str	xzr, [sp]
0xfffffff00861c64c: 6057ffb0  adrp	x0, #0xfffffff007109000
0xfffffff00861c650: 00643991  add	x0, x0, #0xe59
0xfffffff00861c654: dcf8ff97  bl	#0xfffffff00861a9c4
