; Candidate 4859
; ADRP+ADD at VM 0xfffffff0087ca070 (fileoff 0x17c6070): page=0x1fea44000 add_imm=0xe6f

0xfffffff0087c9ff0: f60303aa  mov	x22, x3
0xfffffff0087c9ff4: f40302aa  mov	x20, x2
0xfffffff0087c9ff8: f50300aa  mov	x21, x0
0xfffffff0087c9ffc: ba559552  mov	w26, #0xaaad
0xfffffff0087ca000: 5a55b772  movk	w26, #0xbaaa, lsl #16
0xfffffff0087ca004: dbc440b9  ldr	w27, [x6, #0xc4]
0xfffffff0087ca008: 88668b52  mov	w8, #0x5b34
0xfffffff0087ca00c: 29004039  ldrb	w9, [x1]
0xfffffff0087ca010: dc6868b8  ldr	w28, [x6, x8]
0xfffffff0087ca014: 09100034  cbz	w9, #0xfffffff0087ca214
0xfffffff0087ca018: f70301aa  mov	x23, x1
0xfffffff0087ca01c: 680240b9  ldr	w8, [x19]
0xfffffff0087ca020: 1f011a6b  cmp	w8, w26
0xfffffff0087ca024: 40050054  b.eq	#0xfffffff0087ca0cc
0xfffffff0087ca028: a00f8052  mov	w0, #0x7d
0xfffffff0087ca02c: 81008052  mov	w1, #4
0xfffffff0087ca030: e8c50294  bl	#0xfffffff00887b7d0
0xfffffff0087ca034: a0040034  cbz	w0, #0xfffffff0087ca0c8
0xfffffff0087ca038: a00f8052  mov	w0, #0x7d
0xfffffff0087ca03c: f7c50294  bl	#0xfffffff00887b818
0xfffffff0087ca040: f90300aa  mov	x25, x0
0xfffffff0087ca044: 5aa80394  bl	#0xfffffff0088b41ac
0xfffffff0087ca048: f80300aa  mov	x24, x0
0xfffffff0087ca04c: 80008052  mov	w0, #4
0xfffffff0087ca050: 00c60294  bl	#0xfffffff00887b850
0xfffffff0087ca054: 79010034  cbz	w25, #0xfffffff0087ca080
0xfffffff0087ca058: a81a40b9  ldr	w8, [x21, #0x18]
0xfffffff0087ca05c: 690240b9  ldr	w9, [x19]
0xfffffff0087ca060: fb2702a9  stp	x27, x9, [sp, #0x20]
0xfffffff0087ca064: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087ca068: a80f8052  mov	w8, #0x7d
0xfffffff0087ca06c: f82300a9  stp	x24, x8, [sp]
0xfffffff0087ca070: 2052ff90  adrp	x0, #0xfffffff00720e000
0xfffffff0087ca074: 00bc3991  add	x0, x0, #0xe6f
0xfffffff0087ca078: fab4d797  bl	#0xfffffff007db7460
0xfffffff0087ca07c: 13000014  b	#0xfffffff0087ca0c8
0xfffffff0087ca080: 4ba80394  bl	#0xfffffff0088b41ac
0xfffffff0087ca084: f80300aa  mov	x24, x0
0xfffffff0087ca088: 80008052  mov	w0, #4
0xfffffff0087ca08c: f1c50294  bl	#0xfffffff00887b850
0xfffffff0087ca090: a81a40b9  ldr	w8, [x21, #0x18]
0xfffffff0087ca094: 690240b9  ldr	w9, [x19]
0xfffffff0087ca098: fb2702a9  stp	x27, x9, [sp, #0x20]
0xfffffff0087ca09c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087ca0a0: a80f8052  mov	w8, #0x7d
0xfffffff0087ca0a4: f82300a9  stp	x24, x8, [sp]
0xfffffff0087ca0a8: e050fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087ca0ac: 00003a91  add	x0, x0, #0xe80
0xfffffff0087ca0b0: e191ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087ca0b4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087ca0b8: 6353ffd0  adrp	x3, #0xfffffff007238000
0xfffffff0087ca0bc: 63d01891  add	x3, x3, #0x634
0xfffffff0087ca0c0: 02008052  mov	w2, #0
0xfffffff0087ca0c4: 1ba4ed97  bl	#0xfffffff008333130
0xfffffff0087ca0c8: 7a0200b9  str	w26, [x19]
0xfffffff0087ca0cc: 88024039  ldrb	w8, [x20]
0xfffffff0087ca0d0: 08050034  cbz	w8, #0xfffffff0087ca170
0xfffffff0087ca0d4: a00f8052  mov	w0, #0x7d
0xfffffff0087ca0d8: 81008052  mov	w1, #4
0xfffffff0087ca0dc: bdc50294  bl	#0xfffffff00887b7d0
0xfffffff0087ca0e0: 60040034  cbz	w0, #0xfffffff0087ca16c
0xfffffff0087ca0e4: a00f8052  mov	w0, #0x7d
0xfffffff0087ca0e8: ccc50294  bl	#0xfffffff00887b818
0xfffffff0087ca0ec: f90300aa  mov	x25, x0
