; Candidate 4811
; ADRP+ADD at VM 0xfffffff0087c782c (fileoff 0x17c382c): page=0x1fea22000 add_imm=0xe80

0xfffffff0087c77ac: fc2303a9  stp	x28, x8, [sp, #0x30]
0xfffffff0087c77b0: 2852fff0  adrp	x8, #0xfffffff00720e000
0xfffffff0087c77b4: 083d0091  add	x8, x8, #0xf
0xfffffff0087c77b8: 692e8052  mov	w9, #0x173
0xfffffff0087c77bc: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087c77c0: 2852ffd0  adrp	x8, #0xfffffff00720d000
0xfffffff0087c77c4: 08d93d91  add	x8, x8, #0xf76
0xfffffff0087c77c8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087c77cc: 68008052  mov	w8, #3
0xfffffff0087c77d0: f32300a9  stp	x19, x8, [sp]
0xfffffff0087c77d4: 0051ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087c77d8: 00003a91  add	x0, x0, #0xe80
0xfffffff0087c77dc: 0192ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087c77e0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087c77e4: 8353ff90  adrp	x3, #0xfffffff007237000
0xfffffff0087c77e8: 63ac2291  add	x3, x3, #0x8ab
0xfffffff0087c77ec: 02008052  mov	w2, #0
0xfffffff0087c77f0: 50aeed97  bl	#0xfffffff008333130
0xfffffff0087c77f4: c8ffff17  b	#0xfffffff0087c7714
0xfffffff0087c77f8: 6db20394  bl	#0xfffffff0088b41ac
0xfffffff0087c77fc: f30300aa  mov	x19, x0
0xfffffff0087c7800: 80008052  mov	w0, #4
0xfffffff0087c7804: 13d00294  bl	#0xfffffff00887b850
0xfffffff0087c7808: 2852fff0  adrp	x8, #0xfffffff00720e000
0xfffffff0087c780c: 082d0291  add	x8, x8, #0x8b
0xfffffff0087c7810: c92e8052  mov	w9, #0x176
0xfffffff0087c7814: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087c7818: 2852ffd0  adrp	x8, #0xfffffff00720d000
0xfffffff0087c781c: 08d93d91  add	x8, x8, #0xf76
0xfffffff0087c7820: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087c7824: 68008052  mov	w8, #3
0xfffffff0087c7828: f32300a9  stp	x19, x8, [sp]
0xfffffff0087c782c: 0051ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087c7830: 00003a91  add	x0, x0, #0xe80
0xfffffff0087c7834: 0192ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087c7838: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087c783c: 8353ff90  adrp	x3, #0xfffffff007237000
0xfffffff0087c7840: 633c2491  add	x3, x3, #0x90f
0xfffffff0087c7844: 02008052  mov	w2, #0
0xfffffff0087c7848: 3aaeed97  bl	#0xfffffff008333130
0xfffffff0087c784c: b2ffff17  b	#0xfffffff0087c7714
0xfffffff0087c7850: 57b20394  bl	#0xfffffff0088b41ac
0xfffffff0087c7854: f30300aa  mov	x19, x0
0xfffffff0087c7858: 80008052  mov	w0, #4
0xfffffff0087c785c: fdcf0294  bl	#0xfffffff00887b850
0xfffffff0087c7860: 2852fff0  adrp	x8, #0xfffffff00720e000
0xfffffff0087c7864: 08450891  add	x8, x8, #0x211
0xfffffff0087c7868: c9328052  mov	w9, #0x196
0xfffffff0087c786c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087c7870: 2852ffd0  adrp	x8, #0xfffffff00720d000
0xfffffff0087c7874: 08d93d91  add	x8, x8, #0xf76
0xfffffff0087c7878: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087c787c: 68008052  mov	w8, #3
0xfffffff0087c7880: f32300a9  stp	x19, x8, [sp]
0xfffffff0087c7884: 0051ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087c7888: 00003a91  add	x0, x0, #0xe80
0xfffffff0087c788c: 0192ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087c7890: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087c7894: 8353ff90  adrp	x3, #0xfffffff007237000
0xfffffff0087c7898: 63c42991  add	x3, x3, #0xa71
0xfffffff0087c789c: 02008052  mov	w2, #0
0xfffffff0087c78a0: 24aeed97  bl	#0xfffffff008333130
0xfffffff0087c78a4: 9cffff17  b	#0xfffffff0087c7714
0xfffffff0087c78a8: 5f2403d5  bti	c
