; Candidate 11489
; ADRP+ADD at VM 0xfffffff008f61acc (fileoff 0x1f5dacc): page=0x1fe4be000 add_imm=0xe1f

0xfffffff008f61a4c: fd430091  add	x29, sp, #0x10
0xfffffff008f61a50: e825ff90  adrp	x8, #0xfffffff00741d000
0xfffffff008f61a54: 08593e91  add	x8, x8, #0xf96
0xfffffff008f61a58: 099a8052  mov	w9, #0x4d0
0xfffffff008f61a5c: e82700a9  stp	x8, x9, [sp]
0xfffffff008f61a60: e025ffd0  adrp	x0, #0xfffffff00741f000
0xfffffff008f61a64: 005c0091  add	x0, x0, #0x17
0xfffffff008f61a68: a9cad497  bl	#0xfffffff00849450c
0xfffffff008f61a6c: 7f2303d5  pacibsp	
0xfffffff008f61a70: ffc300d1  sub	sp, sp, #0x30
0xfffffff008f61a74: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008f61a78: fd830091  add	x29, sp, #0x20
0xfffffff008f61a7c: 080040b9  ldr	w8, [x0]
0xfffffff008f61a80: c90f8052  mov	w9, #0x7e
0xfffffff008f61a84: ea25ffd0  adrp	x10, #0xfffffff00741f000
0xfffffff008f61a88: 4a211791  add	x10, x10, #0x5c8
0xfffffff008f61a8c: eaa700a9  stp	x10, x9, [sp, #8]
0xfffffff008f61a90: e80300f9  str	x8, [sp]
0xfffffff008f61a94: e025ffd0  adrp	x0, #0xfffffff00741f000
0xfffffff008f61a98: 00441691  add	x0, x0, #0x591
0xfffffff008f61a9c: 9ccad497  bl	#0xfffffff00849450c
0xfffffff008f61aa0: 7f2303d5  pacibsp	
0xfffffff008f61aa4: ffc300d1  sub	sp, sp, #0x30
0xfffffff008f61aa8: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008f61aac: fd830091  add	x29, sp, #0x20
0xfffffff008f61ab0: 88058052  mov	w8, #0x2c
0xfffffff008f61ab4: e925ffd0  adrp	x9, #0xfffffff00741f000
0xfffffff008f61ab8: 29a13991  add	x9, x9, #0xe68
0xfffffff008f61abc: ea25ffd0  adrp	x10, #0xfffffff00741f000
0xfffffff008f61ac0: 4a393991  add	x10, x10, #0xe4e
0xfffffff008f61ac4: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff008f61ac8: ea2300a9  stp	x10, x8, [sp]
0xfffffff008f61acc: e025ffd0  adrp	x0, #0xfffffff00741f000
0xfffffff008f61ad0: 007c3891  add	x0, x0, #0xe1f
0xfffffff008f61ad4: 8ecad497  bl	#0xfffffff00849450c
0xfffffff008f61ad8: 7f2303d5  pacibsp	
0xfffffff008f61adc: ffc300d1  sub	sp, sp, #0x30
0xfffffff008f61ae0: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008f61ae4: fd830091  add	x29, sp, #0x20
0xfffffff008f61ae8: 48078052  mov	w8, #0x3a
0xfffffff008f61aec: e925ffd0  adrp	x9, #0xfffffff00741f000
0xfffffff008f61af0: 29a13991  add	x9, x9, #0xe68
0xfffffff008f61af4: ea25ffd0  adrp	x10, #0xfffffff00741f000
0xfffffff008f61af8: 4a8d3a91  add	x10, x10, #0xea3
0xfffffff008f61afc: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff008f61b00: ea2300a9  stp	x10, x8, [sp]
0xfffffff008f61b04: e025ffd0  adrp	x0, #0xfffffff00741f000
0xfffffff008f61b08: 00143a91  add	x0, x0, #0xe85
0xfffffff008f61b0c: 80cad497  bl	#0xfffffff00849450c
0xfffffff008f61b10: 7f2303d5  pacibsp	
0xfffffff008f61b14: ffc300d1  sub	sp, sp, #0x30
0xfffffff008f61b18: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008f61b1c: fd830091  add	x29, sp, #0x20
0xfffffff008f61b20: 68098052  mov	w8, #0x4b
0xfffffff008f61b24: e925ffd0  adrp	x9, #0xfffffff00741f000
0xfffffff008f61b28: 29a13991  add	x9, x9, #0xe68
0xfffffff008f61b2c: ea25ffd0  adrp	x10, #0xfffffff00741f000
0xfffffff008f61b30: 4ae53b91  add	x10, x10, #0xef9
0xfffffff008f61b34: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff008f61b38: ea2300a9  stp	x10, x8, [sp]
0xfffffff008f61b3c: e025ffd0  adrp	x0, #0xfffffff00741f000
0xfffffff008f61b40: 00143a91  add	x0, x0, #0xe85
0xfffffff008f61b44: 72cad497  bl	#0xfffffff00849450c
0xfffffff008f61b48: 7f2303d5  pacibsp	
