; Candidate 1921
; ADRP+ADD at VM 0xfffffff00853bce8 (fileoff 0x1537ce8): page=0x1feba6000 add_imm=0xdd8

0xfffffff00853bc68: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00853bc6c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00853bc70: fd430091  add	x29, sp, #0x10
0xfffffff00853bc74: 20a3ffd0  adrp	x0, #0xfffffff0079a1000
0xfffffff00853bc78: 00003291  add	x0, x0, #0xc80
0xfffffff00853bc7c: 01508052  mov	w1, #0x280
0xfffffff00853bc80: 6eaef697  bl	#0xfffffff0082e7638
0xfffffff00853bc84: f30300aa  mov	x19, x0
0xfffffff00853bc88: d4ec00d0  adrp	x20, #0xfffffff00a2d5000
0xfffffff00853bc8c: 94023291  add	x20, x20, #0xc80
0xfffffff00853bc90: e10314aa  mov	x1, x20
0xfffffff00853bc94: b6aef697  bl	#0xfffffff0082e776c
0xfffffff00853bc98: 10a3ffd0  adrp	x16, #0xfffffff00799d000
0xfffffff00853bc9c: 10221f91  add	x16, x16, #0x7c8
0xfffffff00853bca0: 10420091  add	x16, x16, #0x10
0xfffffff00853bca4: f10300aa  mov	x17, x0
0xfffffff00853bca8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00853bcac: 300ac1da  pacda	x16, x17
0xfffffff00853bcb0: 100000f9  str	x16, [x0]
0xfffffff00853bcb4: e00314aa  mov	x0, x20
0xfffffff00853bcb8: 1fa5f697  bl	#0xfffffff0082e5134
0xfffffff00853bcbc: e00313aa  mov	x0, x19
0xfffffff00853bcc0: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00853bcc4: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00853bcc8: ff0f5fd6  retab	
0xfffffff00853bccc: 5f2403d5  bti	c
0xfffffff00853bcd0: 89a2f617  b	#0xfffffff0082e46f4
0xfffffff00853bcd4: 5f2403d5  bti	c
0xfffffff00853bcd8: 87a2f617  b	#0xfffffff0082e46f4
0xfffffff00853bcdc: 7f2303d5  pacibsp	
0xfffffff00853bce0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00853bce4: fd030091  mov	x29, sp
0xfffffff00853bce8: 205dffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff00853bcec: 00603791  add	x0, x0, #0xdd8
0xfffffff00853bcf0: 52b5f797  bl	#0xfffffff008329238
0xfffffff00853bcf4: c8ec00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff00853bcf8: 002906f9  str	x0, [x8, #0xc50]
0xfffffff00853bcfc: 205dffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff00853bd00: 00083891  add	x0, x0, #0xe02
0xfffffff00853bd04: 4db5f797  bl	#0xfffffff008329238
0xfffffff00853bd08: c8ec00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff00853bd0c: 002d06f9  str	x0, [x8, #0xc58]
0xfffffff00853bd10: 205dffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff00853bd14: 00883891  add	x0, x0, #0xe22
0xfffffff00853bd18: 48b5f797  bl	#0xfffffff008329238
0xfffffff00853bd1c: c8ec00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff00853bd20: 003106f9  str	x0, [x8, #0xc60]
0xfffffff00853bd24: 205dffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff00853bd28: 00e43891  add	x0, x0, #0xe39
0xfffffff00853bd2c: 43b5f797  bl	#0xfffffff008329238
0xfffffff00853bd30: c8ec00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff00853bd34: 003506f9  str	x0, [x8, #0xc68]
0xfffffff00853bd38: 205dffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff00853bd3c: 004c3991  add	x0, x0, #0xe53
0xfffffff00853bd40: 3eb5f797  bl	#0xfffffff008329238
0xfffffff00853bd44: c8ec00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff00853bd48: 003906f9  str	x0, [x8, #0xc70]
0xfffffff00853bd4c: 205dffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff00853bd50: 00bc3991  add	x0, x0, #0xe6f
0xfffffff00853bd54: 39b5f797  bl	#0xfffffff008329238
0xfffffff00853bd58: c8ec00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff00853bd5c: 003d06f9  str	x0, [x8, #0xc78]
0xfffffff00853bd60: c0ec00d0  adrp	x0, #0xfffffff00a2d5000
0xfffffff00853bd64: 00003291  add	x0, x0, #0xc80
