; Candidate 7594
; ADRP+ADD at VM 0xfffffff0088740d0 (fileoff 0x18700d0): page=0x1fe99f000 add_imm=0xe0f

0xfffffff008874050: e00314aa  mov	x0, x20
0xfffffff008874054: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff008874058: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff00887405c: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff008874060: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff008874064: ff030291  add	sp, sp, #0x80
0xfffffff008874068: ff0f5fd6  retab	
0xfffffff00887406c: 7f2303d5  pacibsp	
0xfffffff008874070: ff8301d1  sub	sp, sp, #0x60
0xfffffff008874074: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008874078: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff00887407c: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008874080: fd430191  add	x29, sp, #0x50
0xfffffff008874084: f30300aa  mov	x19, x0
0xfffffff008874088: 600b8052  mov	w0, #0x5b
0xfffffff00887408c: 01018052  mov	w1, #8
0xfffffff008874090: d01d0094  bl	#0xfffffff00887b7d0
0xfffffff008874094: a0040034  cbz	w0, #0xfffffff008874128
0xfffffff008874098: 600b8052  mov	w0, #0x5b
0xfffffff00887409c: df1d0094  bl	#0xfffffff00887b818
0xfffffff0088740a0: f50300aa  mov	x21, x0
0xfffffff0088740a4: 42000194  bl	#0xfffffff0088b41ac
0xfffffff0088740a8: f40300aa  mov	x20, x0
0xfffffff0088740ac: 00018052  mov	w0, #8
0xfffffff0088740b0: e81d0094  bl	#0xfffffff00887b850
0xfffffff0088740b4: 75010034  cbz	w21, #0xfffffff0088740e0
0xfffffff0088740b8: a84dffd0  adrp	x8, #0xfffffff00722a000
0xfffffff0088740bc: 08952f91  add	x8, x8, #0xbe5
0xfffffff0088740c0: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088740c4: 680b8052  mov	w8, #0x5b
0xfffffff0088740c8: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088740cc: f40300f9  str	x20, [sp]
0xfffffff0088740d0: e04cfff0  adrp	x0, #0xfffffff007213000
0xfffffff0088740d4: 003c3891  add	x0, x0, #0xe0f
0xfffffff0088740d8: e20cd597  bl	#0xfffffff007db7460
0xfffffff0088740dc: 13000014  b	#0xfffffff008874128
0xfffffff0088740e0: 33000194  bl	#0xfffffff0088b41ac
0xfffffff0088740e4: f40300aa  mov	x20, x0
0xfffffff0088740e8: 00018052  mov	w0, #8
0xfffffff0088740ec: d91d0094  bl	#0xfffffff00887b850
0xfffffff0088740f0: a84dffd0  adrp	x8, #0xfffffff00722a000
0xfffffff0088740f4: 08952f91  add	x8, x8, #0xbe5
0xfffffff0088740f8: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088740fc: 680b8052  mov	w8, #0x5b
0xfffffff008874100: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008874104: f40300f9  str	x20, [sp]
0xfffffff008874108: a04bffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00887410c: 00003a91  add	x0, x0, #0xe80
0xfffffff008874110: a18cff90  adrp	x1, #0xfffffff007a08000
0xfffffff008874114: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008874118: 234fffb0  adrp	x3, #0xfffffff007259000
0xfffffff00887411c: 63501791  add	x3, x3, #0x5d4
0xfffffff008874120: 02008052  mov	w2, #0
0xfffffff008874124: 03fcea97  bl	#0xfffffff008333130
0xfffffff008874128: e00313aa  mov	x0, x19
0xfffffff00887412c: 01079852  mov	w1, #0xc038
0xfffffff008874130: 02069852  mov	w2, #0xc030
0xfffffff008874134: d6050094  bl	#0xfffffff00887588c
0xfffffff008874138: f40300aa  mov	x20, x0
0xfffffff00887413c: 600b8052  mov	w0, #0x5b
0xfffffff008874140: 01018052  mov	w1, #8
0xfffffff008874144: a31d0094  bl	#0xfffffff00887b7d0
0xfffffff008874148: a0040034  cbz	w0, #0xfffffff0088741dc
0xfffffff00887414c: 600b8052  mov	w0, #0x5b
