; Candidate 8295
; ADRP+ADD at VM 0xfffffff0088a1930 (fileoff 0x189d930): page=0x1fe98f000 add_imm=0xe67

0xfffffff0088a18b0: 804cff90  adrp	x0, #0xfffffff007231000
0xfffffff0088a18b4: 00ec1191  add	x0, x0, #0x47b
0xfffffff0088a18b8: f72300a9  stp	x23, x8, [sp]
0xfffffff0088a18bc: e956d497  bl	#0xfffffff007db7460
0xfffffff0088a18c0: 9a000014  b	#0xfffffff0088a1b28
0xfffffff0088a18c4: a00f8052  mov	w0, #0x7d
0xfffffff0088a18c8: 81008052  mov	w1, #4
0xfffffff0088a18cc: c167ff97  bl	#0xfffffff00887b7d0
0xfffffff0088a18d0: 40470034  cbz	w0, #0xfffffff0088a21b8
0xfffffff0088a18d4: a00f8052  mov	w0, #0x7d
0xfffffff0088a18d8: d067ff97  bl	#0xfffffff00887b818
0xfffffff0088a18dc: f70300aa  mov	x23, x0
0xfffffff0088a18e0: 334a0094  bl	#0xfffffff0088b41ac
0xfffffff0088a18e4: f60300aa  mov	x22, x0
0xfffffff0088a18e8: 80008052  mov	w0, #4
0xfffffff0088a18ec: d967ff97  bl	#0xfffffff00887b850
0xfffffff0088a18f0: f7040034  cbz	w23, #0xfffffff0088a198c
0xfffffff0088a18f4: e80315aa  mov	x8, x21
0xfffffff0088a18f8: 690240b9  ldr	w9, [x19]
0xfffffff0088a18fc: f4a304a9  stp	x20, x8, [sp, #0x48]
0xfffffff0088a1900: 884cff90  adrp	x8, #0xfffffff007231000
0xfffffff0088a1904: 0ad11b91  add	x10, x8, #0x6f4
0xfffffff0088a1908: f3a703a9  stp	x19, x9, [sp, #0x38]
0xfffffff0088a190c: 68ae8052  mov	w8, #0x573
0xfffffff0088a1910: 894cff90  adrp	x9, #0xfffffff007231000
0xfffffff0088a1914: 29b51b91  add	x9, x9, #0x6ed
0xfffffff0088a1918: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0088a191c: 884cff90  adrp	x8, #0xfffffff007231000
0xfffffff0088a1920: 08e93191  add	x8, x8, #0xc7a
0xfffffff0088a1924: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088a1928: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088a192c: a80f8052  mov	w8, #0x7d
0xfffffff0088a1930: 604cfff0  adrp	x0, #0xfffffff007230000
0xfffffff0088a1934: 009c3991  add	x0, x0, #0xe67
0xfffffff0088a1938: f62300a9  stp	x22, x8, [sp]
0xfffffff0088a193c: c956d497  bl	#0xfffffff007db7460
0xfffffff0088a1940: 1e020014  b	#0xfffffff0088a21b8
0xfffffff0088a1944: bf0e0071  cmp	w21, #3
0xfffffff0088a1948: c1050054  b.ne	#0xfffffff0088a1a00
0xfffffff0088a194c: a00f8052  mov	w0, #0x7d
0xfffffff0088a1950: a1008052  mov	w1, #5
0xfffffff0088a1954: 9f67ff97  bl	#0xfffffff00887b7d0
0xfffffff0088a1958: 403c0034  cbz	w0, #0xfffffff0088a20e0
0xfffffff0088a195c: a00f8052  mov	w0, #0x7d
0xfffffff0088a1960: ae67ff97  bl	#0xfffffff00887b818
0xfffffff0088a1964: f80300aa  mov	x24, x0
0xfffffff0088a1968: 114a0094  bl	#0xfffffff0088b41ac
0xfffffff0088a196c: f70300aa  mov	x23, x0
0xfffffff0088a1970: a0008052  mov	w0, #5
0xfffffff0088a1974: b767ff97  bl	#0xfffffff00887b850
0xfffffff0088a1978: 18080034  cbz	w24, #0xfffffff0088a1a78
0xfffffff0088a197c: 680240b9  ldr	w8, [x19]
0xfffffff0088a1980: 163900b4  cbz	x22, #0xfffffff0088a20a0
0xfffffff0088a1984: c94242b9  ldr	w9, [x22, #0x240]
0xfffffff0088a1988: c7010014  b	#0xfffffff0088a20a4
0xfffffff0088a198c: 084a0094  bl	#0xfffffff0088b41ac
0xfffffff0088a1990: f60300aa  mov	x22, x0
0xfffffff0088a1994: 80008052  mov	w0, #4
0xfffffff0088a1998: ae67ff97  bl	#0xfffffff00887b850
0xfffffff0088a199c: e80315aa  mov	x8, x21
0xfffffff0088a19a0: 690240b9  ldr	w9, [x19]
0xfffffff0088a19a4: f4a304a9  stp	x20, x8, [sp, #0x48]
0xfffffff0088a19a8: f3a703a9  stp	x19, x9, [sp, #0x38]
0xfffffff0088a19ac: 884cff90  adrp	x8, #0xfffffff007231000
