; Candidate 3663
; ADRP+ADD at VM 0xfffffff00874cf74 (fileoff 0x1748f74): page=0x1fe9e5000 add_imm=0xd90

0xfffffff00874cef4: f30301aa  mov	x19, x1
0xfffffff00874cef8: f40300aa  mov	x20, x0
0xfffffff00874cefc: 100040f9  ldr	x16, [x0]
0xfffffff00874cf00: f10300aa  mov	x17, x0
0xfffffff00874cf04: b1a6f3f2  movk	x17, #0x9d35, lsl #48
0xfffffff00874cf08: 301ac1da  autda	x16, x17
0xfffffff00874cf0c: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff00874cf10: e90310aa  mov	x9, x16
0xfffffff00874cf14: 16088052  mov	w22, #0x40
0xfffffff00874cf18: 3620a072  movk	w22, #0x101, lsl #16
0xfffffff00874cf1c: 01088052  mov	w1, #0x40
0xfffffff00874cf20: 2120a072  movk	w1, #0x101, lsl #16
0xfffffff00874cf24: f10309aa  mov	x17, x9
0xfffffff00874cf28: f109f5f2  movk	x17, #0xa84f, lsl #48
0xfffffff00874cf2c: 11093fd7  blraa	x8, x17
0xfffffff00874cf30: f50300aa  mov	x21, x0
0xfffffff00874cf34: 900240f9  ldr	x16, [x20]
0xfffffff00874cf38: f10314aa  mov	x17, x20
0xfffffff00874cf3c: b1a6f3f2  movk	x17, #0x9d35, lsl #48
0xfffffff00874cf40: 301ac1da  autda	x16, x17
0xfffffff00874cf44: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff00874cf48: e90310aa  mov	x9, x16
0xfffffff00874cf4c: c1021c32  orr	w1, w22, #0x10
0xfffffff00874cf50: e00314aa  mov	x0, x20
0xfffffff00874cf54: f10309aa  mov	x17, x9
0xfffffff00874cf58: f109f5f2  movk	x17, #0xa84f, lsl #48
0xfffffff00874cf5c: 11093fd7  blraa	x8, x17
0xfffffff00874cf60: e803132a  mov	w8, w19
0xfffffff00874cf64: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00874cf68: 2850ff90  adrp	x8, #0xfffffff007150000
0xfffffff00874cf6c: 08412c91  add	x8, x8, #0xb10
0xfffffff00874cf70: e85700a9  stp	x8, x21, [sp]
0xfffffff00874cf74: 204fffb0  adrp	x0, #0xfffffff007131000
0xfffffff00874cf78: 00403691  add	x0, x0, #0xd90
0xfffffff00874cf7c: 8195ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00874cf80: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00874cf84: a34fff90  adrp	x3, #0xfffffff007140000
0xfffffff00874cf88: 63800d91  add	x3, x3, #0x360
0xfffffff00874cf8c: 02008052  mov	w2, #0
0xfffffff00874cf90: 6898ef97  bl	#0xfffffff008333130
0xfffffff00874cf94: 00008052  mov	w0, #0
0xfffffff00874cf98: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff00874cf9c: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff00874cfa0: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff00874cfa4: ff430191  add	sp, sp, #0x50
0xfffffff00874cfa8: ff0f5fd6  retab	
0xfffffff00874cfac: 7f2303d5  pacibsp	
0xfffffff00874cfb0: ff0302d1  sub	sp, sp, #0x80
0xfffffff00874cfb4: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff00874cfb8: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff00874cfbc: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff00874cfc0: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff00874cfc4: fdc30191  add	x29, sp, #0x70
0xfffffff00874cfc8: f40300aa  mov	x20, x0
0xfffffff00874cfcc: 100040f9  ldr	x16, [x0]
0xfffffff00874cfd0: f10300aa  mov	x17, x0
0xfffffff00874cfd4: b1a6f3f2  movk	x17, #0x9d35, lsl #48
0xfffffff00874cfd8: 301ac1da  autda	x16, x17
0xfffffff00874cfdc: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff00874cfe0: e90310aa  mov	x9, x16
0xfffffff00874cfe4: 151f8852  mov	w21, #0x40f8
0xfffffff00874cfe8: 1522a072  movk	w21, #0x110, lsl #16
0xfffffff00874cfec: 011f8852  mov	w1, #0x40f8
0xfffffff00874cff0: 0122a072  movk	w1, #0x110, lsl #16
