; Candidate 1754
; ADRP+ADD at VM 0xfffffff008505cf0 (fileoff 0x1501cf0): page=0x1febdc000 add_imm=0xe22

0xfffffff008505c70: 099940f9  ldr	x9, [x8, #0x130]
0xfffffff008505c74: 094800f9  str	x9, [x0, #0x90]
0xfffffff008505c78: 018803ad  stp	q1, q2, [x0, #0x70]
0xfffffff008505c7c: 0018803d  str	q0, [x0, #0x60]
0xfffffff008505c80: 09e140f9  ldr	x9, [x8, #0x1c0]
0xfffffff008505c84: 0ac941b9  ldr	w10, [x8, #0x1c8]
0xfffffff008505c88: 0aa000b9  str	w10, [x0, #0xa0]
0xfffffff008505c8c: 094c00f9  str	x9, [x0, #0x98]
0xfffffff008505c90: 08c54539  ldrb	w8, [x8, #0x171]
0xfffffff008505c94: 08900239  strb	w8, [x0, #0xa4]
0xfffffff008505c98: 28008052  mov	w8, #1
0xfffffff008505c9c: 08200039  strb	w8, [x0, #8]
0xfffffff008505ca0: e00308aa  mov	x0, x8
0xfffffff008505ca4: c0035fd6  ret	
0xfffffff008505ca8: 1f0c00f9  str	xzr, [x0, #0x18]
0xfffffff008505cac: 09208052  mov	w9, #0x100
0xfffffff008505cb0: 090c00b9  str	w9, [x0, #0xc]
0xfffffff008505cb4: 00008052  mov	w0, #0
0xfffffff008505cb8: c0035fd6  ret	
0xfffffff008505cbc: 7f2303d5  pacibsp	
0xfffffff008505cc0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008505cc4: fd030091  mov	x29, sp
0xfffffff008505cc8: e05eff90  adrp	x0, #0xfffffff0070e1000
0xfffffff008505ccc: 00603791  add	x0, x0, #0xdd8
0xfffffff008505cd0: 5a8df897  bl	#0xfffffff008329238
0xfffffff008505cd4: 88ee0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff008505cd8: 007901f9  str	x0, [x8, #0x2f0]
0xfffffff008505cdc: e05eff90  adrp	x0, #0xfffffff0070e1000
0xfffffff008505ce0: 00083891  add	x0, x0, #0xe02
0xfffffff008505ce4: 558df897  bl	#0xfffffff008329238
0xfffffff008505ce8: 88ee0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff008505cec: 007d01f9  str	x0, [x8, #0x2f8]
0xfffffff008505cf0: e05eff90  adrp	x0, #0xfffffff0070e1000
0xfffffff008505cf4: 00883891  add	x0, x0, #0xe22
0xfffffff008505cf8: 508df897  bl	#0xfffffff008329238
0xfffffff008505cfc: 88ee0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff008505d00: 008101f9  str	x0, [x8, #0x300]
0xfffffff008505d04: e05eff90  adrp	x0, #0xfffffff0070e1000
0xfffffff008505d08: 00e43891  add	x0, x0, #0xe39
0xfffffff008505d0c: 4b8df897  bl	#0xfffffff008329238
0xfffffff008505d10: 88ee0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff008505d14: 008501f9  str	x0, [x8, #0x308]
0xfffffff008505d18: e05eff90  adrp	x0, #0xfffffff0070e1000
0xfffffff008505d1c: 004c3991  add	x0, x0, #0xe53
0xfffffff008505d20: 468df897  bl	#0xfffffff008329238
0xfffffff008505d24: 88ee0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff008505d28: 008901f9  str	x0, [x8, #0x310]
0xfffffff008505d2c: e05eff90  adrp	x0, #0xfffffff0070e1000
0xfffffff008505d30: 00bc3991  add	x0, x0, #0xe6f
0xfffffff008505d34: 418df897  bl	#0xfffffff008329238
0xfffffff008505d38: 88ee0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff008505d3c: 008d01f9  str	x0, [x8, #0x318]
0xfffffff008505d40: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008505d44: ff0f5fd6  retab	
0xfffffff008505d48: 5f2403d5  bti	c
0xfffffff008505d4c: 80ee0090  adrp	x0, #0xfffffff00a2d5000
0xfffffff008505d50: 00800c91  add	x0, x0, #0x320
0xfffffff008505d54: c0035fd6  ret	
0xfffffff008505d58: 7f2303d5  pacibsp	
0xfffffff008505d5c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008505d60: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008505d64: fd430091  add	x29, sp, #0x10
0xfffffff008505d68: f30300aa  mov	x19, x0
0xfffffff008505d6c: 0fac4d94  bl	#0xfffffff009870da8
