; Candidate 11701
; ADRP+ADD at VM 0xfffffff008fcbbc8 (fileoff 0x1fc7bc8): page=0x1fe45a000 add_imm=0xdd7

0xfffffff008fcbb48: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff008fcbb4c: fd030191  add	x29, sp, #0x40
0xfffffff008fcbb50: 08344079  ldrh	w8, [x0, #0x1a]
0xfffffff008fcbb54: 48000035  cbnz	w8, #0xfffffff008fcbb5c
0xfffffff008fcbb58: 080c4039  ldrb	w8, [x0, #3]
0xfffffff008fcbb5c: 09304039  ldrb	w9, [x0, #0xc]
0xfffffff008fcbb60: 2a058152  mov	w10, #0x829
0xfffffff008fcbb64: cb22ffd0  adrp	x11, #0xfffffff007425000
0xfffffff008fcbb68: 6bd93891  add	x11, x11, #0xe36
0xfffffff008fcbb6c: ebab02a9  stp	x11, x10, [sp, #0x28]
0xfffffff008fcbb70: e1a701a9  stp	x1, x9, [sp, #0x18]
0xfffffff008fcbb74: c922fff0  adrp	x9, #0xfffffff007426000
0xfffffff008fcbb78: 294d0991  add	x9, x9, #0x253
0xfffffff008fcbb7c: eaa300a9  stp	x10, x8, [sp, #8]
0xfffffff008fcbb80: e022ff90  adrp	x0, #0xfffffff007427000
0xfffffff008fcbb84: 00b83b91  add	x0, x0, #0xeee
0xfffffff008fcbb88: e90300f9  str	x9, [sp]
0xfffffff008fcbb8c: 6022d397  bl	#0xfffffff00849450c
0xfffffff008fcbb90: 7f2303d5  pacibsp	
0xfffffff008fcbb94: ff0301d1  sub	sp, sp, #0x40
0xfffffff008fcbb98: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008fcbb9c: fdc30091  add	x29, sp, #0x30
0xfffffff008fcbba0: 08088152  mov	w8, #0x840
0xfffffff008fcbba4: c922ffd0  adrp	x9, #0xfffffff007425000
0xfffffff008fcbba8: 29d93891  add	x9, x9, #0xe36
0xfffffff008fcbbac: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008fcbbb0: ea22ff90  adrp	x10, #0xfffffff007427000
0xfffffff008fcbbb4: 4a5d3d91  add	x10, x10, #0xf57
0xfffffff008fcbbb8: cb22fff0  adrp	x11, #0xfffffff007426000
0xfffffff008fcbbbc: 6b4d0991  add	x11, x11, #0x253
0xfffffff008fcbbc0: e8ab00a9  stp	x8, x10, [sp, #8]
0xfffffff008fcbbc4: eb0300f9  str	x11, [sp]
0xfffffff008fcbbc8: c022ffd0  adrp	x0, #0xfffffff007425000
0xfffffff008fcbbcc: 005c3791  add	x0, x0, #0xdd7
0xfffffff008fcbbd0: 4f22d397  bl	#0xfffffff00849450c
0xfffffff008fcbbd4: 7f2303d5  pacibsp	
0xfffffff008fcbbd8: ff0301d1  sub	sp, sp, #0x40
0xfffffff008fcbbdc: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008fcbbe0: fdc30091  add	x29, sp, #0x30
0xfffffff008fcbbe4: a8068152  mov	w8, #0x835
0xfffffff008fcbbe8: c922ffd0  adrp	x9, #0xfffffff007425000
0xfffffff008fcbbec: 29d93891  add	x9, x9, #0xe36
0xfffffff008fcbbf0: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008fcbbf4: ea22ff90  adrp	x10, #0xfffffff007427000
0xfffffff008fcbbf8: 4ab53c91  add	x10, x10, #0xf2d
0xfffffff008fcbbfc: cb22fff0  adrp	x11, #0xfffffff007426000
0xfffffff008fcbc00: 6b4d0991  add	x11, x11, #0x253
0xfffffff008fcbc04: e8ab00a9  stp	x8, x10, [sp, #8]
0xfffffff008fcbc08: eb0300f9  str	x11, [sp]
0xfffffff008fcbc0c: c022ffd0  adrp	x0, #0xfffffff007425000
0xfffffff008fcbc10: 005c3791  add	x0, x0, #0xdd7
0xfffffff008fcbc14: 3e22d397  bl	#0xfffffff00849450c
0xfffffff008fcbc18: 7f2303d5  pacibsp	
0xfffffff008fcbc1c: ff0301d1  sub	sp, sp, #0x40
0xfffffff008fcbc20: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008fcbc24: fdc30091  add	x29, sp, #0x30
0xfffffff008fcbc28: 48078152  mov	w8, #0x83a
0xfffffff008fcbc2c: c922ffd0  adrp	x9, #0xfffffff007425000
0xfffffff008fcbc30: 29d93891  add	x9, x9, #0xe36
0xfffffff008fcbc34: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008fcbc38: ea22ff90  adrp	x10, #0xfffffff007427000
0xfffffff008fcbc3c: 4a5d3d91  add	x10, x10, #0xf57
0xfffffff008fcbc40: cb22fff0  adrp	x11, #0xfffffff007426000
0xfffffff008fcbc44: 6b4d0991  add	x11, x11, #0x253
