; Candidate 3712
; ADRP+ADD at VM 0xfffffff008752c8c (fileoff 0x174ec8c): page=0x1fe9df000 add_imm=0xd90

0xfffffff008752c0c: 080140b9  ldr	w8, [x8]
0xfffffff008752c10: a9c352b8  ldur	w9, [x29, #-0xd4]
0xfffffff008752c14: 0901090b  add	w9, w8, w9
0xfffffff008752c18: 2909c81a  udiv	w9, w9, w8
0xfffffff008752c1c: eb8740b9  ldr	w11, [sp, #0x84]
0xfffffff008752c20: 5a030b0b  add	w26, w26, w11
0xfffffff008752c24: 3f010a6b  cmp	w9, w10
0xfffffff008752c28: 82110054  b.hs	#0xfffffff008752e58
0xfffffff008752c2c: ea6f40b9  ldr	w10, [sp, #0x6c]
0xfffffff008752c30: 2829081b  madd	w8, w9, w8, w10
0xfffffff008752c34: a8c312b8  stur	w8, [x29, #-0xd4]
0xfffffff008752c38: a84352b8  ldur	w8, [x29, #-0xdc]
0xfffffff008752c3c: 48320034  cbz	w8, #0xfffffff008753284
0xfffffff008752c40: ff8700b9  str	wzr, [sp, #0x84]
0xfffffff008752c44: a98302d1  sub	x9, x29, #0xa0
0xfffffff008752c48: 285977b8  ldr	w8, [x9, w23, uxtw #2]
0xfffffff008752c4c: 3f5937b8  str	wzr, [x9, w23, uxtw #2]
0xfffffff008752c50: 1f010071  cmp	w8, #0
0xfffffff008752c54: 08098052  mov	w8, #0x48
0xfffffff008752c58: 09018052  mov	w9, #8
0xfffffff008752c5c: 3501881a  csel	w21, w9, w8, eq
0xfffffff008752c60: 8d000014  b	#0xfffffff008752e94
0xfffffff008752c64: a88353f8  ldur	x8, [x29, #-0xc8]
0xfffffff008752c68: 150940f9  ldr	x21, [x8, #0x10]
0xfffffff008752c6c: a80353f8  ldur	x8, [x29, #-0xd0]
0xfffffff008752c70: 0941388b  add	x9, x8, w24, uxtw
0xfffffff008752c74: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff008752c78: c90100b4  cbz	x9, #0xfffffff008752cb0
0xfffffff008752c7c: 89dc8052  mov	w9, #0x6e4
0xfffffff008752c80: e84fffb0  adrp	x8, #0xfffffff00714f000
0xfffffff008752c84: 08b90a91  add	x8, x8, #0x2ae
0xfffffff008752c88: e82700a9  stp	x8, x9, [sp]
0xfffffff008752c8c: e04efff0  adrp	x0, #0xfffffff007131000
0xfffffff008752c90: 00403691  add	x0, x0, #0xd90
0xfffffff008752c94: 4195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008752c98: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008752c9c: 02008052  mov	w2, #0
0xfffffff008752ca0: 634fffd0  adrp	x3, #0xfffffff007140000
0xfffffff008752ca4: 63203b91  add	x3, x3, #0xec8
0xfffffff008752ca8: 2281ef97  bl	#0xfffffff008333130
0xfffffff008752cac: a80353f8  ldur	x8, [x29, #-0xd0]
0xfffffff008752cb0: 0903080b  add	w9, w24, w8
0xfffffff008752cb4: aa0209ab  adds	x10, x21, x9
0xfffffff008752cb8: 02360054  b.hs	#0xfffffff008753378
0xfffffff008752cbc: eb03182a  mov	w11, w24
0xfffffff008752cc0: 4aa560d3  ubfx	x10, x10, #0x20, #0xa
0xfffffff008752cc4: 2a2f0079  strh	w10, [x25, #0x16]
0xfffffff008752cc8: aa8353f8  ldur	x10, [x29, #-0xc8]
0xfffffff008752ccc: 550940f9  ldr	x21, [x10, #0x10]
0xfffffff008752cd0: 08010b8b  add	x8, x8, x11
0xfffffff008752cd4: 08fd60d3  lsr	x8, x8, #0x20
0xfffffff008752cd8: e80100b4  cbz	x8, #0xfffffff008752d14
0xfffffff008752cdc: a9dc8052  mov	w9, #0x6e5
0xfffffff008752ce0: e84fffb0  adrp	x8, #0xfffffff00714f000
0xfffffff008752ce4: 08b90a91  add	x8, x8, #0x2ae
0xfffffff008752ce8: e82700a9  stp	x8, x9, [sp]
0xfffffff008752cec: e04efff0  adrp	x0, #0xfffffff007131000
0xfffffff008752cf0: 00403691  add	x0, x0, #0xd90
0xfffffff008752cf4: 4195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008752cf8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008752cfc: 02008052  mov	w2, #0
0xfffffff008752d00: 634fffd0  adrp	x3, #0xfffffff007140000
0xfffffff008752d04: 63f03b91  add	x3, x3, #0xefc
0xfffffff008752d08: 0a81ef97  bl	#0xfffffff008333130
