; Candidate 10357
; ADRP+ADD at VM 0xfffffff008d18170 (fileoff 0x1d14170): page=0x1fe664000 add_imm=0xcfc

0xfffffff008d180f0: 68a641a9  ldp	x8, x9, [x19, #0x18]
0xfffffff008d180f4: 3633ff90  adrp	x22, #0xfffffff00737c000
0xfffffff008d180f8: d62e3191  add	x22, x22, #0xc4b
0xfffffff008d180fc: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008d18100: f60300f9  str	x22, [sp]
0xfffffff008d18104: 2033ff90  adrp	x0, #0xfffffff00737c000
0xfffffff008d18108: 00283291  add	x0, x0, #0xc8a
0xfffffff008d1810c: bc600094  bl	#0xfffffff008d303fc
0xfffffff008d18110: 78de42a9  ldp	x24, x23, [x19, #0x28]
0xfffffff008d18114: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff008d18118: 100040f9  ldr	x16, [x0]
0xfffffff008d1811c: f10300aa  mov	x17, x0
0xfffffff008d18120: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008d18124: 301ac1da  autda	x16, x17
0xfffffff008d18128: 080e4bf8  ldr	x8, [x16, #0xb0]!
0xfffffff008d1812c: e90310aa  mov	x9, x16
0xfffffff008d18130: f10309aa  mov	x17, x9
0xfffffff008d18134: 5172f6f2  movk	x17, #0xb392, lsl #48
0xfffffff008d18138: 11093fd7  blraa	x8, x17
0xfffffff008d1813c: f80301a9  stp	x24, x0, [sp, #0x10]
0xfffffff008d18140: f65f00a9  stp	x22, x23, [sp]
0xfffffff008d18144: 2033ff90  adrp	x0, #0xfffffff00737c000
0xfffffff008d18148: 00dc3291  add	x0, x0, #0xcb7
0xfffffff008d1814c: ac600094  bl	#0xfffffff008d303fc
0xfffffff008d18150: 69a242a9  ldp	x9, x8, [x19, #0x28]
0xfffffff008d18154: 0a01158b  add	x10, x8, x21
0xfffffff008d18158: 0801148b  add	x8, x8, x20
0xfffffff008d1815c: 6aa203a9  stp	x10, x8, [x19, #0x38]
0xfffffff008d18160: 2801158b  add	x8, x9, x21
0xfffffff008d18164: 2901148b  add	x9, x9, x20
0xfffffff008d18168: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008d1816c: f60300f9  str	x22, [sp]
0xfffffff008d18170: 2033ff90  adrp	x0, #0xfffffff00737c000
0xfffffff008d18174: 00f03391  add	x0, x0, #0xcfc
0xfffffff008d18178: a1600094  bl	#0xfffffff008d303fc
0xfffffff008d1817c: 20008052  mov	w0, #1
0xfffffff008d18180: 0e000014  b	#0xfffffff008d181b8
0xfffffff008d18184: 2833ff90  adrp	x8, #0xfffffff00737c000
0xfffffff008d18188: 082d3191  add	x8, x8, #0xc4b
0xfffffff008d1818c: e87f00a9  stp	x8, xzr, [sp]
0xfffffff008d18190: 2033ff90  adrp	x0, #0xfffffff00737c000
0xfffffff008d18194: 00fc1a91  add	x0, x0, #0x6bf
0xfffffff008d18198: 06000014  b	#0xfffffff008d181b0
0xfffffff008d1819c: 2833ff90  adrp	x8, #0xfffffff00737c000
0xfffffff008d181a0: 082d3191  add	x8, x8, #0xc4b
0xfffffff008d181a4: e87f00a9  stp	x8, xzr, [sp]
0xfffffff008d181a8: 2033ff90  adrp	x0, #0xfffffff00737c000
0xfffffff008d181ac: 00ec1b91  add	x0, x0, #0x6fb
0xfffffff008d181b0: 93600094  bl	#0xfffffff008d303fc
0xfffffff008d181b4: 00008052  mov	w0, #0
0xfffffff008d181b8: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008d181bc: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008d181c0: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008d181c4: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff008d181c8: ff830191  add	sp, sp, #0x60
0xfffffff008d181cc: ff0f5fd6  retab	
0xfffffff008d181d0: 5f2403d5  bti	c
0xfffffff008d181d4: 004000d1  sub	x0, x0, #0x10
0xfffffff008d181d8: 7effff17  b	#0xfffffff008d17fd0
0xfffffff008d181dc: 5f2403d5  bti	c
0xfffffff008d181e0: 09008052  mov	w9, #0
0xfffffff008d181e4: 081c40f9  ldr	x8, [x0, #0x38]
0xfffffff008d181e8: 1f0100b9  str	wzr, [x8]
0xfffffff008d181ec: 0a2040f9  ldr	x10, [x0, #0x40]
