; Candidate 3666
; ADRP+ADD at VM 0xfffffff00874d258 (fileoff 0x1749258): page=0x1fe9e4000 add_imm=0xd90

0xfffffff00874d1d8: f60300aa  mov	x22, x0
0xfffffff00874d1dc: 602240f9  ldr	x0, [x19, #0x40]
0xfffffff00874d1e0: 74820191  add	x20, x19, #0x60
0xfffffff00874d1e4: 100040f9  ldr	x16, [x0]
0xfffffff00874d1e8: f10300aa  mov	x17, x0
0xfffffff00874d1ec: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00874d1f0: 301ac1da  autda	x16, x17
0xfffffff00874d1f4: 080e48f8  ldr	x8, [x16, #0x80]!
0xfffffff00874d1f8: e90310aa  mov	x9, x16
0xfffffff00874d1fc: 81008052  mov	w1, #4
0xfffffff00874d200: e20316aa  mov	x2, x22
0xfffffff00874d204: e30314aa  mov	x3, x20
0xfffffff00874d208: f10309aa  mov	x17, x9
0xfffffff00874d20c: f1a8eef2  movk	x17, #0x7547, lsl #48
0xfffffff00874d210: 11093fd7  blraa	x8, x17
0xfffffff00874d214: f70300aa  mov	x23, x0
0xfffffff00874d218: d00240f9  ldr	x16, [x22]
0xfffffff00874d21c: f10316aa  mov	x17, x22
0xfffffff00874d220: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00874d224: 301ac1da  autda	x16, x17
0xfffffff00874d228: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00874d22c: e90310aa  mov	x9, x16
0xfffffff00874d230: e00316aa  mov	x0, x22
0xfffffff00874d234: f10309aa  mov	x17, x9
0xfffffff00874d238: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00874d23c: 11093fd7  blraa	x8, x17
0xfffffff00874d240: 97040034  cbz	w23, #0xfffffff00874d2d0
0xfffffff00874d244: 94578052  mov	w20, #0x2bc
0xfffffff00874d248: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff00874d24c: 0850fff0  adrp	x8, #0xfffffff007150000
0xfffffff00874d250: 08c12c91  add	x8, x8, #0xb30
0xfffffff00874d254: e85700a9  stp	x8, x21, [sp]
0xfffffff00874d258: 204fff90  adrp	x0, #0xfffffff007131000
0xfffffff00874d25c: 00403691  add	x0, x0, #0xd90
0xfffffff00874d260: 8195ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00874d264: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00874d268: 834ffff0  adrp	x3, #0xfffffff007140000
0xfffffff00874d26c: 63e41091  add	x3, x3, #0x439
0xfffffff00874d270: 02008052  mov	w2, #0
0xfffffff00874d274: af97ef97  bl	#0xfffffff008333130
0xfffffff00874d278: 0f000014  b	#0xfffffff00874d2b4
0xfffffff00874d27c: 94578052  mov	w20, #0x2bc
0xfffffff00874d280: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff00874d284: ffd700a9  stp	xzr, x21, [sp, #8]
0xfffffff00874d288: 0850fff0  adrp	x8, #0xfffffff007150000
0xfffffff00874d28c: 08c12c91  add	x8, x8, #0xb30
0xfffffff00874d290: e80300f9  str	x8, [sp]
0xfffffff00874d294: 204fff90  adrp	x0, #0xfffffff007131000
0xfffffff00874d298: 00403691  add	x0, x0, #0xd90
0xfffffff00874d29c: 8195ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00874d2a0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00874d2a4: 834ffff0  adrp	x3, #0xfffffff007140000
0xfffffff00874d2a8: 63f40f91  add	x3, x3, #0x3fd
0xfffffff00874d2ac: 02008052  mov	w2, #0
0xfffffff00874d2b0: a097ef97  bl	#0xfffffff008333130
0xfffffff00874d2b4: e00314aa  mov	x0, x20
0xfffffff00874d2b8: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00874d2bc: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff00874d2c0: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff00874d2c4: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff00874d2c8: ff830191  add	sp, sp, #0x60
0xfffffff00874d2cc: ff0f5fd6  retab	
0xfffffff00874d2d0: 800240f9  ldr	x0, [x20]
0xfffffff00874d2d4: 800400b4  cbz	x0, #0xfffffff00874d364
