; Candidate 5725
; ADRP+ADD at VM 0xfffffff008801eac (fileoff 0x17fdeac): page=0x1fe9e8000 add_imm=0xe80

0xfffffff008801e2c: 8dd5d697  bl	#0xfffffff007db7460
0xfffffff008801e30: 27000014  b	#0xfffffff008801ecc
0xfffffff008801e34: dec80294  bl	#0xfffffff0088b41ac
0xfffffff008801e38: f70300aa  mov	x23, x0
0xfffffff008801e3c: e00314aa  mov	x0, x20
0xfffffff008801e40: 84e60194  bl	#0xfffffff00887b850
0xfffffff008801e44: ab835af8  ldur	x11, [x29, #-0x58]
0xfffffff008801e48: 68614039  ldrb	w8, [x11, #0x18]
0xfffffff008801e4c: 69654039  ldrb	w9, [x11, #0x19]
0xfffffff008801e50: 6a694039  ldrb	w10, [x11, #0x1a]
0xfffffff008801e54: 6b6d4039  ldrb	w11, [x11, #0x1b]
0xfffffff008801e58: eaaf02a9  stp	x10, x11, [sp, #0x28]
0xfffffff008801e5c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008801e60: e80313aa  mov	x8, x19
0xfffffff008801e64: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008801e68: f70300f9  str	x23, [sp]
0xfffffff008801e6c: 404fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008801e70: 00003a91  add	x0, x0, #0xe80
0xfffffff008801e74: 2190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff008801e78: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008801e7c: 0352fff0  adrp	x3, #0xfffffff007244000
0xfffffff008801e80: 63080491  add	x3, x3, #0x102
0xfffffff008801e84: 02008052  mov	w2, #0
0xfffffff008801e88: aac4ec97  bl	#0xfffffff008333130
0xfffffff008801e8c: 10000014  b	#0xfffffff008801ecc
0xfffffff008801e90: ab835af8  ldur	x11, [x29, #-0x58]
0xfffffff008801e94: 68614039  ldrb	w8, [x11, #0x18]
0xfffffff008801e98: 69654039  ldrb	w9, [x11, #0x19]
0xfffffff008801e9c: 6a694039  ldrb	w10, [x11, #0x1a]
0xfffffff008801ea0: 6b6d4039  ldrb	w11, [x11, #0x1b]
0xfffffff008801ea4: ea2f01a9  stp	x10, x11, [sp, #0x10]
0xfffffff008801ea8: e82700a9  stp	x8, x9, [sp]
0xfffffff008801eac: 404fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008801eb0: 00003a91  add	x0, x0, #0xe80
0xfffffff008801eb4: 2190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff008801eb8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008801ebc: 0352fff0  adrp	x3, #0xfffffff007244000
0xfffffff008801ec0: 63240291  add	x3, x3, #0x89
0xfffffff008801ec4: 02008052  mov	w2, #0
0xfffffff008801ec8: 9ac4ec97  bl	#0xfffffff008333130
0xfffffff008801ecc: e00313aa  mov	x0, x19
0xfffffff008801ed0: e10314aa  mov	x1, x20
0xfffffff008801ed4: 3fe60194  bl	#0xfffffff00887b7d0
0xfffffff008801ed8: a0070034  cbz	w0, #0xfffffff008801fcc
0xfffffff008801edc: e00313aa  mov	x0, x19
0xfffffff008801ee0: 4ee60194  bl	#0xfffffff00887b818
0xfffffff008801ee4: 5502f837  tbnz	w21, #0x1f, #0xfffffff008801f2c
0xfffffff008801ee8: b8021b12  and	w24, w21, #0x20
0xfffffff008801eec: 1b000052  eor	w27, w0, #1
0xfffffff008801ef0: afc80294  bl	#0xfffffff0088b41ac
0xfffffff008801ef4: f70300aa  mov	x23, x0
0xfffffff008801ef8: e00314aa  mov	x0, x20
0xfffffff008801efc: 55e60194  bl	#0xfffffff00887b850
0xfffffff008801f00: 6817582a  orr	w8, w27, w24, lsr #5
0xfffffff008801f04: 88020037  tbnz	w8, #0, #0xfffffff008801f54
0xfffffff008801f08: 281b4039  ldrb	w8, [x25, #6]
0xfffffff008801f0c: 29334c39  ldrb	w9, [x25, #0x30c]
0xfffffff008801f10: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008801f14: e80313aa  mov	x8, x19
0xfffffff008801f18: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008801f1c: f70300f9  str	x23, [sp]
0xfffffff008801f20: a050fff0  adrp	x0, #0xfffffff007218000
0xfffffff008801f24: 00941791  add	x0, x0, #0x5e5
0xfffffff008801f28: 09000014  b	#0xfffffff008801f4c
