; Candidate 11122
; ADRP+ADD at VM 0xfffffff008e74aa0 (fileoff 0x1e70aa0): page=0x1496000 add_imm=0xd40

0xfffffff008e74a20: fd430091  add	x29, sp, #0x10
0xfffffff008e74a24: a0a400d0  adrp	x0, #0xfffffff00a30a000
0xfffffff008e74a28: 00c03391  add	x0, x0, #0xcf0
0xfffffff008e74a2c: 212bffb0  adrp	x1, #0xfffffff0073d9000
0xfffffff008e74a30: 21340391  add	x1, x1, #0xcd
0xfffffff008e74a34: 5364ffb0  adrp	x19, #0xfffffff007afd000
0xfffffff008e74a38: 739e46f9  ldr	x19, [x19, #0xd38]
0xfffffff008e74a3c: e20313aa  mov	x2, x19
0xfffffff008e74a40: 03238052  mov	w3, #0x118
0xfffffff008e74a44: 3dbcd197  bl	#0xfffffff0082e3b38
0xfffffff008e74a48: 7064ffd0  adrp	x16, #0xfffffff007b02000
0xfffffff008e74a4c: 10420291  add	x16, x16, #0x90
0xfffffff008e74a50: 10420091  add	x16, x16, #0x10
0xfffffff008e74a54: f10300aa  mov	x17, x0
0xfffffff008e74a58: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008e74a5c: 300ac1da  pacda	x16, x17
0xfffffff008e74a60: 100000f9  str	x16, [x0]
0xfffffff008e74a64: b4a400d0  adrp	x20, #0xfffffff00a30a000
0xfffffff008e74a68: 94623491  add	x20, x20, #0xd18
0xfffffff008e74a6c: 212bffb0  adrp	x1, #0xfffffff0073d9000
0xfffffff008e74a70: 21941691  add	x1, x1, #0x5a5
0xfffffff008e74a74: e00314aa  mov	x0, x20
0xfffffff008e74a78: e20313aa  mov	x2, x19
0xfffffff008e74a7c: 032f8052  mov	w3, #0x178
0xfffffff008e74a80: 2ebcd197  bl	#0xfffffff0082e3b38
0xfffffff008e74a84: 7064ffd0  adrp	x16, #0xfffffff007b02000
0xfffffff008e74a88: 10620791  add	x16, x16, #0x1d8
0xfffffff008e74a8c: 10420091  add	x16, x16, #0x10
0xfffffff008e74a90: f10314aa  mov	x17, x20
0xfffffff008e74a94: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008e74a98: 300ac1da  pacda	x16, x17
0xfffffff008e74a9c: 900200f9  str	x16, [x20]
0xfffffff008e74aa0: a0a400d0  adrp	x0, #0xfffffff00a30a000
0xfffffff008e74aa4: 00003591  add	x0, x0, #0xd40
0xfffffff008e74aa8: 212bffb0  adrp	x1, #0xfffffff0073d9000
0xfffffff008e74aac: 21681f91  add	x1, x1, #0x7da
0xfffffff008e74ab0: e20314aa  mov	x2, x20
0xfffffff008e74ab4: 034a8052  mov	w3, #0x250
0xfffffff008e74ab8: 20bcd197  bl	#0xfffffff0082e3b38
0xfffffff008e74abc: 7064ffd0  adrp	x16, #0xfffffff007b02000
0xfffffff008e74ac0: 10a20c91  add	x16, x16, #0x328
0xfffffff008e74ac4: 10420091  add	x16, x16, #0x10
0xfffffff008e74ac8: f10300aa  mov	x17, x0
0xfffffff008e74acc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008e74ad0: 300ac1da  pacda	x16, x17
0xfffffff008e74ad4: 100000f9  str	x16, [x0]
0xfffffff008e74ad8: a0a400d0  adrp	x0, #0xfffffff00a30a000
0xfffffff008e74adc: 00e03591  add	x0, x0, #0xd78
0xfffffff008e74ae0: 212bffb0  adrp	x1, #0xfffffff0073d9000
0xfffffff008e74ae4: 21882b91  add	x1, x1, #0xae2
0xfffffff008e74ae8: e20314aa  mov	x2, x20
0xfffffff008e74aec: 03308052  mov	w3, #0x180
0xfffffff008e74af0: 12bcd197  bl	#0xfffffff0082e3b38
0xfffffff008e74af4: 7064ffd0  adrp	x16, #0xfffffff007b02000
0xfffffff008e74af8: 10e21191  add	x16, x16, #0x478
0xfffffff008e74afc: 10420091  add	x16, x16, #0x10
0xfffffff008e74b00: f10300aa  mov	x17, x0
0xfffffff008e74b04: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008e74b08: 300ac1da  pacda	x16, x17
0xfffffff008e74b0c: 100000f9  str	x16, [x0]
0xfffffff008e74b10: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008e74b14: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008e74b18: ff0f5fd6  retab	
0xfffffff008e74b1c: 7f2303d5  pacibsp	
