; Candidate 9149
; ADRP+ADD at VM 0xfffffff0089fd99c (fileoff 0x19f999c): page=0x1ff04c000 add_imm=0xe50

0xfffffff0089fd91c: e8ab00a9  stp	x8, x10, [sp, #8]
0xfffffff0089fd920: f60300f9  str	x22, [sp]
0xfffffff0089fd924: a044fff0  adrp	x0, #0xfffffff007294000
0xfffffff0089fd928: 00400c91  add	x0, x0, #0x310
0xfffffff0089fd92c: 4182ffd0  adrp	x1, #0xfffffff007a47000
0xfffffff0089fd930: 214047f9  ldr	x1, [x1, #0xe80]
0xfffffff0089fd934: c344ffd0  adrp	x3, #0xfffffff007297000
0xfffffff0089fd938: 63642e91  add	x3, x3, #0xb99
0xfffffff0089fd93c: 02008052  mov	w2, #0
0xfffffff0089fd940: fcd5e497  bl	#0xfffffff008333130
0xfffffff0089fd944: 15008052  mov	w21, #0
0xfffffff0089fd948: 1b000014  b	#0xfffffff0089fd9b4
0xfffffff0089fd94c: b5578052  mov	w21, #0x2bd
0xfffffff0089fd950: 1500bc72  movk	w21, #0xe000, lsl #16
0xfffffff0089fd954: 09508052  mov	w9, #0x280
0xfffffff0089fd958: c844ffb0  adrp	x8, #0xfffffff007296000
0xfffffff0089fd95c: 08352191  add	x8, x8, #0x84d
0xfffffff0089fd960: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff0089fd964: f60300f9  str	x22, [sp]
0xfffffff0089fd968: a044fff0  adrp	x0, #0xfffffff007294000
0xfffffff0089fd96c: 00400c91  add	x0, x0, #0x310
0xfffffff0089fd970: 4182ffd0  adrp	x1, #0xfffffff007a47000
0xfffffff0089fd974: 214047f9  ldr	x1, [x1, #0xe80]
0xfffffff0089fd978: c344ffd0  adrp	x3, #0xfffffff007297000
0xfffffff0089fd97c: 63b82d91  add	x3, x3, #0xb6e
0xfffffff0089fd980: 02028052  mov	w2, #0x10
0xfffffff0089fd984: ebd5e497  bl	#0xfffffff008333130
0xfffffff0089fd988: 7fda00b9  str	wzr, [x19, #0xd8]
0xfffffff0089fd98c: 617240f9  ldr	x1, [x19, #0xe0]
0xfffffff0089fd990: c10000b4  cbz	x1, #0xfffffff0089fd9a8
0xfffffff0089fd994: 68ea40b9  ldr	w8, [x19, #0xe8]
0xfffffff0089fd998: 02f17dd3  lsl	x2, x8, #3
0xfffffff0089fd99c: 6082ff90  adrp	x0, #0xfffffff007a49000
0xfffffff0089fd9a0: 00403991  add	x0, x0, #0xe50
0xfffffff0089fd9a4: 1165e597  bl	#0xfffffff008356de8
0xfffffff0089fd9a8: 170080d2  mov	x23, #0
0xfffffff0089fd9ac: 7f7200f9  str	xzr, [x19, #0xe0]
0xfffffff0089fd9b0: 7fea00b9  str	wzr, [x19, #0xe8]
0xfffffff0089fd9b4: 882640f9  ldr	x8, [x20, #0x48]
0xfffffff0089fd9b8: 170100f9  str	x23, [x8]
0xfffffff0089fd9bc: 60aa40f9  ldr	x0, [x19, #0x150]
0xfffffff0089fd9c0: 5fbbce97  bl	#0xfffffff007dac73c
0xfffffff0089fd9c4: e00315aa  mov	x0, x21
0xfffffff0089fd9c8: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0089fd9cc: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0089fd9d0: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0089fd9d4: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff0089fd9d8: ffc30191  add	sp, sp, #0x70
0xfffffff0089fd9dc: ff0f5fd6  retab	
0xfffffff0089fd9e0: c844ffb0  adrp	x8, #0xfffffff007296000
0xfffffff0089fd9e4: 08391b91  add	x8, x8, #0x6ce
0xfffffff0089fd9e8: 494f8052  mov	w9, #0x27a
0xfffffff0089fd9ec: aa44fff0  adrp	x10, #0xfffffff007294000
0xfffffff0089fd9f0: 4a853991  add	x10, x10, #0xe61
0xfffffff0089fd9f4: cb44ffb0  adrp	x11, #0xfffffff007296000
0xfffffff0089fd9f8: 6bd12291  add	x11, x11, #0x8b4
0xfffffff0089fd9fc: e9ff01a9  stp	x9, xzr, [sp, #0x18]
0xfffffff0089fda00: eaa300a9  stp	x10, x8, [sp, #8]
0xfffffff0089fda04: eb0300f9  str	x11, [sp]
0xfffffff0089fda08: a044fff0  adrp	x0, #0xfffffff007294000
0xfffffff0089fda0c: 00d03791  add	x0, x0, #0xdf4
0xfffffff0089fda10: 94e6ce97  bl	#0xfffffff007db7460
0xfffffff0089fda14: a8578052  mov	w8, #0x2bd
0xfffffff0089fda18: 0800bc72  movk	w8, #0xe000, lsl #16
