; Candidate 1149
; ADRP+ADD at VM 0xfffffff00823ea38 (fileoff 0x123aa38): page=0x1f81000 add_imm=0xde8

0xfffffff00823e9b8: 2a01889a  csel	x10, x9, x8, eq
0xfffffff00823e9bc: 540100f9  str	x20, [x10]
0xfffffff00823e9c0: 6a0a4079  ldrh	w10, [x19, #4]
0xfffffff00823e9c4: 5f090071  cmp	w10, #2
0xfffffff00823e9c8: 2801889a  csel	x8, x9, x8, eq
0xfffffff00823e9cc: 880600f9  str	x8, [x20, #8]
0xfffffff00823e9d0: 40000190  adrp	x0, #0xfffffff00a246000
0xfffffff00823e9d4: 00e01091  add	x0, x0, #0x438
0xfffffff00823e9d8: 14bfed97  bl	#0xfffffff007dae628
0xfffffff00823e9dc: 00008052  mov	w0, #0
0xfffffff00823e9e0: 740a00f9  str	x20, [x19, #0x10]
0xfffffff00823e9e4: 68ea40b9  ldr	w8, [x19, #0xe8]
0xfffffff00823e9e8: 08011832  orr	w8, w8, #0x100
0xfffffff00823e9ec: 68ea00b9  str	w8, [x19, #0xe8]
0xfffffff00823e9f0: 68aa41b9  ldr	w8, [x19, #0x1a8]
0xfffffff00823e9f4: 08011832  orr	w8, w8, #0x100
0xfffffff00823e9f8: 68aa01b9  str	w8, [x19, #0x1a8]
0xfffffff00823e9fc: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff00823ea00: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff00823ea04: ff030191  add	sp, sp, #0x40
0xfffffff00823ea08: ff0f5fd6  retab	
0xfffffff00823ea0c: 6a0a4079  ldrh	w10, [x19, #4]
0xfffffff00823ea10: 5f090071  cmp	w10, #2
0xfffffff00823ea14: 2801889a  csel	x8, x9, x8, eq
0xfffffff00823ea18: 697c8052  mov	w9, #0x3e3
0xfffffff00823ea1c: 6a72ffb0  adrp	x10, #0xfffffff00708b000
0xfffffff00823ea20: 4acd2f91  add	x10, x10, #0xbf3
0xfffffff00823ea24: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff00823ea28: e82700a9  stp	x8, x9, [sp]
0xfffffff00823ea2c: a072ff90  adrp	x0, #0xfffffff007092000
0xfffffff00823ea30: 00b03191  add	x0, x0, #0xc6c
0xfffffff00823ea34: b6560994  bl	#0xfffffff00849450c
0xfffffff00823ea38: 00fc00b0  adrp	x0, #0xfffffff00a1bf000
0xfffffff00823ea3c: 00a03791  add	x0, x0, #0xde8
0xfffffff00823ea40: f3850994  bl	#0xfffffff0084a020c
0xfffffff00823ea44: 6872ffb0  adrp	x8, #0xfffffff00708b000
0xfffffff00823ea48: 08cd2f91  add	x8, x8, #0xbf3
0xfffffff00823ea4c: 697a8052  mov	w9, #0x3d3
0xfffffff00823ea50: e82700a9  stp	x8, x9, [sp]
0xfffffff00823ea54: 6072ffb0  adrp	x0, #0xfffffff00708b000
0xfffffff00823ea58: 00e83991  add	x0, x0, #0xe7a
0xfffffff00823ea5c: ac560994  bl	#0xfffffff00849450c
0xfffffff00823ea60: 7f2303d5  pacibsp	
0xfffffff00823ea64: ff0301d1  sub	sp, sp, #0x40
0xfffffff00823ea68: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff00823ea6c: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff00823ea70: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff00823ea74: fdc30091  add	x29, sp, #0x30
0xfffffff00823ea78: 080840f9  ldr	x8, [x0, #0x10]
0xfffffff00823ea7c: 080500b4  cbz	x8, #0xfffffff00823eb1c
0xfffffff00823ea80: f30301aa  mov	x19, x1
0xfffffff00823ea84: 091540f9  ldr	x9, [x8, #0x28]
0xfffffff00823ea88: 690000b4  cbz	x9, #0xfffffff00823ea94
0xfffffff00823ea8c: 342540f9  ldr	x20, [x9, #0x48]
0xfffffff00823ea90: 540200b5  cbnz	x20, #0xfffffff00823ead8
0xfffffff00823ea94: c9fe0090  adrp	x9, #0xfffffff00a216000
0xfffffff00823ea98: 29417c39  ldrb	w9, [x9, #0xf10]
0xfffffff00823ea9c: a9010036  tbz	w9, #0, #0xfffffff00823ead0
0xfffffff00823eaa0: 082940f9  ldr	x8, [x8, #0x50]
0xfffffff00823eaa4: 6972ffb0  adrp	x9, #0xfffffff00708b000
0xfffffff00823eaa8: 29b93991  add	x9, x9, #0xe6e
0xfffffff00823eaac: e92300a9  stp	x9, x8, [sp]
0xfffffff00823eab0: 606effd0  adrp	x0, #0xfffffff00700c000
0xfffffff00823eab4: 00000091  add	x0, x0, #0
